leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
60,453,,1,1,34.0,35.0,0.00,0.34, 6,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DCOSC0010,Coscinodiscus sp.,RARE,  ,1,33e2ed63fbe7070146cc3d70bd894e66
60,453,,1,1,34.0,35.0,0.00,0.34, 6,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DETHM0010,Ethmodiscus rex,ABUNDANT,  ,1,410d9b3effc9e2667e0b9126ffbb04f2
60,453,,1,1,34.0,35.0,0.00,0.34, 6,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DNITZ0380,Nitzschia marina,RARE,  ,1,71b5c7aa1c932522e10c896e07412062
60,453,,1,1,34.0,35.0,0.00,0.34, 6,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DPSET0020,Pseudotriceratium wallichi,RARE,  ,1,16a0c641ea6c9dcc40a6917440a23140
60,453,,1,1,34.0,35.0,0.00,0.34, 6,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DTHAA0010,Thalassiosira sp.,RARE,  ,1,bdf302875fd72445a118aa18c572f3fd
60,453,,1,1,34.0,35.0,0.00,0.34, 6,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DTHAL0005,Thalassionema sp.,RARE,  ,1,796b34e4e070d8672373138dcf907d0d
60,453,,1,1,110.0,111.0,0.00,1.11, 3,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DETHM0010,Ethmodiscus rex,RARE,  ,1,4731901a60c109e8629527fa1263d8bc
60,453,,1,1,110.0,111.0,0.00,1.11, 3,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DNITZ0380,Nitzschia marina,RARE,  ,1,e50069101bdef576aa4ce6c073164a75
60,453,,1,1,110.0,111.0,0.00,1.11, 3,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DTHAL0005,Thalassionema sp.,RARE,  ,1,4d11a095d56ca8ab69895adb4c04eb69
60,453,,1,2,110.0,111.0,0.00,2.61, 3,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DETHM0010,Ethmodiscus rex,RARE,  ,1,cc2739cc9e72621f3ef34bf1af8fe84c
60,453,,1,2,110.0,111.0,0.00,2.61, 3,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DTHAA0010,Thalassiosira sp.,RARE,  ,1,6d14d003b9fba41428c2d6a59f760a87
60,453,,1,2,110.0,111.0,0.00,2.61, 3,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DTHAL0005,Thalassionema sp.,RARE,  ,1,677f50d74c1ddc2d0ffe55aa0c2d7ccd
60,453,,2,1,60.0,61.0,9.00,9.61,11,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DACIN0081,Actinoptychus splendens (q),RARE,  ,1,ec5fdeb1516c1e094ac9f38e1d554f8e
60,453,,2,1,60.0,61.0,9.00,9.61,11,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DASTE0060,Asterolampra marylandica,RARE,  ,1,6e1ef0d640af79dba6095f4fd39ea457
60,453,,2,1,60.0,61.0,9.00,9.61,11,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DASTR0041,Asteromphalus brookei (q),RARE,  ,1,285ab0a9a397b1a4d156c42075db592b
60,453,,2,1,60.0,61.0,9.00,9.61,11,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DCOSC0010,Coscinodiscus sp.,RARE,  ,1,2daddd774e68f8df203567df0f365a16
60,453,,2,1,60.0,61.0,9.00,9.61,11,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DETHM0010,Ethmodiscus rex,ABUNDANT,  ,1,66a6ef23632920347ae1ed214fe966d1
60,453,,2,1,60.0,61.0,9.00,9.61,11,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DHEMD0010,Hemidiscus cuneiformis,RARE,  ,1,9f68add6378484168801302b3eb00d22
60,453,,2,1,60.0,61.0,9.00,9.61,11,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DNITZ0380,Nitzschia marina,RARE,  ,1,658fe606e7043fb341fcdc1e3bf7dbf3
60,453,,2,1,60.0,61.0,9.00,9.61,11,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DPSET0020,Pseudotriceratium wallichi,RARE,  ,1,558072923c81df2c4a513dcd485a1d99
60,453,,2,1,60.0,61.0,9.00,9.61,11,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DTHAA0010,Thalassiosira sp.,RARE,  ,1,4eb01af8afa5d76b623afd434d087e66
60,453,,2,1,60.0,61.0,9.00,9.61,11,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DTHAL0005,Thalassionema sp.,RARE,  ,1,ccf574183b43d820374d878fe2eaf9ac
60,453,,2,1,60.0,61.0,9.00,9.61,11,"MARTINI,E.",03/1982,60,DIATOMS,,,,,NO AGE GIVEN,566,DTHAL0110,Thalassionema stomachii,RARE,  ,2,bbf37c1e3502c06f11ec3005e99d45f2
