leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
60,459,B,1,1,90.0,91.0,0.00,0.91,14,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NCALO0010,Calciosolenia murrayi,COMMON,  ,1,0f4627226ceba57471469a589c7c7e41
60,459,B,1,1,90.0,91.0,0.00,0.91,14,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NCERO0050,Ceratolithus cristatus,COMMON,  ,1,3dabfb91d02a46dcf22b33d2f0a98e4b
60,459,B,1,1,90.0,91.0,0.00,0.91,14,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NCERO0090,Ceratolithus telesmus,FEW,  ,1,b4cdce4b8085ff1031be964f87bcdd14
60,459,B,1,1,90.0,91.0,0.00,0.91,14,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NCOCO0300,Coccolithus pelagicus,RARE,  ,1,e3259e76177016900365aa7e0e39e3d0
60,459,B,1,1,90.0,91.0,0.00,0.91,14,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NCREN0010,Crenalithus doronicoides,ABUNDANT,  ,1,3e15d9e8f2aa023e7cbf4161b6a72392
60,459,B,1,1,90.0,91.0,0.00,0.91,14,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NCRIC0012,Cricolithus jonesii,RARE,  ,1,b2ce6b7df0740e7242bdee3a390c888b
60,459,B,1,1,90.0,91.0,0.00,0.91,14,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NDISC0125,Discoaster deflandrei,PRESENT,  ,1,41dfa27d7b022979ebcb9779545cc90d
60,459,B,1,1,90.0,91.0,0.00,0.91,14,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NGEPH0020,Gephyrocapsa caribbeanica,ABUNDANT,  ,1,2c6c4dfe522e30db9f20a5997aa615a9
60,459,B,1,1,90.0,91.0,0.00,0.91,14,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NGEPH0060,Gephyrocapsa oceanica,COMMON,  ,1,62b67b7218141b576ce52568a9b1ea7d
60,459,B,1,1,90.0,91.0,0.00,0.91,14,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NGEPH0070,Gephyrocapsa omega,RARE,  ,1,8d731c4a44949b023ae4c492aab9078a
60,459,B,1,1,90.0,91.0,0.00,0.91,14,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NHELC0020,Helicosphaera carteri,FEW,  ,2,a5d2d7c96da05e294ebfbdcf45d5ccde
60,459,B,1,1,90.0,91.0,0.00,0.91,14,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NHELC0130,Helicosphaera sellii,FEW,  ,2,d4a92cd3895e29fd955fb7780edff00c
60,459,B,1,1,90.0,91.0,0.00,0.91,14,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NTHOR0030,Thoracosphaera heimii,FEW,  ,2,ec01984b2ff87547e94d3bc7d4325b89
60,459,B,1,1,90.0,91.0,0.00,0.91,14,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NUMBI0040,Umbilicosphaera sibogae,RARE,  ,2,79be3c09991ccbf90c9d36d4f565921a
60,459,B,1,2,90.0,91.0,0.00,2.41,13,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NCALO0010,Calciosolenia murrayi,COMMON,  ,1,e27423133a3e7bf1db4b6892bf700146
60,459,B,1,2,90.0,91.0,0.00,2.41,13,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NCERO0050,Ceratolithus cristatus,COMMON,  ,1,4509bdfcd0439117719f712ec583cee7
60,459,B,1,2,90.0,91.0,0.00,2.41,13,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NCERO0090,Ceratolithus telesmus,FEW,  ,1,407f4e7840d4a2ef3751dc2a7935e9ef
60,459,B,1,2,90.0,91.0,0.00,2.41,13,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NCOCO0300,Coccolithus pelagicus,RARE,  ,1,35654e808b5cb5c2d80726c197498af6
60,459,B,1,2,90.0,91.0,0.00,2.41,13,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NCREN0010,Crenalithus doronicoides,ABUNDANT,  ,1,5ee9a8ab6362d29566f86b7b918e3e93
60,459,B,1,2,90.0,91.0,0.00,2.41,13,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NCYCI0040,Cyclicargolithus floridanus,RARE,  ,1,c5a9e1b7461f171ee356ac45adb045f0
60,459,B,1,2,90.0,91.0,0.00,2.41,13,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NDISC0525,Discoaster variabilis,RARE,  ,1,1b0b5938c749bea4a17f202b6d49b724
60,459,B,1,2,90.0,91.0,0.00,2.41,13,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NGEPH0020,Gephyrocapsa caribbeanica,COMMON,  ,1,08d658cc175e58ec5dd27aad6fa17400
60,459,B,1,2,90.0,91.0,0.00,2.41,13,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NGEPH0060,Gephyrocapsa oceanica,COMMON,  ,1,e0b96d3f9527d05fefad0e3dd1cd1b1a
60,459,B,1,2,90.0,91.0,0.00,2.41,13,"ELLIS,C.H.",03/1982,60,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,527,NHELC0020,Helicosphaera carteri,RARE,  ,1,5af85c9f351b5f68db059d3c2692d9fa
