leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
62,465,A,1,1,80.0,80.0,39.00,39.80, 8,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FACAR0230,Acarinina primitiva,FEW,  ,1,ce10ee51073aeb9d0cdce7235f5e6bbd
62,465,A,1,1,80.0,80.0,39.00,39.80, 8,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FMORO0130,Morozovella conicotruncata,FEW,  ,1,0c061d54e0d298dcd40b8979646752c4
62,465,A,1,1,80.0,80.0,39.00,39.80, 8,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FMORO0270,Morozovella occlusa,COMMON,  ,1,f4e232bf9b801bac7715225effffb14b
62,465,A,1,1,80.0,80.0,39.00,39.80, 8,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FMORO0380,Morozovella velascoensis,COMMON,  ,1,3f759c92a3ebf3ddc3fec1e4a2e3ef74
62,465,A,1,1,80.0,80.0,39.00,39.80, 8,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FPLAR0020,Planorotalites chapmani,FEW,  ,1,15382103fecec63804ee1f91e5fc5652
62,465,A,1,1,80.0,80.0,39.00,39.80, 8,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FPLAR0080,Planorotalites pseudomenardii,RARE,  ,1,9b5c6dbda57c46f00dd08a106e7e3dd4
62,465,A,1,1,80.0,80.0,39.00,39.80, 8,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FSUBB0180,Subbotina pseudobulloides,RARE,  ,1,c87256dfcedfb206a3396c4af2ac7274
62,465,A,1,1,80.0,80.0,39.00,39.80, 8,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FSUBB0247,Subbotina varianta,RARE,  ,1,09d9064319d85c4105064f2793471be5
62,465,A,1,CC,,,39.00,40.50, 7,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FMORO0130,Morozovella conicotruncata,ABUNDANT,  ,1,56f60c6e84aa58fd189d079c5844062b
62,465,A,1,CC,,,39.00,40.50, 7,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FMORO0270,Morozovella occlusa,COMMON,  ,1,6942e6806495ae828b5870bb5eefc84f
62,465,A,1,CC,,,39.00,40.50, 7,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FMORO0320,Morozovella pusilla pusilla,COMMON,  ,1,89da1ef639f0ffb382f7146fc02f65c1
62,465,A,1,CC,,,39.00,40.50, 7,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FMORO0380,Morozovella velascoensis,COMMON,  ,1,1de201e421c3ff61fa1453d5cf76cf9f
62,465,A,1,CC,,,39.00,40.50, 7,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FPLAR0040,Planorotalites ehrenbergi,FEW,  ,1,4acc1badad6c5a52f6f4111d6d70a9d0
62,465,A,1,CC,,,39.00,40.50, 7,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FPLAR0080,Planorotalites pseudomenardii,FEW,  ,1,db0496210e524df4e67b3101a046f07f
62,465,A,1,CC,,,39.00,40.50, 7,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FSUBB0180,Subbotina pseudobulloides,RARE,  ,1,54ec7bddc1d635ce95ac6a34dc847491
62,465,A,2,CC,,,48.50,48.60, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FCHIL0050,Chiloguembelina midwayensis,COMMON,  ,1,744a3cbbfa62860fe2f61dd582b3aceb
62,465,A,2,CC,,,48.50,48.60, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FCHIL0080,Chiloguembelina morsei,PRESENT,  ,1,3f40e65a422a7107b9340bc266723bf2
62,465,A,2,CC,,,48.50,48.60, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FGLOG0208,Globigerina cretacea,PRESENT,  ,1,8f2d916a58217d6fc6041f1ffda00df3
62,465,A,2,CC,,,48.50,48.60, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FHEDB0180,Hedbergella monmouthensis,RARE,  ,1,fd2ae1bb2294ad18cfc66b0fa5fe1b0e
62,465,A,2,CC,,,48.50,48.60, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FMORO0225,Morozovella inconstans,COMMON,  ,1,044d3da47f389494d65e198bc07cdc68
62,465,A,2,CC,,,48.50,48.60, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FMORO0365,Morozovella trinidadensis,RARE,  ,1,7290e9543345af76d93a0c93149528ad
62,465,A,2,CC,,,48.50,48.60, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FPLAR0030,Planorotalites compressus,RARE,  ,1,28804998e4d913ddff024169b2d1ddd8
62,465,A,2,CC,,,48.50,48.60, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FSUBB0180,Subbotina pseudobulloides,RARE,  ,1,f3607010e41960fd4ff98fc1ba3a4ea5
62,465,A,2,CC,,,48.50,48.60, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FWOOD0010,Woodringia hornerstownensis,FEW,  ,1,dfec72af1d59617925eaa3390f3e6a96
62,465,A,3,1,65.0,65.0,58.00,58.65, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FCHIL0050,Chiloguembelina midwayensis,ABUNDANT,  ,1,2326ec181307b134e1674ff4cba74830
62,465,A,3,1,65.0,65.0,58.00,58.65, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FCHIL0080,Chiloguembelina morsei,COMMON,  ,1,73d54643bddb6c7e7bb121b89c6af979
62,465,A,3,1,65.0,65.0,58.00,58.65, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FGLOG0208,Globigerina cretacea,PRESENT,  ,1,585c6630cea459c73b0ed5f451bf2175
62,465,A,3,1,65.0,65.0,58.00,58.65, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FHEDB0180,Hedbergella monmouthensis,RARE,  ,1,da194b7fc6e441d8a5363ae12a053b6c
62,465,A,3,1,65.0,65.0,58.00,58.65, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FMORO0225,Morozovella inconstans,COMMON,  ,1,ccc03642aa403a70930acc59af08eff1
62,465,A,3,1,65.0,65.0,58.00,58.65, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FMORO0365,Morozovella trinidadensis,RARE,  ,1,9a65fcf5c4d6d28907c066d3fc7a27f8
62,465,A,3,1,65.0,65.0,58.00,58.65, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FPLAR0030,Planorotalites compressus,RARE,  ,1,7862e2b6ea00428d56aa38b0b39b1851
62,465,A,3,1,65.0,65.0,58.00,58.65, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FSUBB0180,Subbotina pseudobulloides,RARE,  ,1,a49d35de3930d52e78c8d1e20d37bb1c
62,465,A,3,1,65.0,65.0,58.00,58.65, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FWOOD0010,Woodringia hornerstownensis,COMMON,  ,1,6dba0f51d6bfb31211f4a5e70dd4ac0b
62,465,A,3,1,125.0,125.0,58.00,59.25, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FCHIL0050,Chiloguembelina midwayensis,ABUNDANT,  ,1,fc75e26adb28482b45f6587a6f305c5e
62,465,A,3,1,125.0,125.0,58.00,59.25, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FCHIL0080,Chiloguembelina morsei,COMMON,  ,1,053b8d965a66475f264e1596cc3b0ed6
62,465,A,3,1,125.0,125.0,58.00,59.25, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FGLOG0208,Globigerina cretacea,RARE,  ,1,555b60d57923097e50e2463b834a3598
62,465,A,3,1,125.0,125.0,58.00,59.25, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FHEDB0180,Hedbergella monmouthensis,RARE,  ,1,78e97af3c5ef9e23164c022e0ca17d67
62,465,A,3,1,125.0,125.0,58.00,59.25, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FMORO0225,Morozovella inconstans,COMMON,  ,1,5ebc02a5d9d08ad8c7d76a65cb567bbb
62,465,A,3,1,125.0,125.0,58.00,59.25, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FMORO0365,Morozovella trinidadensis,RARE,  ,1,9e6158bda0dd7147e3b16facaf41d907
62,465,A,3,1,125.0,125.0,58.00,59.25, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FPLAR0030,Planorotalites compressus,RARE,  ,1,d44aa62603512aae8a0dc3c304acd2ac
62,465,A,3,1,125.0,125.0,58.00,59.25, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FSUBB0180,Subbotina pseudobulloides,RARE,  ,1,b72116a8745f352a5a7192b300cd01ff
62,465,A,3,1,125.0,125.0,58.00,59.25, 9,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FWOOD0010,Woodringia hornerstownensis,COMMON,  ,1,badcb9ae7fac80cad8975f4eb487dd10
62,465,A,3,2,35.0,35.0,58.00,59.85, 7,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FCHIL0050,Chiloguembelina midwayensis,ABUNDANT,  ,1,ba206d208d831aa8c3bd9778ef012c36
62,465,A,3,2,35.0,35.0,58.00,59.85, 7,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FCHIL0080,Chiloguembelina morsei,COMMON,  ,1,02a4e75351a0e7a09b7c1fc1020a595b
62,465,A,3,2,35.0,35.0,58.00,59.85, 7,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FGLOG0208,Globigerina cretacea,COMMON,  ,1,fea5bbe251fd94f622ae697430c94b52
62,465,A,3,2,35.0,35.0,58.00,59.85, 7,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FHEDB0180,Hedbergella monmouthensis,RARE,  ,1,4fcc1d72f661dedbde27f16f7301a766
62,465,A,3,2,35.0,35.0,58.00,59.85, 7,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FMORO0225,Morozovella inconstans,RARE,  ,1,147ad538b22bc22f13e3199cbea0b437
62,465,A,3,2,35.0,35.0,58.00,59.85, 7,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FSUBB0180,Subbotina pseudobulloides,RARE,  ,1,6f3194567cc7ee734814efc69b3ba1b3
62,465,A,3,2,35.0,35.0,58.00,59.85, 7,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FWOOD0010,Woodringia hornerstownensis,COMMON,  ,1,5fab432641a0ce29a2cc3a0244cd0397
62,465,A,3,2,105.0,105.0,58.00,60.55, 4,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FCHIL0050,Chiloguembelina midwayensis,ABUNDANT,  ,1,fd6bc9aca62379d528c545a29f96a332
62,465,A,3,2,105.0,105.0,58.00,60.55, 4,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FGLOG0208,Globigerina cretacea,COMMON,  ,1,3b27b0ab836a2323551fabe37184cf50
62,465,A,3,2,105.0,105.0,58.00,60.55, 4,"BOERSMA,A.",11/1981,62,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,383,FSUBB0180,Subbotina pseudobulloides,PRESENT,  ,1,adaaee37850e16e041262a202572bbc0
