leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
64,477,,3,1,86.0,88.0,10.50,11.37,38,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1034,BAMMN0022,Ammonia beccarii (q),2%,  ,1,7fbe124fcc00352f2cac1c1f96ccf482
64,477,,3,1,86.0,88.0,10.50,11.37,38,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1034,BBOLI0294,Bolivina seminuda (q),5%,  ,1,b36137780e72400052d3fd0c2cbeaaec
64,477,,3,1,86.0,88.0,10.50,11.37,38,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1034,BBOLI0294,Bolivina seminuda (q),8%,  ,1,908cefb796897c1b2c22b25fcb34bf83
64,477,,3,1,86.0,88.0,10.50,11.37,38,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1034,BBOLI0311,Bolivina subadvena,7%,  ,1,4e12cf92fd10882e3d6d0020d8a2bde9
64,477,,3,1,86.0,88.0,10.50,11.37,38,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1034,BBRIZ0022,Brizalina argentea,5%,  ,1,6c39354e6fcc4ff8cc970355b8cc5077
64,477,,3,1,86.0,88.0,10.50,11.37,38,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1034,BBRIZ0150,Brizalina spissa,1%,  ,1,611688508ee4f22d9f2bb4b9f8fd977d
64,477,,3,1,86.0,88.0,10.50,11.37,38,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1034,BBUCC0040,Buccella tenerrima,1%,  ,1,f4e1bbce9a8bf80c1bdad5881543f3c6
64,477,,3,1,86.0,88.0,10.50,11.37,38,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1034,BBULI0270,Bulimina marginata,1%,  ,1,ace9e473d6fe7b84bb85117ea2d3499d
64,477,,3,1,86.0,88.0,10.50,11.37,38,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1034,BBULM0018,Buliminella curta,3%,  ,1,c1682a9ced867934046b73929eded9c2
64,477,,3,1,86.0,88.0,10.50,11.37,38,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1034,BBULM0030,Buliminella elegantissima,1%,  ,1,fa750c458c18b440abd5b611319df850
64,477,,3,1,86.0,88.0,10.50,11.37,38,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1034,BBULM0110,Buliminella tenuata,16%,  ,2,39d39c3d6a8a0a36a78879ee8e9edfb1
64,477,,3,1,86.0,88.0,10.50,11.37,38,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1034,BCASI0010,Cassidulina sp.,1%,  ,2,951bde6aefc0d4d73edaad4360ac7414
64,477,,3,1,86.0,88.0,10.50,11.37,38,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1034,BCASI0177,Cassidulina subcarinita,2%,  ,2,4e724fd3cbe48c031e5b2af9396c9523
64,477,,3,1,86.0,88.0,10.50,11.37,38,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1034,BCASI0223,Cassidulina tumida,2%,  ,2,87780c904c1ba89a9e0695c0959e1eae
64,477,,3,1,86.0,88.0,10.50,11.37,38,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1034,BELPI0118,Elphidium lene,3%,  ,2,35df9d015a22488ee679771f6f7510b0
64,477,,3,1,86.0,88.0,10.50,11.37,38,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1034,BEPIT0065,Epistominella smithi,10%,  ,2,559ab3965cc6cf14b68da89766fdcbec
64,477,,3,1,86.0,88.0,10.50,11.37,38,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1034,BFISS0010,Fissurina sp.,1%,  ,2,401dce395b4b422ed22fe851403f8048
64,477,,3,1,86.0,88.0,10.50,11.37,38,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1034,BFURS0015,Fursenkoina cornuta,2%,  ,2,2d00e4e85c2955181394a9fd9c0d661b
