leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id,sample
68,503,A,4,1,48.0,48.0,10.60,11.08, 1,SANCETTA,10/1982,68,SILICOFLAGELLATES,FEW,,,GOOD,NO AGE GIVEN,30,SMESO0280,Mesocena quadrangula,TRACE,  ,1,87ee78772ea14565f164a9e3b117ddfa,68-503A-4-1
68,503,A,4,2,48.0,48.0,10.60,12.58, 1,SANCETTA,10/1982,68,SILICOFLAGELLATES,PRESENT,,,GOOD,NO AGE GIVEN,303,SMESO0280,Mesocena quadrangula,RARE,  ,1,2a587cce38073d06bd3887e3835a9a2b,68-503A-4-2
68,503,A,4,2,108.0,108.0,10.60,13.18, 1,SANCETTA,10/1982,68,SILICOFLAGELLATES,FEW,,,GOOD,NO AGE GIVEN,303,SMESO0280,Mesocena quadrangula,FEW,  ,1,c41f50c9ebeae5206c942be3dbeafca4,68-503A-4-2
68,503,A,4,3,48.0,48.0,10.60,14.08, 1,SANCETTA,10/1982,68,SILICOFLAGELLATES,FEW,,,GOOD,NO AGE GIVEN,303,SMESO0280,Mesocena quadrangula,FEW,  ,1,2efded1df9fd17d7fd5bdf46c51077d9,68-503A-4-3
68,503,A,4,CC,,,10.60,15.37, 1,SANCETTA,10/1982,68,SILICOFLAGELLATES,PRESENT,,,MODERATE,NO AGE GIVEN,303,SMESO0280,Mesocena quadrangula,FEW,  ,1,99df4db96c90486249a1d7ea405d15d9,68-503A-4-CC
68,503,A,5,1,48.0,48.0,15.00,15.48, 1,SANCETTA,10/1982,68,SILICOFLAGELLATES,FEW,,,POOL,NO AGE GIVEN,303,SMESO0280,Mesocena quadrangula,RARE,  ,1,012065fc570659b8001c8bde4667d231,68-503A-5-1
68,503,A,5,1,108.0,108.0,15.00,16.08, 1,SANCETTA,10/1982,68,SILICOFLAGELLATES,RARE,,,POOL,NO AGE GIVEN,303,SMESO0280,Mesocena quadrangula,RARE,  ,1,04a386de4abffeb8f57408c51267752d,68-503A-5-1
68,503,A,5,2,48.0,48.0,15.00,16.98, 1,SANCETTA,10/1982,68,SILICOFLAGELLATES,PRESENT,,,MODERATE,NO AGE GIVEN,303,SMESO0280,Mesocena quadrangula,RARE,  ,1,7e78034ae53dbb286c8cbd0b4f23a9ee,68-503A-5-2
68,503,A,5,2,108.0,108.0,15.00,17.58, 1,SANCETTA,10/1982,68,SILICOFLAGELLATES,RARE,,,POOL,NO AGE GIVEN,303,SMESO0280,Mesocena quadrangula,TRACE,  ,1,e85a1512cb349fb0905f5e16e6d04cf8,68-503A-5-2
68,503,A,5,3,48.0,48.0,15.00,18.48, 1,SANCETTA,10/1982,68,SILICOFLAGELLATES,FEW,,,MODERATE,NO AGE GIVEN,303,SMESO0280,Mesocena quadrangula,TRACE,  ,1,99ae72332721b6e2138a739f585efbd5,68-503A-5-3
68,503,A,7,1,48.0,48.0,23.80,24.28, 1,SANCETTA,10/1982,68,SILICOFLAGELLATES,FEW,,,GOOD,NO AGE GIVEN,303,SMESO0280,Mesocena quadrangula,TRACE,  ,1,f90e014e36a2ebbf2f0ced0f2ff85a55,68-503A-7-1
68,503,A,7,3,108.0,108.0,23.80,27.88, 1,SANCETTA,10/1982,68,SILICOFLAGELLATES,PRESENT,,,GOOD,NO AGE GIVEN,303,SMESO0280,Mesocena quadrangula,TRACE,  ,1,01f36d8496557528db23a8accc3a791b,68-503A-7-3
68,503,A,12,2,104.0,105.0,45.80,48.35,13,BUKRY,10/1982,68,SILICOFLAGELLATES,,,,,NO AGE GIVEN,313,SDICT0110,Dictyocha brevispina,3%,  ,1,2484a2003da8f1ce043a8c70401a424e,68-503A-12-2
68,503,A,12,2,104.0,105.0,45.80,48.35,13,BUKRY,10/1982,68,SILICOFLAGELLATES,,,,,NO AGE GIVEN,313,SDICT0170,Dictyocha fibula,1%,  ,1,ccfaa5175ac7af1f30c5837541169698,68-503A-12-2
