leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding,eodp_id
7,64,A,1,1,0.0,150.0,433.00,433.00,434.50,, NANNO CHALK OOZE TO CHALK, N9-WHITE,," SOFT AREAS HOMOGENIZED BY DRILLING 0-10 CM AND O0-75 CM AND 90 -105 CM AND 120-147 CM,SHATTERED",,,,, FIRM TO ALMOSY SE MI-CONSOLIDATED, 11130000.1210.1221,697cb41061521fd8b385e4f419ca9088
7,64,A,1,2,0.0,150.0,433.00,434.50,436.00,, NANNO CHALK OOZE TO NANNO CHALK, N9-WHITE, PORTI ONS OF OOZE/CHALK ARE SEPARATED BY SOFT MUD," SOFT MUD ZONES CREATED IN DRILLING PROCESS ARE HOMOGENIZE D,SHATTERED",,,,, SEMI-CONSOLIDATED, 11130000.1210.1221,1ea9e75de09fd0654e6a7864ba2a9eef
7,64,A,1,3,0.0,150.0,433.00,436.00,437.50,, NANNO CHALK OOZE TO NANNO CHALK, N9-WHITE, PORTI ONS OF OOZE/CHALK ARE SEPARATED BY SOFT MUD," SOFT MUD ZONES CREATED IN DRILLING PROCESS ARE HOMOGENIZE D,SHATTERED",,,,, SEMI-CONSOLIDATED, 11130000.1210.1221,16c65c7e3bcd163dd29abc18036784b2
7,64,A,1,4,0.0,150.0,433.00,437.50,439.00,, NANNO CHALK OOZE AND NANNO CHALK," N8-VERY LIGHT GRAY,N9-WHITE,N8-VERY LIGHT GRAY,5BP7/1-LIGHT BLUISH GRAY,5G6/1-GREENISH GRAY,5Y9/1-LIGHT YELLOW TO N9-W HITE"," DARKER PARTS SHOW FAINT PARALLEL LAMINAE,NO MUDDY PORTIONS", FRACTURED BY CORING,,,," WHITE EXCEPT 25-28 CM AND 50-65 CM,NANNO CHALK OOZE 87-130 CM,SLI GHT YELLOWISH TINT BELOW 100 CM", SEMI-INDURATED, 11130000.1210.1221,1331132ce59246e88e2a1a11c332029f
7,64,A,1,5,0.0,150.0,433.00,439.00,440.50,, NANNO CHALK OOZE AND NANNO CHALK, N9-WHITE,, FRAC TURED BY CORING,,,,," FIRM BELOW 100 CM,SEMI-CONSOLIDATE D ESPECIALLY 25-75 CM", 11130000.1210.1221,74f5428d37a14f55cd63b035bf332afd
7,64,A,1,6,0.0,150.0,433.00,440.50,442.00,, NANNO CHALK AND MINOR NANNO CHALK OOZE," N9-WHITE, 5P9/1-PURPLISH WHITE"," LIGHT PURPLISH GRAY BEDS AT 20 CM,1 CM WHITE BED 30 CM,PARALLEL BEDDING GRADATIO NS BETWEEN PURPLISH WHITE AND WHITE", FRACTURED BY CORING,,,, 5-44 CM PURPLISH WHITE," SEMI-INDURATED,SOM E FIRM OOZE", 11130000.1210.1221,8cace0ad1e717948e238742f58332a38
7,64,A,2,1,23.0,150.0,442.00,442.23,443.50,, NANNO CHALK OOZE AND NANNO CHALK, N9-WHITE,, FRAC TURED BY CORING PROCESS AND HOMOGENIZED,,,," VOID 0-23 CM,OOZE ALTERNATES WITH MUD,MUD IS BADLY CONTAMINATE D WITH CHIPS OF RUST AND PAINT AND PYRITE AND CHERT AND BASALT GRAINS FROM BUMPER SUBS"," FIRM,PARTIALLY INDURATED", 11130000.1210.1221,6f39dac5098a477790198f23a106c444
7,64,A,2,2,5.0,150.0,442.00,443.55,445.00,, NANNO CHALK OOZE AND NANNO CHALK," N9-WHITE,N8-VER Y LIGHT GRAY",," MUD HOMOGENIZED FROM CHALK OOZE BY CO RING PROCESS,CHALK FRACTURED IN CORING CONTAMINATI ON AT 105 AND 125 CM WITH SMALL CHIPS OF RUST AND PY RITE AND CHERT AND PAINT PROBABLY FROM BUMPER SUBS",,,,, PARTIALLY INDURATED CHALK, 11130000.1210.1221,9ac0789940831c35688ab9b2e81f7f4d
7,64,A,2,3,5.0,150.0,442.00,445.05,446.50,, NANNO CHALK OOZE AND CHALK," N9-WHITE,N8-VERY LIGH T GRAY",," CHALK FRACTURED BY CORING PROCESS,MUD HOMOG ENIZED BY CORING",,,," VOID 0-5 CM,CONTAMINATED BELOW 50 CM WITH CHIPS OF PAINT AND RUST AND CHERT"," PARTIAL LY INDURATED CHALK,FIRM OOZE", 11130000.1210.1221,865ea5aa3c18aa52966cc0a6a2358728
7,64,A,2,4,0.0,150.0,442.00,446.50,448.00,, NANNO CHALK OOZE AND NANNO CHALK," N9-WHITE,5P3/2- DUSKY PURPLE", SMALL MOTTLE OF DUSKY PURPLE AT 100 C M, CHALK FRACTURED BY CORING,,,,,, 11130000.1210.1221,7c82f2d7fb7acc9ceff5942af4d65a09
7,64,A,2,5,0.0,150.0,442.00,448.00,449.50,, NANNO CHALK AND NANNO CHALK OOZE," 5GY9/1-GREENISH WHITE,5P2/1-PURPLISH BLACK", PURPLISH BLACK MOTTLES AT 75 CM," CHALK FRACTURED IN CORING,MUD HOMOGENIZE D BY CORING",,,,," FIRM OOZE,SEMI-INDURATED CHALK,SOFT MU D 0-8 CM", 11130000.1210.1221,74204a6abb64f87b9d1d742ba3d013eb
7,64,A,2,6,0.0,150.0,442.00,449.50,451.00,, NANNO CHALK AND NANNO CHALK OOZE," N9-WHITE,5GY9/1 -GREENISH WHITE,N5-MEDIUM GRAY,-PURPLE"," SMALL FAINT PURPLISH MOTTLE AT 78 CM,STREAKS OF MEDIUM GRAY"," INTENSE DEFORMATION 25 CM,MUD HOMOGENIZED BY CORING",,,,, SOFT MUD, 11130000.1210.1221,7110b24f1e694f22ccba10e7ce7fcd02
7,64,A,3,1,0.0,150.0,451.00,451.00,452.50,, NANNO CHALK AND NANNO CHALK OOZE," N9-WHITE,N8-VER Y LIGHT GRAY",," CALCAREOUS MUD PRODUCED BY CORING,FRA CTURED BY CORING",,,,, SOFT 0-10 CM, 11130000.1210.1221,0fa9013c40b4f1b51d28f385ca9ae387
7,64,A,3,2,1.0,150.0,451.00,452.51,454.00,, NANNO CHALK AND NANNO CHALK OOZE, N9-WHITE,," FRAC TURED BY CORING,MUD HOMOGENIZED BY CORING",,,, VOID 0-1 CM, SOFT MUD, 11130000.1210.1221,027a4be0338b8ab3ef37a049cd699428
7,64,A,3,3,3.0,150.0,451.00,454.03,455.50,, NANNO CHALK AND NANNO CHALK OOZE, N9-WHITE,, OOZE AND CHALK FRACTURED BY CORING ALTERNATES WITH SOFT MUD HOMOGENIZED BY CORING,,,, VOID 0-3 CM, SOFT MUD, 11130000.1210.1221,6dbf00750ad2fac2349543c8e659c9e7
7,64,A,3,4,3.0,150.0,451.00,455.53,457.00,, NANNO CHALK AND NANNO CHALK OOZE, N9-WHITE,, OOZE AND CHALK FRACTURED BY CORING ALTERNATES WITH SOFT MUD HOMOGENIZED BY CORING,,,, VOID 0-3 CM, SOFT MUD, 11130000.1210.1221,5cf68c2dacec2a295b7969ab4b7f3ed7
7,64,A,3,5,0.0,150.0,451.00,457.00,458.50,, NANNO CHALK AND NANNO CHALK OOZE," N9-WHITE,N8-VER Y LIGHT GRAY,N7", BANDING IN MUD BELOW 127 CM," FRAC TURED AND DISPLACED BY CORING,MUD HOMOGENIZED BY COR ING",,,,, FIRM CHALK OOZE AND SEMI-INDURATED CHALK, 11130000.1210.1221,b9972667e8edb976003b20aa488f78ec
7,64,A,3,6,2.0,150.0,451.00,458.52,460.00,, NANNO CHALK AND NANNO CHALK OOZE," N8-VERY PALE GR AY,N9-WHITE",," FRACTURED CHALK AND OOZE,HOMOGENIZED MUD",,,," MAINLY WHITE BELOW 130 CM,VOID 0-2 CM",, 11130000.1210.1221,12f9b627d34343025eac180381fb064e
7,64,A,4,1,8.0,150.0,461.00,461.08,462.50,, NANNO CHALK, 5GY9/1-GREENISH WHITE,," SOFT AREAS HOMOGENIZED BY DRILLING,FRACTURED IN CORING",,,, VOID 0 -8 CM, SOFT ZONES, 11130000.1210.1221,7c9440dd783ac10cd7348747f9ad3160
7,64,A,4,2,0.0,150.0,461.00,462.50,464.00,, NANNO CHALK OOZE," N9-WHITE,5GY9/1-GREENISH WHITE",, MINOR DRILLING DISTURBANCE,,,,, FIRM BUT NOT INDURATE D, 11130000.1210.1221,e3121d3193db7469c986973d5c540161
7,64,A,4,3,0.0,150.0,461.00,464.00,465.50,, NANNO CHALK OOZE AND MINOR CHALK, 5GY9/1-GREENISH WHITE,, MAY BE DISTURBANCE OF SOFT AREAS BY DRILLIN G,,,,, FIRM TO RARELY SEMI-INDURATED, 11130000.1210.1221,218edb7ddf2c27f1159faec208bb0bf0
7,64,A,4,4,0.0,150.0,461.00,465.50,467.00,," NANNO CHALK OOZE,CHALK",,,,,,, SAME AS 4-3,, 11130000.1210.1221,291305deae3b9497c597e5b79e151949
7,64,A,4,5,0.0,150.0,461.00,467.00,468.50,," NANNO CHALK OOZE,CHALK",,,,,,, SAME AS 4-3,, 11130000.1210.1221,3915c231c729a8b4d10676efa104b8fb
7,64,A,4,6,0.0,150.0,461.00,468.50,470.00,," NANNO CHALK OOZE,CHALK",,,,,,, SAME AS 4-3,, 11130000.1210.1221,d5ed4e393a0d278930db1005030ee77e
7,64,A,5,1,0.0,150.0,470.00,470.00,471.50,, NANNO CHALK OR CHALK OOZE, 5GY9/1-GREENISH WHITE,," REDUCED TO SHAVING CREAM CONSISTENCY BY DRILLING, CAVINGS",,,," VOID 0-8 CM,LEAST DISTURBED MATERIAL IS GR EENISH WHITE", SOFT, 11130000.1210.1221,a48ea3387653c1ca610f0db5b6f11246
7,64,A,5,2,5.0,150.0,470.00,471.55,473.00,, NANNO CHALK OR CHALK OOZE, 5GY9/1-GREENISH WHITE,," GOOPY AREAS HOMOGENIZED BY DRILLING,ALL DISTURBED TO SOME EXTENT,FIRM AREAS SHATTERED",,,, 0-5 CM VOID, FIRM AND SOFT AREAS ALTERNATING, 11130000.1210.1221,67faa501f45485252d612c70fe8351b4
7,64,A,5,3,2.0,150.0,470.00,473.02,474.50,, NANNO CHALK, 5GY9/1-GREENISH WHITE,," FRAGMENTED, HOMOGENIZED BY DRILLING IN ZONES",,,, VOID 0-2 CM,, 11130000.1210.1221,1c0e9b31486478e5b6bb54886bf72d88
7,64,A,5,4,0.0,150.0,470.00,474.50,476.00,, NANNO CHALK, 5GY9/1-GREENISH WHITE TO N9-WHITE,," BADLY SHATTERED BY CORING,FRAGMENTS STRUNG OUT IN A MATRIX OF MUD HOMOGENIZED FROM THE ROCK BY THE FORIN G PROCESS",,,,, SOME FIRM CHALK, 11130000.1210.1221,a6e717c65d69231a312693c9fb1fc0de
7,64,A,5,5,0.0,150.0,470.00,476.00,477.50,, NANNO CHALK, N9-WHITE,, NEARLY ALL SECTION IS MUD HOMOGENIZED FROM CRUSHED CHALK DURING CORING,,,, FRAG MENTS OF WHITE CHALK IN MUD,, 11130000.1210.1221,df9a14513fb2d597825ab28e7f4296ab
7,64,A,5,6,0.0,150.0,470.00,477.50,479.00,, NANNO CHALK,,,,,,, SAME AS 5-5,, 11130000.1210.1221,3050e5a015309b17323c33cc61540ec3
7,64,A,6,1,2.0,150.0,565.00,565.02,566.50,, NANNO CHALK, 5GY9/1-GREENISH WHITE TO N9-WHITE,," SHATTERED BY CORING,MUD HOMOGENIZED FROM CHALK IN CORING",,,, VOID 0-2 CM,, 11130000.1210.1221,6215a68b49035fb533e171820b573c66
7,64,A,6,2,2.0,150.0,565.00,566.52,568.00,, NANNO CHALK AND LIMESTONE," N9-WHITE,N8-VERY LIGHT GRAY,5GY9/1-GREENISH WHITE,5P2/2-DUSKY PURPLE,5G6/1 -GREENISH GRAY"," LAMINAE IN LIMESTONE AT 119 CM,WHIT E GRADES TO GREENISH WHITE BELOW 115 CM", MUD HOMOGE NIZED FROM CHALK BY CORING, CARBONATE ROCK HARD ENO UGH TO CALL LIMESTONE AT 98 AND 120 CM,,," VOID 0-2 CM ,DUSKY PURPLE AT 130 CM", HARD AT 98 AND 120 CM, 11130000.1210.1221,468d07c85e2cc998a148b2df5ef3b4aa
7,64,A,6,3,0.0,150.0,565.00,568.00,569.50,, NANNO CHALK, 5GY9/1-GREENISH WHITE, THIN (0.2 MM ) LAMINAE AT 40 AND 144 CM," LAMINAE INDICATE UNDEFO RMED AT 40 AND 144 CM,CHALK FRACTURED IN CORING BUT NOT DISPLACED STRATIGRAPHYCALLY",,,,,, 00000000,48fece9c122e82a2c6b45dd0675f0404
7,64,A,6,4,0.0,150.0,565.00,569.50,571.00,, NANNO CHALK," 5GY9/1-GREENISH WHITE,5G6/1-GREENISH GRAY", FAINT PARALLEL LAMINAE IN GREENISH GRAY BED AT 126-127 CM," CHALK FRACTURED IN CORING,MUD HOMOGE NIZED IN CORING",,,,, SOFT MUD ZONES, 11121221.2210,7e7803273089db4133d77bfa415da9ad
7,64,A,7,1,55.0,66.0,661.00,661.55,661.66,, LIMESTONE," N8-VERY LIGHT GRAY,N9-WHITE"," FAINT PA RALLEL LENSOID LAMINAE IN BOTH PIECES,WHITE MOTTLES",,,,, VOID 0-50 CM,, 11121221.2210,33f2433366846c4f70c5a2615c8dfe23
7,64,A,7,1,66.0,74.0,661.00,661.66,661.74,, LIMESTONE AND CHALK,,,, FRAGMENTS,,,,, 11121221.2210,b169e4e5fd7f39eeddca95c19fac3d6b
7,64,A,7,1,74.0,131.0,661.00,661.74,662.31,, CHALK, N8-VERY LIGHT GRAY,, SHATTERED BY CORING,,,,,, 11121221.2210,5c1b2006f2196568600235ea7779fefc
7,64,A,7,1,131.0,143.0,661.00,662.31,662.43,, MUD, N8-VERY LIGHT GRAY,, HOMOGENIZED FROM CHALK IN CORING,,,,, SOFT, 11121221.2210,b4faa948f44403407acd774ec73e55fa
7,64,A,7,1,143.0,145.0,661.00,662.43,662.45,, CHALK,,,,,,,, FIRM, 11121221.2210,fb4ff9145333e3ae5f080d0334c110bf
7,64,A,7,1,145.0,150.0,661.00,662.45,662.50,, MUD,,,,,,,, SOFT, 11121221.2210,f70438032f0987b719a9af9296800aee
7,64,A,7,2,0.0,150.0,661.00,662.50,664.00,, NANNO CHALK AND MINOR LIMESTONE, N8-VERY LIGHT GR AY,, SHATTERED BY CORING,,,, ALTERNATING CHALK AND LIM ESTONE AND MUD,, 11121221.2210,b12f4a0d828f92958ac68afa82506b00
7,64,A,7,3,0.0,150.0,661.00,664.00,665.50,, NANNO CHALK," N8-VERY LIGHT GRAY,N4-MEDIUM DARK GR AY",,, FRAGMENTED,,," HOMOGENIZED,DARK AT 125-135 CM",, 11121221.2210,057a2cbc8fac6c03788feb73ae479ad1
7,64,A,7,4,0.0,150.0,661.00,665.50,667.00,, NANNO CHALK, N8-VERY LIGHT GRAY,, FRACTURED CHALK AND HOMOGENIZED MUD IN CORING PROCESS,,,,,, 11121221.2210,560c13192cbdb8a207a171c4cab3e313
7,64,A,8,1,55.0,150.0,746.00,746.55,747.50,, NANNO CHALK," N8-VERY LIGHT GRAY,N7-LIGHT GRAY,5GY 9/1-GREENISH WHITE",, CHALK PIECES HORIZONTAL 85-151C M SUGGESTING WAS SHATTERED AND DISPLACED BY CORING, SLURRY OF FRAGMENTS OF CHALK PYRITE CHERT PAINT RUS T AND CHALK PROBABLY PART IS CAVINGS AND LEFT OVER FROM BUMPER SUBS,,," DARKER COLOR 91-97 CM,TENDS TO GREENISH WHITE NEAR 108 AND 130 CM,VOID 0-55 CM",, 11121221.2210,6a494d20db4c38ab17f1ee6dee065f44
7,64,A,8,2,0.0,150.0,746.00,747.50,749.00,, NANNO CHALK, N8-VERY LIGHT GRAY,, BADLY SHATTERED BY CORING,,,,,, 11121221.2210,bbf5533f713b1407cf0137526e5a1df5
7,64,A,9,1,0.0,150.0,911.00,911.00,912.50,, NANNO CHALK,,,,,,, SAME AS 8-2,, 11121221.2210,1f1945e881d180ddb336537dda420a8c
7,64,A,9,2,0.0,150.0,911.00,912.50,914.00,, NANNO CHALK," N8-VERY LIGHT GRAY,5G6/1-GREENISH GR AY,5P5/2-PURPLISH GRAY", 2 MM THICK BED OF GREENISH GRAY AT 21 CM, SHATTERED BY CORING BUT FRAGMENTS ST ILL IN CORRECT STRATIGRAPHIC ORDER,,,,,, 11121221.2210,ce419920c368fddc271ba36d792a4ccd
7,64,A,9,3,0.0,150.0,911.00,914.00,915.50,, NANNO CHALK," N8-VERY LIGHT GRAY,N9-WHITE,5P2/1-PU RPLISH BLACK", PURPLISH BLACK MOTTLE AT 22 CM, SHAT TERED IN CORING BUT STILL IN CORRECT STRATIGRAPHYIC ORDER,,,,,, 11121221.2210,f45f97abd163e0d49a4404215d249e16
7,64,A,10,1,0.0,150.0,969.00,969.00,970.50,, NANNO CHALK," N9-WHITE,5GY9/1-GREENISH WHITE",, FRA CTURED IN CORING BUT IN CORRECT STRATIGRAPHIC ORDER EXCEPT 0-10 CM TUMBLED ABOUT,,,,,, 11121221.2210,29d372a6ecd219672516ac4ca4791d6a
7,64,A,10,2,0.0,150.0,969.00,970.50,972.00,, NANNO CHALK," N9-WHITE,N8-VERY LIGHT GRAY,5GY9/1-G REENISH WHITE",, FRACTURED IN CORING BUT FRAGMENTS ST ILL IN CORRECT STRATIGRAPHIC ORDER,,,,,, 11121221.2210,1165628a0d0a20cbdfa843b7243ef73e
