leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
70,507,D,1,1,0.0,63.0,0.00,0.00,0.63,, SILICEOUS NANNO OOZE, BROWN TO BLACK," CONTACTS,MOTTLING",,  *,,,, SOFT, 11111210
70,507,D,1,1,64.0,83.0,0.00,0.64,0.83,, FORAM-NANNO OOZE," GREEN,GREEN-BLACK"," LAMINAE,MOTTLING,BURROWS",,  *,,,, SOFT,
70,507,D,1,1,84.0,94.0,0.00,0.84,0.94,, GRANULAR CLAY, GREEN, CONTACTS,,  *,,,, SOFT, 33212000
70,507,D,1,CC,1.0,17.0,0.00,0.95,1.11,, HYDROTHERMAL CLAY, GREENISH,, GREATLY DISTURBED,  *,,,, SOFT, 33212000
70,507,D,2,1,0.0,150.0,1.00,1.00,2.50,, GRANULAR HYDROTHERMAL CLAY," BROWN,OLIVE BLACK,GREENISH BLACK,OLIVE BROWN"," BURROWS,D GREATLY DISTURBED",,  *, MANGANESE,,, SOFT,
70,507,D,2,2,0.0,26.0,1.00,2.50,2.76,, CLAY," OLIVE BROWN,GREENISH BLACK",, GREATLY DISTURBED,  *,,,, SOUPY,
70,507,D,2,2,27.0,66.0,1.00,2.77,3.16,, GRANULAR HYDROTHERMAL CLAY, GREENISH BLACK,, MODERATELY DISTURBED,  *,,,, SOFT,
70,507,D,2,2,67.0,98.0,1.00,3.17,3.48,, CLAY," GREENISH GRAY,GREENISH BLACK"," MOTTLING,BURROWS",,  *,,,, SOFT,
70,507,D,3,1,0.0,140.0,5.40,5.40,6.80,, HYDROTHERMAL CLAY," GREENISH BLACK,GREEN"," FRACTURING,MOTTLING",,,,,, SOFT, 31210000
70,507,D,3,2,0.0,150.0,5.40,6.90,8.40,, HYDROTHERMAL CLAY," GREENISH BLACK,GREENISH GRAY,GRAY", MOTTLING, GREATLY DISTURBED, VOLCANOGENIC DEPOSITS, VOLCANIC ASH,,, SOFT, 31210000
70,507,D,3,3,0.0,89.0,5.40,8.40,9.29,, GRANULAR CLAY," GREENISH BLACK,GREENISH GRAY"," MOTTLING,BURROWS",,  *,,,, SOFT, 31210000
70,507,D,3,CC,0.0,18.0,5.40,9.40,9.48,, SILICEOUS PELAGIC CLAY, GREENISH GRAY,,,  *,,,, SOFT, 31210000
70,507,D,4,1,0.0,40.0,9.80,9.80,10.20,, HYDROTHERMAL CLAY," GREENISH BLACK,OLIVE BROWN",, GREATLY DISTURBED,  *,,,, SOFT, 31210000
70,507,D,4,1,41.0,81.0,9.80,10.21,10.61,, SILICEOUS PELAGIC CLAY, GREENISH GRAY,  MOTTLING, MODERATELY DISTURBED,  *,,,, SOFT,
70,507,D,4,1,82.0,140.0,9.80,10.62,11.20,, GRANULAR HYDROTHERMAL CLAY, GREENISH BLACK,, GREATLY DISTURBED,  *,,,, SOFT, 31210000
70,507,D,4,2,0.0,29.0,9.80,11.30,11.59,, GRANULAR HYDROTHERMAL CLAY, GREENISH BLACK,,,  *,,,, SOFT, 31210000
70,507,D,4,2,31.0,43.0,9.80,11.61,11.73,, CLAY, GREENISH GRAY,,,  *,,,, SOFT, 31210000
70,507,D,4,2,44.0,97.0,9.80,11.74,12.27,, GRANULAR HYDROTHERMAL CLAY," GREENISH BLACK,GREENISH GRAY",,,  *,,,, SOFT, 31210000
70,507,D,4,2,98.0,102.0,9.80,12.28,12.32,, CLAY," GREENISH BLACK,GREENISH GRAY",,,  *,,,, SOFT, 31210000
70,507,D,4,2,103.0,150.0,9.80,12.33,12.80,, GRANULAR HYDROTHERMAL CLAY, GREENISH BLACK,,,  *,,,, SOFT, 31210000
70,507,D,4,3,0.0,12.0,9.80,12.80,12.92,, GRANULAR HYDROTHERMAL CLAY," GREENISH BLACK,GREENISH GRAY", CONTACTS, GREATLY DISTURBED,,,,, SOFT, 31210000
70,507,D,4,3,13.0,60.0,9.80,12.93,13.40,, SILICEOUS PELAGIC CLAY," GREENISH GRAY,GREENISH BLACK",,,  *,,,, SOFT,
70,507,D,4,3,61.0,98.0,9.80,13.41,13.78,, GRANULAR HYDROTHERMAL CLAY, GREENISH BLACK,,,  *,,,, SOFT, 31210000
70,507,D,4,CC,0.0,1.5,9.80,14.00,13.92,, GRANULAR HYDROTHERMAL CLAY, GREENISH BLACK,, GREATLY DISTURBED,  *,,,, SOFT, 31210000
70,507,D,5,1,0.0,62.0,14.20,14.20,14.82,, GRANULAR HYDROTHERMAL CLAY," GREENISH BLACK,OLIVE BROWN,REDDISH ROWN",,,  *,,,, SOFT,
70,507,D,5,1,63.0,96.0,14.20,14.83,15.16,, SILICEOUS CLAY," OLIVE GRAY,GREENISH GRAY", BURROWS, SLIGHTLY DISTURBED,  *,,,, SOFT,
70,507,D,5,1,97.0,115.0,14.20,15.17,15.35,, GRANULAR HYDROTHERMAL CLAY," GREENISH BLACK,BLACK",,,  *,,,, SOFT, 33212000
70,507,D,5,1,116.0,131.0,14.20,15.36,15.51,, NANNO OOZE," GREENISH BLACK,GREENISH GRAY",, MODERATELY DISTURBED,  *,,,, SOFT, 11111210
70,507,D,5,1,132.0,139.0,14.20,15.52,15.59,, GRANULAR HYDROTHERMAL CLAY, GREENISH BLACK,,,  *,,,, SOFT, 33212000
70,507,D,5,2,0.0,35.0,14.20,15.70,16.05,, GRANULAR HYDROTHERMAL CLAY, GREENISH BLACK,, MODERATELY DISTURBED,  *,,,, SOFT, 33212000
70,507,D,5,2,36.0,114.0,14.20,16.06,16.84,, SILICEOUS NANNOFOSSIL OOZE, GREENISH GRAY," MOTTLING,BURROWS",,  *,,,, SOFT,
70,507,D,5,3,0.0,7.0,14.20,17.20,17.27,, FORAM NANNO OOZE, GREENISH GRAY,, MODERATELY DISTURBED,  *,,,, SOFT, 11111210.1221
70,507,D,5,3,8.0,13.0,14.20,17.28,17.33,, GRANULAR HYDROTHERMAL CLAY, GREENISH BLACK,,,  *,,,, SOFT, 33212000
70,507,D,5,3,14.0,25.0,14.20,17.34,17.45,, FORAM NANNO OOZE, GREENISH GRAY,, SLIGHTLY DISTURBED,  *,,,, SOFT, 11111210.1221
70,507,D,5,3,26.0,50.0,14.20,17.46,17.70,, GRANULAR HYDROTHERMAL CLAY, GREENISH BLACK,, MODERATELY DISTURBED,  *,,,, SOFT, 33212000
70,507,D,5,3,51.0,107.0,14.20,17.71,18.27,, FORAM NANNO OOZE, GREENISH GRAY, BURROWS,, VOLCANOGENIC DEPOSITS*, VOLCANIC ASH,,, SOFT,
70,507,D,5,CC,0.0,16.0,14.20,18.60,18.66,, FORAM NANNO OOZE," GREENISH GRAY,GREENISH BLACK",, GREATLY DISTURBED,  *,,,, SOFT,
70,507,D,6,1,0.0,127.0,18.60,18.60,19.87,, GRANULAR HYDROTHERMAL CLAY," GREENISH BLACK,GREENISH GRAY,OLIVE BROWN",,,  *,,,, SOFT,
70,507,D,6,1,128.0,135.0,18.60,19.88,19.95,, FORAM-NANNO OOZE, GREENISH GRAY,,,  *,,,, SOFT, 11111210.1221
70,507,D,6,1,136.0,149.0,18.60,19.96,20.09,, GRANULAR HYDROTHERMAL CLAY, GREENISH GRAY,,,  *,,,, SOFT, 33212000
70,507,D,6,2,0.0,148.0,18.60,20.10,21.58,, GRANULAR HYDROTHERMAL CLAY," GREENISH BLACK,BLACK",, MODERATELY DISTURBED,  *,,,, SOFT, 33212000
70,507,D,6,3,0.0,90.0,18.60,21.60,22.50,, GRANULAR HYDROTHERMAL CLAY," GREENISH GRAY,GREENISH BLACK", BANDING, GREATLY TO MODERATELY DISTURBED,  *,,,, SOFT, 33212000
70,507,D,6,3,91.0,112.0,18.60,22.51,22.72,, SILICEOUS PELAGIC CLAY," GREENISH GRAY,GREENISH BLACK"," MOTTLING,BURROWS",,  *,,,, SOFT, 33211000
70,507,D,6,3,113.0,135.0,18.60,22.73,22.95,, GRANULAR HYDROTHERMAL CLAY," GREENISH BLACK,GRAY",, MODERATELY DISTURBED,  *,,,, SOFT, 33211000
70,507,D,7,1,0.0,70.0,23.00,23.00,23.70,, GRANULAR HYDROTHERMAL CLAY," GREENISH BLACK,GREENISH GRAY", BEDDING,,  *,,,, SOFT, 33211000
70,507,D,7,1,71.0,118.0,23.00,23.71,24.18,, FORAM-NANNO OOZE," GREENISH GRAY,GREENISH BLACK"," BEDDING,BURROWS", MODERATELY DISTURBED,  *,,,, SOFT,
70,507,D,7,1,119.0,130.0,23.00,24.19,24.30,, GRANULAR HYDROTHERMAL CLAY, GREENISH BLACK,, SLIGHTLY DISTURBED,  *,,,, SOFT, 33212000
70,507,D,7,1,131.0,140.0,23.00,24.31,24.40,, FORAM NANNO OOZE," GREENISH GRAY,GREENISH BLACK", MOTTLING, MODERATELY DISTURBED,,,,, SOFT, 11111210.1221
70,507,D,7,2,0.0,78.0,23.00,24.50,25.28,, FORAM NANNO OOZE," YELLOWISH GRAY,GREENISH GRAY",, SLIGHTLY DISTURBED, VOLCANOGENIC DEPOSITS*, VOLCANIC ASH,,, SOFT,
70,507,D,7,2,79.0,84.0,23.00,25.29,25.34,, GRANULAR HYDROTHERMAL CLAY, GREENISH BLACK, U  *, MODERATELY DISTURBED,,,,, SOFT, 33212000
70,507,D,7,2,85.0,113.0,23.00,25.35,25.63,, FORAM NANNO OOZE, GREENISH BLACK,, SLIGHTLY DISTURBED,  *,,,, SOFT,
70,507,D,7,2,114.0,143.0,23.00,25.64,25.93,, HYDROTHERMAL CLAY," GREENISH GRAY,GREENISH BLACK",, SLIGHTLY DISTURBED,  *,,,, SOFT, 33212000
70,507,D,7,3,0.0,149.0,23.00,26.00,27.49,, HYDROTHERMAL CLAY AND PELAGIC OOZE," GREENISH BLACK,BLACK,DUSKY BLACK,GRAYISH BLACK, GREENISH GRAY"," BEDDING,MOTTLING",, VOLCANOGENIC DEPOSITS(?)*, VOLCANIC ASH(?),,, SOFT,
70,507,D,8,1,0.0,139.0,27.40,27.40,28.79,, HYDROTHERMAL SEDIMENT AND PELAGIC OOZE," GREENISH BLACK,BLACK,GRAYISH BLACK,DUSKY BLACK, GREENISH GRAY", BEDDING, GREATLY DISTURBED,  *,,,, SOFT,
70,507,D,8,2,0.0,144.0,27.40,28.90,30.34,, HYDROTHERMAL SEDIMENT AND PELAGIC OOZE," GREENISH GRAY,GREENISH BLACK,BLACK", BEDDING, MODERATELY DISTURBED,,,,, SOFT, 31210000
70,507,D,8,3,0.0,119.0,27.40,30.40,31.59,, PELAGIC OOZE," GREENISH GRAY,GREENISH BLACK"," MOTTLING,BURROWS", MODERATELY DISTURBED*, PEBBLES,,,, SOFT,
70,507,D,8,CC,0.0,0.0,27.40,31.77,31.77,, PELAGIC CLAY," GREENISH GRAY,GREENISH BLACK",, MODERATELY DISTURBED,  *,,,, SOFT,
70,507,D,9,1,0.0,141.0,31.80,31.80,33.21,, PELAGIC OOZE W/HYDROTHERMAL CLAY," GREENISH BLACK,GREENISH GRAY,OLIVE GRAY"," MOTTLING,BURROWS",," NODULES,PEBBLES*", MANGANESE,,, SOFT,
70,507,D,9,2,0.0,143.0,31.80,33.30,34.73,, PELAGIC OOZE," GREENISH GRAY,OLIVE GRAY"," MOTTLING,BURROWS",,  *,,,, SOFT,
70,507,D,9,3,0.0,101.0,31.80,34.80,35.81,, PELAGIC OOZE," GREENISH GRAY,GRAY,OLIVE GRAY"," MOTTLING,BURROWS,BEDDING",,,,,, SOFT, 11111210.1221
70,507,D,9,CC,0.0,0.0,31.80,36.04,36.04,, PELAGIC OOZE," GREENISH GRAY,OLIVE GRAY,GRAY",,,  *,,,, SOFT, 11111210.1221
70,507,D,10,1,0.0,23.0,36.20,36.20,36.43,, HYDROTHERMAL SEDIMENT, GREENISH GRAY,, MODERATELY DISTURBED, PEBBLES*,,,, SOFT, 33212000
70,507,D,10,1,24.0,40.0,36.20,36.44,36.60,, HYDROTHERMAL CLAY W/PELAGIC OOZE," GREENISH GRAY,GREENISH BLACK",,,  *,,,, SOFT,
70,507,D,10,1,41.0,107.0,36.20,36.61,37.27,, PELAGIC OOZE," GRAY,GREENISH BLACK",,, PEBBLES*,,,, SOFT,
70,507,D,10,2,0.0,150.0,36.20,37.70,39.20,, PELAGIC OOZE, GREENISH GRAY,,, VOLCANOGENIC DEPOSITS*, VOLCANIC GLASS,,, SOFT, 11111210
70,507,D,10,3,0.0,90.0,36.20,39.20,40.10,, PELAGIC OOZE, GREENISH GRAY,,, VOLCANOGENIC DEPOSITS*, VOLCANIC GLASS,,, SOFT, 11111210
70,507,D,10,CC,0.0,0.0,36.20,40.20,40.20,, PELAGIC OOZE, GREENISH GRAY,,, VOLCANOGENIC DEPOSITS*, VOLCANIC GLASS,,, SOFT, 11111210
