leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
71,511,,1,1,20.0,20.0,0.00,0.20, 5,WISE,09/1983,71,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,488,NCALD0010,Calcidiscus leptoporus,ABUNDANT,  ,1,e186afd1c9d302fb18aa9721e718cc78
71,511,,1,1,20.0,20.0,0.00,0.20, 5,WISE,09/1983,71,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,488,NCOCO0300,Coccolithus pelagicus,FEW,  ,1,492d8a153fd4f065609d34983913a31f
71,511,,1,1,20.0,20.0,0.00,0.20, 5,WISE,09/1983,71,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,488,NEMIL0020,Emiliania huxleyi,DOMINANT,  ,1,bd394298f80060b2680043f596c6398d
71,511,,1,1,20.0,20.0,0.00,0.20, 5,WISE,09/1983,71,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,488,NGEPH0100,Gephyrocapsa sp.,FEW,  ,1,732778bff9be95515c509a41becc2e72
71,511,,1,1,20.0,20.0,0.00,0.20, 5,WISE,09/1983,71,NANNOFOSSILS,ABUNDANT,,,GOOD,NO AGE GIVEN,488,NHELC0020,Helicosphaera carteri,COMMON,  ,1,9f97f2cb468da66629d3347053b5aaf3
71,511,,2,3,103.0,103.0,5.00,9.03, 5,WISE,09/1983,71,NANNOFOSSILS,FEW,,,POOL,NO AGE GIVEN,488,NCHIA0010,Chiasmolithus altus,COMMON,  ,1,bd1239736e6623c1c00e42691b286a03
71,511,,2,3,103.0,103.0,5.00,9.03, 5,WISE,09/1983,71,NANNOFOSSILS,FEW,,,POOL,NO AGE GIVEN,488,NRETI0022,Reticulofenestra bisecta bisecta,ABUNDANT,  ,1,913ba4ddcd6cfd34bd27c61646102e5e
71,511,,2,3,103.0,103.0,5.00,9.03, 5,WISE,09/1983,71,NANNOFOSSILS,FEW,,,POOL,NO AGE GIVEN,488,NRETI0023,Reticulofenestra bisecta filewiczii,COMMON,  ,1,f296bcb04ef6e6ca255bbbb5b44fc33f
71,511,,2,3,103.0,103.0,5.00,9.03, 5,WISE,09/1983,71,NANNOFOSSILS,FEW,,,POOL,NO AGE GIVEN,488,NRETI0060,Reticulofenestra daviesi,COMMON,  ,1,f0c32bf88cb244b31cd841d0072b0821
71,511,,2,3,103.0,103.0,5.00,9.03, 5,WISE,09/1983,71,NANNOFOSSILS,FEW,,,POOL,NO AGE GIVEN,488,NRETI0240,Reticulofenestra umbilica,FEW,  ,1,74901923ed416f55b1371c164d1fd16b
71,511,,2,4,23.0,23.0,5.00,9.73, 6,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,MODERATE,NO AGE GIVEN,488,NCHIA0010,Chiasmolithus altus,ABUNDANT,  ,1,25dca175bf4b5d4bdb3ec847f9e9cc9a
71,511,,2,4,23.0,23.0,5.00,9.73, 6,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,MODERATE,NO AGE GIVEN,488,NCOCO0300,Coccolithus pelagicus,ABUNDANT,  ,1,a5a9d1b941c744221defeee893b7362e
71,511,,2,4,23.0,23.0,5.00,9.73, 6,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,MODERATE,NO AGE GIVEN,488,NRETI0022,Reticulofenestra bisecta bisecta,ABUNDANT,  ,1,a64435d9fe8de2c316c4c77bcd4b13ff
71,511,,2,4,23.0,23.0,5.00,9.73, 6,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,MODERATE,NO AGE GIVEN,488,NRETI0023,Reticulofenestra bisecta filewiczii,ABUNDANT,  ,1,5a7d9eb3b7031ab2d9d1841647598ca4
71,511,,2,4,23.0,23.0,5.00,9.73, 6,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,MODERATE,NO AGE GIVEN,488,NRETI0060,Reticulofenestra daviesi,COMMON,  ,1,a31f33321cf2fd1b527c4e093f12a5d4
71,511,,2,4,23.0,23.0,5.00,9.73, 6,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,MODERATE,NO AGE GIVEN,488,NRETI0240,Reticulofenestra umbilica,FEW,  ,1,330098aa11293623faf5a7e9184e095a
71,511,,2,CC,,,5.00,11.23, 8,WISE,09/1983,71,NANNOFOSSILS,FEW,,,POOL,NO AGE GIVEN,488,NCHIA0010,Chiasmolithus altus,ABUNDANT,  ,1,1adf180914331abb8fa9580f3f20e650
71,511,,2,CC,,,5.00,11.23, 8,WISE,09/1983,71,NANNOFOSSILS,FEW,,,POOL,NO AGE GIVEN,488,NCOCO0300,Coccolithus pelagicus,ABUNDANT,  ,1,00b67f81b9f98f319ae2e536ff7ce787
71,511,,2,CC,,,5.00,11.23, 8,WISE,09/1983,71,NANNOFOSSILS,FEW,,,POOL,NO AGE GIVEN,488,NCYCI0040,Cyclicargolithus floridanus,FEW,  ,1,544749c404811bdad05aa41fffe0af8f
71,511,,2,CC,,,5.00,11.23, 8,WISE,09/1983,71,NANNOFOSSILS,FEW,,,POOL,NO AGE GIVEN,488,NDISC0125,Discoaster deflandrei,RARE,  ,1,76a57c846c9ad440972c9e556182dd37
71,511,,2,CC,,,5.00,11.23, 8,WISE,09/1983,71,NANNOFOSSILS,FEW,,,POOL,NO AGE GIVEN,488,NRETI0022,Reticulofenestra bisecta bisecta,ABUNDANT,  ,1,96643c43242aa2686d2968e734586adf
71,511,,2,CC,,,5.00,11.23, 8,WISE,09/1983,71,NANNOFOSSILS,FEW,,,POOL,NO AGE GIVEN,488,NRETI0023,Reticulofenestra bisecta filewiczii,ABUNDANT,  ,1,4bf8f0c0e4300faf3f87a2b7e23c2684
71,511,,2,CC,,,5.00,11.23, 8,WISE,09/1983,71,NANNOFOSSILS,FEW,,,POOL,NO AGE GIVEN,488,NRETI0060,Reticulofenestra daviesi,COMMON,  ,1,740bdb7b5dd7c72085ffa27da3f31115
71,511,,2,CC,,,5.00,11.23, 8,WISE,09/1983,71,NANNOFOSSILS,FEW,,,POOL,NO AGE GIVEN,488,NRETI0240,Reticulofenestra umbilica,COMMON,  ,1,b4728dedf1de2c0b8b363fff33827ab9
71,511,,3,1,69.0,69.0,14.50,15.19, 8,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,GOOD,NO AGE GIVEN,488,NCHIA0010,Chiasmolithus altus,ABUNDANT,  ,1,ee2e3a25435e5f79f39ecfd523deb2a6
71,511,,3,1,69.0,69.0,14.50,15.19, 8,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,GOOD,NO AGE GIVEN,488,NCOCO0300,Coccolithus pelagicus,ABUNDANT,  ,1,f18dfb60d34b25912b2e0bb341deffbe
71,511,,3,1,69.0,69.0,14.50,15.19, 8,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,GOOD,NO AGE GIVEN,488,NCYCI0040,Cyclicargolithus floridanus,FEW,  ,1,719df434928132a95f114ecd4a97959c
71,511,,3,1,69.0,69.0,14.50,15.19, 8,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,GOOD,NO AGE GIVEN,488,NDISC0480,Discoaster tanii nodifer,RARE,  ,1,d5b91816daa975bf6ac49f3219b144c8
71,511,,3,1,69.0,69.0,14.50,15.19, 8,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,GOOD,NO AGE GIVEN,488,NRETI0022,Reticulofenestra bisecta bisecta,COMMON,  ,1,41bc4effffd4ee1635c828167e83cd05
71,511,,3,1,69.0,69.0,14.50,15.19, 8,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,GOOD,NO AGE GIVEN,488,NRETI0023,Reticulofenestra bisecta filewiczii,COMMON,  ,1,f0c8bf66eb70643bb15327574d63c2cf
71,511,,3,1,69.0,69.0,14.50,15.19, 8,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,GOOD,NO AGE GIVEN,488,NRETI0060,Reticulofenestra daviesi,COMMON,  ,1,af6e303830d66a2e19fec5fb9a7f6c6a
71,511,,3,1,69.0,69.0,14.50,15.19, 8,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,GOOD,NO AGE GIVEN,488,NRETI0240,Reticulofenestra umbilica,ABUNDANT,  ,1,aa47112a0cb0d64981873dbf904ccd6b
71,511,,3,3,69.0,69.0,14.50,18.19, 6,WISE,09/1983,71,NANNOFOSSILS,FEW,,,GOOD,NO AGE GIVEN,488,NCHIA0010,Chiasmolithus altus,ABUNDANT,  ,1,5516b0327c78f976358881e60d40ee7a
71,511,,3,3,69.0,69.0,14.50,18.19, 6,WISE,09/1983,71,NANNOFOSSILS,FEW,,,GOOD,NO AGE GIVEN,488,NCOCO0300,Coccolithus pelagicus,ABUNDANT,  ,1,32a9c760bf3e28989c811e86be7b92f7
71,511,,3,3,69.0,69.0,14.50,18.19, 6,WISE,09/1983,71,NANNOFOSSILS,FEW,,,GOOD,NO AGE GIVEN,488,NRETI0022,Reticulofenestra bisecta bisecta,COMMON,  ,1,ae1d4f94dfbb8dc9d85571db1bde8ab4
71,511,,3,3,69.0,69.0,14.50,18.19, 6,WISE,09/1983,71,NANNOFOSSILS,FEW,,,GOOD,NO AGE GIVEN,488,NRETI0023,Reticulofenestra bisecta filewiczii,COMMON,  ,1,f1b909e3a1d0bb37b215052c804d560a
71,511,,3,3,69.0,69.0,14.50,18.19, 6,WISE,09/1983,71,NANNOFOSSILS,FEW,,,GOOD,NO AGE GIVEN,488,NRETI0060,Reticulofenestra daviesi,COMMON,  ,1,e94901dcf3afeacac80a1d4e82ba9a1a
71,511,,3,3,69.0,69.0,14.50,18.19, 6,WISE,09/1983,71,NANNOFOSSILS,FEW,,,GOOD,NO AGE GIVEN,488,NRETI0240,Reticulofenestra umbilica,ABUNDANT,  ,1,e2664f1774ab74b6e3317e15812ad031
71,511,,3,3,69.0,69.0,14.50,18.19, 9,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,GOOD,NO AGE GIVEN,488,NCHIA0010,Chiasmolithus altus,ABUNDANT,  ,1,97c55e10140266ed0f4027fc0e1a1f04
71,511,,3,3,69.0,69.0,14.50,18.19, 9,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,GOOD,NO AGE GIVEN,488,NCOCO0300,Coccolithus pelagicus,COMMON,  ,1,7faf799431a3c04140ef54052b175e4f
71,511,,3,3,69.0,69.0,14.50,18.19, 9,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,GOOD,NO AGE GIVEN,488,NDISC0125,Discoaster deflandrei,FEW,  ,1,4e2d8d82ca52cffbbe133be7bca7af5c
71,511,,3,3,69.0,69.0,14.50,18.19, 9,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,GOOD,NO AGE GIVEN,488,NRETI0022,Reticulofenestra bisecta bisecta,COMMON,  ,1,b15cb7f7e82d50a6f684bc14efae1a8a
71,511,,3,3,69.0,69.0,14.50,18.19, 9,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,GOOD,NO AGE GIVEN,488,NRETI0023,Reticulofenestra bisecta filewiczii,ABUNDANT,  ,1,d723b92f567fead6c39049b835f09231
71,511,,3,3,69.0,69.0,14.50,18.19, 9,WISE,09/1983,71,NANNOFOSSILS,COMMON,,,GOOD,NO AGE GIVEN,488,NRETI0060,Reticulofenestra daviesi,ABUNDANT,  ,1,874548225785f10f9ed666d58dae42a4
