leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id,sample
71,513,,1,1,123.0,125.0,0.00,1.24, 5,CIESIELSKI,09/1983,71,DIATOMS,,,,,NO AGE GIVEN,648,DCOSC0440,Coscinodiscus lentiginosus,COMMON,  ,1,97f23d79904c112296e0623207f8918d,71-513-1-1
71,513,,1,1,123.0,125.0,0.00,1.24, 5,CIESIELSKI,09/1983,71,DIATOMS,,,,,NO AGE GIVEN,648,DCOSC0442,Coscinodiscus lentiginosus obovatus,COMMON,  ,1,55f0bc2e1655c62a32128c156f2f0c70,71-513-1-1
71,513,,1,1,123.0,125.0,0.00,1.24, 5,CIESIELSKI,09/1983,71,DIATOMS,,,,,NO AGE GIVEN,648,DEUCA0005,Eucampia antarctica,COMMON,  ,1,fcb21d73388cc4ada1ab172ee16cc001,71-513-1-1
71,513,,1,1,123.0,125.0,0.00,1.24, 5,CIESIELSKI,09/1983,71,DIATOMS,,,,,NO AGE GIVEN,648,DNITZ0030,Nitzschia angulata,TRACE,  ,1,e2c473c385a2b40a9cd3a8eccdffd609,71-513-1-1
71,513,,1,1,123.0,125.0,0.00,1.24, 5,CIESIELSKI,09/1983,71,DIATOMS,,,,,NO AGE GIVEN,648,DNITZ0330,Nitzschia kerguelensis,DOMINANT,  ,1,a588613dcc25134c09a4cf6da98a3662,71-513-1-1
71,513,,1,3,55.0,57.0,0.00,3.56, 5,CIESIELSKI,09/1983,71,DIATOMS,,,,,NO AGE GIVEN,648,DCOSC0440,Coscinodiscus lentiginosus,ABUNDANT,  ,1,8262076cb4d388c38b6bffbf1f1c6a8e,71-513-1-3
71,513,,1,3,55.0,57.0,0.00,3.56, 5,CIESIELSKI,09/1983,71,DIATOMS,,,,,NO AGE GIVEN,648,DCOSC0442,Coscinodiscus lentiginosus obovatus,COMMON,  ,1,54e2b157234d4776a53d34d10c4fe938,71-513-1-3
71,513,,1,3,55.0,57.0,0.00,3.56, 5,CIESIELSKI,09/1983,71,DIATOMS,,,,,NO AGE GIVEN,648,DEUCA0005,Eucampia antarctica,COMMON,  ,1,89176d7b23989f4da24bde503b551ff1,71-513-1-3
71,513,,1,3,55.0,57.0,0.00,3.56, 5,CIESIELSKI,09/1983,71,DIATOMS,,,,,NO AGE GIVEN,648,DNITZ0030,Nitzschia angulata,COMMON,  ,1,c1035f358ce687978bbeda2a0bc08de8,71-513-1-3
71,513,,1,3,55.0,57.0,0.00,3.56, 5,CIESIELSKI,09/1983,71,DIATOMS,,,,,NO AGE GIVEN,648,DNITZ0330,Nitzschia kerguelensis,DOMINANT,  ,1,cdb921ededa79a0bd85c74a39e16b17f,71-513-1-3
