leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
72,515,B,PLEISTOCENE,PLIOCENE,123.4,132.9,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,0.011,    5,2.506,DSDP INITIAL REPORTS
72,515,B,LOWER PLIOCENE,UPPER MIOCENE,142.5,151.9,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  3.4, 10.5, 6.95,DSDP INITIAL REPORTS
72,515,B,MIDDLE MIOCENE,,161.4,170.9,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
72,515,B,LOWER PLIOCENE,,170.9,180.4,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,  3.4,    5,  4.2,DSDP INITIAL REPORTS
72,515,B,MIDDLE MIOCENE,,180.4,227.9,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
72,515,B,LOWER MIOCENE,,227.9,417.9,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
72,515,B,LOWER MIOCENE,UPPER OLIGOCENE,417.9,465.4,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   16,   30,   23,DSDP INITIAL REPORTS
72,515,B,UPPER OLIGOCENE,,465.4,512.9,,NO AGE GIVEN,,NO AGE GIVEN, 22.5,   30,26.25,DSDP INITIAL REPORTS
72,515,B,OLIGOCENE,,512.9,541.4,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN, 22.5, 37.5,   30,DSDP INITIAL REPORTS
72,515,B,LOWER MIOCENE,UPPER OLIGOCENE,541.4,550.9,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   16,   30,   23,DSDP INITIAL REPORTS
72,515,B,UPPER OLIGOCENE,,569.9,607.9,,NO AGE GIVEN,,NO AGE GIVEN, 22.5,   30,26.25,DSDP INITIAL REPORTS
72,515,B,OLIGOCENE,EOCENE,607.9,617.4,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 22.5, 53.5,   38,DSDP INITIAL REPORTS
72,515,B,LOWER EOCENE,,617.4,636.4,,NO AGE GIVEN,,NO AGE GIVEN,   49, 53.5,51.25,DSDP INITIAL REPORTS
