leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding,eodp_id,sample
74,526,C,1,1,0.0,100.0,33.00,33.00,34.00,AL, NANNOFOSSIL FORAMINIFERAL SAND, LIGHT GREY,,,,," SHELL DEBRIS,FORAMINIFERS,ECHINOIDS, SPINES",, SOFT, 00000000,f9d005f168bb9eb39862f6af19e3e574,74-526C-1-1
74,526,C,2,1,0.0,150.0,42.50,42.50,44.00,GD, FORAMINIFERAL NANNOFOSSIL OOZE, BLUISH WHITE,, GREATLY DEFORMED,,,,, SOFT, 00000000,7186221599b1ce6474cf00f5608becc2,74-526C-2-1
74,526,C,2,2,0.0,150.0,42.50,44.00,45.50,GD, FORAMINIFERAL NANNOFOSSIL OOZE, BLUISH WHITE,, GREATLY DEFORMED,,,,, SOFT, 00000000,ff80ae347e487c1d1d5e886f64eb058c,74-526C-2-2
74,526,C,2,3,0.0,150.0,42.50,45.50,47.00,GD, FORAMINIFERAL NANNOFOSSIL OOZE, BLUISH WHITE,, GREATLY DEFORMED,,,,, SOFT, 00000000,dd3c3ac3a3bb8e4c5d31e22ece6ae90c,74-526C-2-3
74,526,C,2,4,0.0,150.0,42.50,47.00,48.50,GD, FORAMINIFERAL NANNOFOSSIL OOZE, BLUISH WHITE,, GREATLY DEFORMED,,,,, SOFT, 00000000,5e4957b4b23578d077b719ada3139f8a,74-526C-2-4
74,526,C,2,5,0.0,150.0,42.50,48.50,50.00,GD, FORAMINIFERAL NANNOFOSSIL OOZE, BLUISH WHITE,, GREATLY DEFORMED,,,,, SOFT, 00000000,640ea60b451c5c6b59ac613cc9d522ba,74-526C-2-5
74,526,C,2,6,0.0,150.0,42.50,50.00,51.50,GD, FORAMINIFERAL NANNOFOSSIL OOZE, WHITE, BURROWS, MODERATELY DEFORMED,,,,, SOFT, 00000000,d9946c0902aa94089c2f50a6f97b277f,74-526C-2-6
74,526,C,2,7,0.0,68.0,42.50,51.50,52.18,GD, FORAMINIFERAL NANNOFOSSIL OOZE, WHITE, BURROWS, MODERATELY DEFORMED,,,,, SOFT, 00000000,9bad74808607cdfab1d54215e5423644,74-526C-2-7
74,526,C,2,CC,0.0,11.0,42.50,52.28,52.29,GD, FORAMINIFERAL NANNOFOSSIL CHALK, WHITE,,,,,,, FIRM, 00000000,82d1f7a667cbd8d2bf000370c45ac1d8,74-526C-2-CC
74,526,C,3,1,0.0,150.0,52.00,52.00,53.50,AL, FORAMINIFERAL NANNOFOSSIL OOZE," WHITE,GRAYISH BLUE",, GREATLY DEFORMED,,,,, SOFT, 00000000,efe9f14f3246ce63d79da3f54ea79963,74-526C-3-1
74,526,C,3,2,0.0,150.0,52.00,53.50,55.00,AL, FORAMINIFERAL NANNOFOSSIL OOZE," WHITE,GRAYISH BLUE",, GREATLY DEFORMED,,,,, SOFT, 00000000,3c97e9bdf2cf30fb144381a2f1204b9a,74-526C-3-2
74,526,C,3,3,0.0,55.0,52.00,55.00,55.55,AL, FORAMINIFERAL NANNOFOSSIL OOZE, WHITE TO YELLOWISH GRAY, BEDDING, GREALTY DEFORMED,,,,, SOFT, 00000000,4b3c1f71a9c115106a16bb511c40fc64,74-526C-3-3
74,526,C,3,CC,0.0,20.0,52.00,55.65,55.75,AL, FORAMINIFERAL NANNOFOSSIL OOZE, WHITE,,,,,,, SOFT, 00000000,fb261ed5a3f59f8df2e3ff6de27399f8,74-526C-3-CC
74,526,C,4,1,0.0,150.0,194.50,194.50,196.00,PEB, FORAMINIFERAL NANNOFOSSIL OOZE, PINKISH GRAY,, GREATLY DEFORMED,,,,, SOFT, 00000000,4d46a4fa855f5bbc8bc1510e601ff4d5,74-526C-4-1
74,526,C,4,2,0.0,150.0,194.50,196.00,197.50,PEB, FORAMINIFERAL NANNOFOSSIL OOZE, PINKISH GRAY,, GREATLY DEFORMED,,,,, SOFT, 00000000,be06ca058db78cd81cbce56acaf87a17,74-526C-4-2
74,526,C,4,3,0.0,150.0,194.50,197.50,199.00,PEB, FORAMINIFERAL NANNOFOSSIL OOZE, PINKISH GRAY,, GREATLY DEFORMED,,,,, SOFT, 00000000,24a7dfc5fce9e962092c66eeca841196,74-526C-4-3
74,526,C,4,4,0.0,150.0,194.50,199.00,200.50,PEB, FORAMINIFERAL NANNOFOSSIL OOZE, PINKISH GRAY,, GREATLY DEFORMED,,,,, SOFT, 00000000,2daf9cdb8fa6dfe5b65a909d842db04d,74-526C-4-4
74,526,C,4,5,0.0,150.0,194.50,200.50,202.00,PEB, FORAMINIFERAL NANNOFOSSIL OOZE, PINKISH GRAY,, GREATLY DEFORMED,,,,, SOFT, 00000000,2e1b36fb21301fb02b6fecc4193bd5be,74-526C-4-5
74,526,C,4,6,0.0,150.0,194.50,202.00,203.50,PEB, FORAMINIFERAL NANNOFOSSIL OOZE, PINKISH GRAY,, GREATLY DEFORMED,,,,, SOFT, 00000000,b7cad7e331d2d7182c8f3e8c8972872b,74-526C-4-6
74,526,C,4,7,0.0,64.0,194.50,203.50,204.14,PEB, FORAMINIFERAL NANNOFOSSIL OOZE, PINKISH GRAY,, GREATLY DEFORMED,,,,, SOFT, 00000000,1ed879188671bdf66a1567d6cf6539fa,74-526C-4-7
74,526,C,4,CC,0.0,10.0,194.50,204.24,204.24,PEB, FORAMINIFERAL NANNOFOSSIL OOZE, PINKISH GRAY,, GREATLY DEFORMED,,,,, SOFT, 00000000,92bc0ad8024789c31bc92d8bafa58967,74-526C-4-CC
74,526,C,5,1,0.0,150.0,204.00,204.00,205.50,DF, FORAMINIFERAL NANNOFOSSIL OOZE, PINKISH GRAY,, GREATLY DEFORMED,,,,, SOFT, 00000000,dd75fa5b77adf7cc521bce86e5923dca,74-526C-5-1
74,526,C,5,2,0.0,150.0,204.00,205.50,207.00,DF, FORAMINIFERAL NANNOFOSSIL OOZE, PINKISH GRAY,, GREATLY DEFORMED,,,,, SOFT, 00000000,9a5be168fd307a27d319b9e97c83f93c,74-526C-5-2
74,526,C,5,3,0.0,150.0,204.00,207.00,208.50,PEB, FORAMINIFERAL NANNOFOSSIL OOZE, PINKISH GRAY,, GREATLY DEFORMED,,,,, SOFT, 00000000,1bddba845d06362597c8b8e6f9b499eb,74-526C-5-3
74,526,C,5,4,0.0,150.0,204.00,208.50,210.00,PEB, FORAMINIFERAL NANNOFOSSIL OOZE, PINKISH GRAY,, GREATLY DEFORMED,,,,, SOFT, 00000000,cbbed60bdecb845a36aeb178fae5b0d6,74-526C-5-4
74,526,C,5,5,0.0,150.0,204.00,210.00,211.50,PEB, FORAMINIFERAL NANNOFOSSIL OOZE, PINKISH GRAY,, GREATLY DEFORMED,,,,, SOFT, 00000000,51443b1cfbe1c83dbc69152e891a450a,74-526C-5-5
74,526,C,5,6,0.0,150.0,204.00,211.50,213.00,PEB, FORAMINIFERAL NANNOFOSSIL OOZE, PINKISH GRAY,, GREATLY DEFORMED,,,,, SOFT, 00000000,5b0c3a1aa78f89d183d49a65fda1d65d,74-526C-5-6
74,526,C,5,7,0.0,69.0,204.00,213.00,213.69,PEB, FORAMINIFERAL NANNOFOSSIL OOZE, PINKISH GRAY, BEDDING, MODERATELY DEFORMED,,,,, SOFT, 00000000,283391c267381517e452031252b95a94,74-526C-5-7
74,526,C,5,CC,0.0,15.0,204.00,213.79,213.84,PEB, FORAMINIFERAL NANNOFOSSIL OOZE, PINKISH GRAY, BEDDING, MODERATELY DEFORMED,,,,, SOFT, 00000000,2d5e518d321ade21b4f7f8558ff6e99a,74-526C-5-CC
74,526,C,6,1,0.0,150.0,213.50,213.50,215.00,PEB, FORAMINIFERAL NANNOFOSSIL OOZE, PINKISH GRAY,, GREATLY DEFORMED,,,,, SOFT, 00000000,1bf807336dd58229c54b97714b013d94,74-526C-6-1
