leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding,eodp_id,sample
78,542,,1,1,0.0,150.0,202.00,202.00,203.50,MSC, NANNOFOSSIL-RICH MUD, DARK GRAY, BURROWS,, VOLCANOGENIC DEPOSITS, VOLCANIC ASH,,, SOFT, 33213000.1210,1c347e3b62c2441887d404335738d6f2,78-542-1-1
78,542,,1,2,0.0,150.0,202.00,203.50,205.00,MSC, FORAMINIFERAL-RICH NANNOFOSSIL MUD," LIGHT GRAY,OLIVE GRAY,BLACK", BURROWS,, VOLCANOGENIC DEPOSITS, VOLCANIC ASH,,, SOFT, 12131210.1221,5b7fb527aed298477ade716009c6cbc2,78-542-1-2
78,542,,1,3,0.0,150.0,202.00,205.00,206.50,MSC, FORAMINIFERAL-RICH NANNOFOSSIL MUD," LIGHT GRAY,BROWNISH BLACK"," BURROWS,MOTTLING,CONTACT",, VOLCANOGENIC DEPOSITS, VOLCANIC ASH,,, SOFT, 12131210.1221,121216372cdd2fa9ffd5a5bdd1fc1ebf,78-542-1-3
78,542,,1,4,0.0,150.0,202.00,206.50,208.00,MSC, FORAMINIFERAL-RICH NANNOFOSSIL MUD," LIGHT GRAY,BROWNISH BLACK"," BURROWS,MOTTLING,CONTACT",, VOLCANOGENIC DEPOSITS, VOLCANIC ASH,,, SOFT, 12131210.1221,eef1454bb29abd552ee13f54ff3a7a26,78-542-1-4
78,542,,1,5,0.0,150.0,202.00,208.00,209.50,MSC, FORAMINIFERAL-RICH NANNOFOSSIL MUD," LIGHT GRAY,BROWNISH BLACK"," BURROWS,MOTTLING,CONTACT",, VOLCANOGENIC DEPOSITS, VOLCANIC ASH,,, SOFT, 12131210.1221,b0a8360bea6a465dab484c408f403d84,78-542-1-5
78,542,,1,6,0.0,150.0,202.00,209.50,211.00,MSC, FORAMINIFERAL-RICH NANNOFOSSIL MUD," LIGHT GRAY,GRAYISH BROWN"," BURROWS,MOTTLING,CONTACT",, VOLCANOGENIC DEPOSITS, VOLCANIC ASH,,, SOFT, 12131210.1221,619ff7594cc74450e08e42b7477ba90c,78-542-1-6
78,542,,1,7,0.0,50.0,202.00,211.00,211.50,MSC, FORAMINIFERAL-RICH NANNOFOSSIL MUD," LIGHT GRAY,GRAYISH BROWN"," BURROWS,MOTTLING,CONTACT",,,,,, SOFT, 12131210.1221,dec4dd10658dfa4c4e8aaf0d8c619898,78-542-1-7
78,542,,1,CC,0.0,10.0,202.00,211.61,211.61,MSC, FORAMINIFERAL-RICH NANNOFOSSIL MUD, LIGHT GRAY,,,,,,, SOFT, 12131210.1221,b5d711997cd17a0b8a64adf12ff80d0d,78-542-1-CC
78,542,,2,1,0.0,75.0,211.50,211.50,212.25,CAR, MUD, OLIVE GRAY,,, VOLCANOGENIC DEPOSIT, VOLCANIC ASH, FORAMINIFERS,, SOFT, 33233000,62d34ebd8376c018b32f7b79dbab5407,78-542-2-1
78,542,,2,2,0.0,150.0,211.50,213.00,214.50,CAR, MUD," OLIVE GRAY,OLIVE, LIGHT GRAY"," BURROWS,MOTTLING",, VOLCANIC DEPOSITS, VOLCANIC ASH,,, SOFT, 33233000,34945810bc1a746c7388a7d968b22f53,78-542-2-2
78,542,,2,3,0.0,150.0,211.50,214.50,216.00,CAR, CALCAREOUS MUD," OLIVE GRAY,OLIVE, LIGHT GRAY"," BURROWS,MOTTLING",, VOLCANIC DEPOSITS, VOLCANIC ASH,,, SOFT, 11111210,5206395f969b548518d6939c1ffaadc1,78-542-2-3
78,542,,2,4,0.0,150.0,211.50,216.00,217.50,CAR, CALCAREOUS MUD," OLIVE GRAY,OLIVE, LIGHT GRAY"," BURROWS,MOTTLING,CONTACTS",, VOLCANIC DEPOSITS, VOLCANIC ASH, FORAMINIFERS,, SOFT, 11111210,e9b831dc5826897d29f51656fb3dfbc5,78-542-2-4
78,542,,2,5,0.0,150.0,211.50,217.50,219.00,CAR, NANNOFOSSIL MUD, OLIVE GRAY," BURROWS,MOTTLING",, VOLCANIC DEPOSITS, VOLCANIC ASH,,, SOFT, 11111210,4374593240bf07b9ad0cec380e40efde,78-542-2-5
78,542,,2,6,0.0,150.0,211.50,219.00,220.50,CAR, NANNOFOSSIL MUD, OLIVE GRAY," BURROWS,MOTTLING,CONTACTS",, VOLCANIC DEPOSITS, VOLCANIC ASH,,, SOFT, 11111210,7b610f7f922214b980ddd2855887f4e1,78-542-2-6
78,542,,2,7,0.0,12.0,211.50,220.50,220.62,CAR, NANNOFOSSIL MUD, OLIVE GRAY,,,,,,, SOFT, 11111210,161682a70de9490c19a92120ab1a3049,78-542-2-7
78,542,,2,CC,0.0,10.0,211.50,220.80,220.80,CAR, NANNOFOSSIL MUD, OLIVE GRAY,,, VOLCANIC DEPOSITS, VOLCANIC ASH,,, SOFT, 11111210,0347f624ecff0fe2a16be09558dfe05f,78-542-2-CC
78,542,,3,1,0.0,150.0,221.00,221.00,222.50,DSC, NANNOFOSSIL MUD," LIGHT GRAY,BLUISH GRAY", MOTTLING,, VOLCANIC DEPOSITS, VOLCANIC ASH, FORAMINIFERS,, SOFT, 11111210,4f17a3afb2ce428559c15577ec40dac6,78-542-3-1
78,542,,3,2,0.0,150.0,221.00,222.50,224.00,DSC, NANNOFOSSIL MUD," LIGHT BROWNISH GRAY,OLIVE GRAY"," MOTTLING,BURROWS",, VOLCANIC DEPOSITS, VOLCANIC ASH,,, SOFT, 11111210,539d460627781d4024201bfde3573e61,78-542-3-2
78,542,,3,3,0.0,150.0,221.00,224.00,225.50,DSC, NANNOFOSSIL MUD," LIGHT BROWNISH GRAY,BLUISH GRAY", MOTTLING,, VOLCANIC DEPOSITS, VOLCANIC ASH,,, SOFT, 11111210,b60299667ed165b4d246ba526a70e783,78-542-3-3
78,542,,3,4,0.0,150.0,221.00,225.50,227.00,DSC, NANNOFOSSIL MUD," LIGHT BROWNISH GRAY,BLUISH GRAY", MOTTLING,, VOLCANIC DEPOSITS, VOLCANIC ASH,,, SOFT, 11111210,3825968bd45fc2356f3cda74cebbce35,78-542-3-4
78,542,,3,5,0.0,150.0,221.00,227.00,228.50,DSC, NANNOFOSSIL MUD," LIGHT BROWNISH GRAY,BLUISH GRAY", MOTTLING,,,,,, SOFT, 11111210,e9b5f5cb359dc3f6bdfeda56dcea58e8,78-542-3-5
