leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding,eodp_id
78,543,A,1,1,0.0,150.0,0.00,0.00,1.50,DSC, MUD, YELLOWISH BROWN,, GREATLY DISTURBED, VOLCANOGENIC DEPOSITS, VOLCANIC ASH,,, SOFT, 33233000,e2013ce142c1acdd6e8c3074bc7a9297
78,543,A,1,2,0.0,150.0,0.00,1.50,3.00,DSC, MUD, BROWN,, GREATLY DISTURBED, VOLCANOGENIC DEPOSITS, VOLCANIC ASH,,, SOFT, 33233000,1bdb6215b835d18a52ff2c0f8ea7369f
78,543,A,1,3,0.0,150.0,0.00,3.00,4.50,DSC, MUD," GRAYISH BROWN,YELLOWISH BROWN",, GREATLY DISTURBED, VOLCANOGENIC DEPOSITS, VOLCANIC ASH,,, SOFT, 33213000,acc7a0db1b451178f797a3dab8d11033
78,543,A,1,4,0.0,94.0,0.00,4.50,5.44,DSC, MUD," GRAYISH BROWN,YELLOWISH BROWN",, GREATLY DISTURBED, VOLCANOGENIC DEPOSITS, VOLCANIC ASH,,, SOFT, 33213000,5ba863a209fba2e4f4d972f2ce8df041
78,543,A,1,5,0.0,150.0,0.00,6.00,7.50,DSC, MUD, DARK GRAYISH BROWN,, GREATLY DISTURBED, VOLCANOGENIC DEPOSITS, VOLCANIC ASH,,, SOFT, 33213000,ed9191eaf20da49226e7fdb7c46cd277
78,543,A,1,6,0.0,88.0,0.00,7.50,8.38,DSC, MUD, DARK GRAYISH BROWN,, GREATLY DISTURBED, VOLCANOGENIC DEPOSITS, VOLCANIC ASH,,, SOFT, 33213000,e75bcbf6c9f3d3bd1b6d7399529f1604
78,543,A,1,CC,0.0,5.0,0.00,8.48,8.43,DSC, MUD, DARK GRAYISH BROWN,,,,,,, SOFT, 33213000,5b7f4af79166067e5ee18e9a99fc2eb4
78,543,A,2,1,0.0,140.0,332.00,332.00,333.40,AUD, CLAYSTONE," YELLOWISH BROWN,GREENISH GRAY,BROWNISH YELLOW"," LAMINAE,BEDDING", MODERATELY DISTURBED, VOLCANIC DEPOSITS, VOLCANIC ASH,,, HARD, 33231000,e88844c1ac98a187c710eb15702bb904
78,543,A,2,2,0.0,71.0,332.00,333.50,334.21,AUD, CLAYSTONE," YELLOWISH BROWN,YELLOWISH RED,GREENISH GRAY", BEDDING, MODERATELY DISTURBED, VOLCANIC DEPOSITS, VOLCANIC ASH,,, HARD, 33231000,9d7a4be8e4655f4e034df818dab6a5da
78,543,A,2,CC,0.0,20.0,332.00,334.32,334.42,AUD, CLAYSTONE," YELLOWISH BROWN,YELLOWISH RED,GREENISH GRAY", BEDDING, MODERATELY DISTURBED, VOLCANIC DEPOSITS, VOLCANIC ASH,,, HARD, 33231000,d4400e68eb4ba08ef0be99feb378dcd3
78,543,A,3,1,0.0,150.0,341.50,341.50,343.00,NAT, MUD," GREENISH GRAY,YELLOWISH BROWN",, MODERATELY DISTURBED,," ZEOLITES,MANGANESE",,, FIRM, 00000000,fc3cda21fbc7e28e05a2e9e977c7a05f
78,543,A,3,2,0.0,132.0,341.50,343.00,344.32,AUD, MUDSTONE," YELLOWISH BROWN,GRAYISH BROWN",, MODERATELY DISTURBED,, MANGANESE,,, HARD, 00000000,7a39dd18e531a4d54fb5069c7dac0adf
78,543,A,3,CC,0.0,6.0,341.50,344.44,344.40,AUD, MUDSTONE," YELLOWISH BROWN,GRAYISH BROWN",,,, MANGANESE,,, HARD, 00000000,048bbedeabc2ffb123db75de5bb8acb4
78,543,A,4,1,0.0,150.0,351.00,351.00,352.50,NAT, MUDSTONE," YELLOWISH BROWN,GRAYISH BROWN",,,, MANGANESE,,, HARD, 00000000,fb182d3569cee8cbfb8a7dc83f74f19f
