leg,site,hole,core,section,top interval depth(cm),top of core depth(cm),top of section(m),sample midpoint depth(m),describer,rock name,piece numbers,texture data,structure data,alteration data,other information data,vesicle data,phenocryst data,groundmass mineral data,replacement mineral data,comments,unknown code
82,556,,H4,2,0.0,192.50,194.00,  195.43,"CHRISTIE, D. M.",SEDIMENT,(0-143),,,,,,,,,,
82,556,,H4,2,143.0,192.50,195.43,  195.50,"CHRISTIE, D. M.",APHYRIC BASALT,(143-150),"APHYRIC, CHALK AND CLEAR CALCITE CEMENTED BRECCIA, MINOR FRESH GLASS AT CENTER, TWO CLASTS, GLASS FRAGMENT WEATHERED TO DARK BROWN PALAGONITE",,MOD TWO CLASTS ARE MOD ALTERED BUT SOME FRESH GLASS AT CENTRE,LIMESTONE PRESENT WITHIN FRACTURES,,,,PALAG                  GLASS,,
82,556,,H4,CC,0.0,192.50,195.60,  195.82,"NEUSER, R.",APHYRIC BASALT,"PCES 1 (0-10), 2 (10-15), 3 (17-32)","APHYRIC, BASALT BRECCIA, FINE-GRAINED PLAG AND OL, SOME OF THE BASALT PCES SHOW A VITRIC RIM WHICH IS MOSTLY ALTERED(IN PCE(2) GLASS LOOKS FRESH), THE BRECCIA IS INDURATED BY A CALCITE CEMENT WHICH FILLS UP NEARLY ALL THE SPACE BETWEEN THE BASALT PCES",THE CEMENT SOMETIMES SHOWS DRUSY CAVITIES,MOD,MEDIUM GREY(7.5YRN5), comments : VESICLES ARE VERY RARE AND NOT FILLED,,OL                 TO 2 comments : OL IS FINE-GRAINED AND COMPLETELY REPLACED BY SMEC | PLAG                0.5,SMEC                   OL | CALCITE comments :  CALCITE IS IN FORM OF A CEMENT,,
82,556,,2,1,0.0,461.50,461.50,  462.99,"CHRISTIE, D. M.",APHYRIC TO SPARSELY PHYRIC BASALTBASALT BRECCIA,"PCES 1 (1-5), 2 (7-17), 3A (19-25), 3B (24-27), 3C (26-32), 4A (35-43), 4B (43-57), 4C (57-65), 4D (65-73), 4E (74-83), 4F (83-88), 4G (48-95), 4H (95-104), 5 (106-109), 6A (111-118), 6B (119-130), 7 (130-143), 8 (144-149)","APHYRIC TO SPARSELY PHYRIC, SOME UNALTERED GLASS IN CENTRES OF LARGER PIECES, BASALT BRECCIA-INDURATED CALCAREOUS CHALK MATRIX WITH ABOUT 5% DRUSY CALCITE, FINE-GRAINED, CLASTS, DARK BROWN ALTERED GLASS FRAGMENTS AND OCCASIONAL GLASS RIMS",,MOD LIGHT BROWN(7.5YR6/2) PINKISH GREY WEATHERED MARGINS TO 1CM THICK ON SOME CLASTS,"MEDIUM GREY(7.5YRN5) | LARGE BASALT CLASTS ARE SEPARATED BY CO3 MATRIX WHICH CONTAINS MUCH SMALLER CLASTS OF BASALT AND ALTERED GLASS, SIZE DEFINITELY HEMODAL OR TURMODAL IN DISTRIBUTION, GLASS CLASTS ARE SMALL AND SURROUNDED BY A DARK RIM OF ALTERATION, BASALT CLASTS(SMALL AND MEDIUM) HAVE WHITE ALTERATION RIM WHILE MOST OF THE LARGEST CLASTS LACK THIS RIM, BASALT FRAGMENTATION APPEARS TO HAVE TAKEN PLACE IN 3 STEPS: (1) LARGE CLASTS DEPOSITED IN CO3 MUD BY DOWN-SLOPE MOVEMENT, (2) BREAKING UP AND FILLING OF LARGE CLASTS WITH CONTEMPORANEOUS OR PENECONTEMPORANEOUS CO3 OOZE AND (3) BREAKING UP AND SETTLING OF SMALLER CLASTS(MED AND SMALL) INTO CO3 OOZE, CO3 OOZE FORMS MATRIX FOR BASALT CLASTS- PINKISH-WHITE",,OL        0-2      TO 1 comments : DARK BROWN(7.5YR4/4) ALTERED(?) OL TO 1MMVARYING 0-2% AND RARELY TO 5%,,CALCITE comments :  DRUSY CALCITE IN BASAL BRECCIA MATRIX,,
82,556,,2,2,0.0,461.50,463.00,  464.50,"RIDEOUT, M.",BASALT BRECCIA,"PCES 1 (0-10), 2A (11-22), 2B (23-32), 2C (33-40), 2D (41-47), 2E (45-51), 3 (53-63), 4 (65-76), 5 (75-85), 6 (86-94), 7A (95-108), 7B (108-113), 8A (115-124), 8B (122-129), 9A (130-139), 9B (139-140)","SPARSELY PLAG PHYRIC BASALT AT(65-70, 75-85, 130- 150), EQUANT PLAG PHENOS TO 5MM INCREASING DOWNHOLE TO APPROXIMATELY 3%, PCE(7) HAS STRONG DEVELOPMENT OF DARK GREEN-GREYISH GREEN(5G4/2) (?)PUMPELLYITE IN GLASS FRAGMENTS AND GLASS RIM, PCE(7B) HAS FRESH GLASS FRAGMENTS AT 110CM, BRECCIATED BASALT",GLASS FRAGMENTS AT 95-115CM,MOD FRESH GLASS FRAGMENTS AT 110CM,"CHALK MATRIX STAINED PINK, BASALT BRECCIA AS IN 2-1, PUMPELLYITE(?) IS DARK GREEN TO GREYISH-GREEN(5G4/2) THE BASALT AT THE BASE OF THIS SECTION IS A VERY LARGE CLAST, IT APPEARS TO BE THE BEGINNING OF A SUBMARINE SLIDE CYCLE GOING UP INTO THE TOP OF THE SECTION, MANY VEINS AND VEINLETS",,"PLAG     TO 3 comments : SPARSELY PLAG PHYRIC BASALT AT(65-70, 75-85, 130-150), EQUANT PLAG PHENOS TO 5MM DOWNHOLE TOAPPROXIMATELY 3%",,PUMPELLY comments :  ID PUMPELLYITE QUESTIONABLE IN GLASS FRAGMENTS,,
82,556,,2,3,0.0,461.50,464.50,  465.94,"DRAKE, N.",BASALT BRECCIASIMILAR TO 2-1 AND 2-2,"PCES 1A (0-11), 1B (11-15), 2 (17-21), 3A (21-33), 3B (32-37), 4 (41-46), 5 (47-53), 6 (55-59), 7 (63-69), 8 (73-77), 9 (79-83), 10 (85-89), 11 (92-97), 12A (101-112), 12B (112-117), 13 (120-124), 14 (126-130), 15 (132-135), 16 (136-144)","BASALT BRECCIA WITH BASALT AND GLASS CLASTS AS IN 2-1 BECOMING MOD PLAG PHYRIC DOWNHOLE, 55-57CM HAS FRESH GLASS FRAGMENTS",DRUSY CALCITE VEIN AT 0-5CM,MOD FRESH GLASS FRAGMENTS AT 55-57CM,"TOP HALF OF A CYCLE SIMILAR TO THAT IN SECTION(1,2), SAME CO3 CLASTS IN THE CO3 SECTION, SIMILAR TO 2-1 AND 2-2",,PLAG comments : MOD PLAG PHYRIC DOWNCORE,,CALCITE comments :  DRUSY,,
82,556,,2,4,0.0,461.50,466.00,  467.41,"WEAVER, B.",BASALT BRECCIA,"PCES 1 (1-9), 2A (11-21), 2B (20-25), 3 (26-34), 4A (36-44), 4B (45-53), 4C (54-60), 5 (62-64), 6 (65-73), 7 (75-79), 8 (84-87), 9A (87-90), 9B (91-100), 10A (102-109), 10B (110-115), 11 (117-123), 12 (124-140)","CLASTS ARE SPARSELY TO MODERATELY PLAGIOCLASE PHYRIC, ALTERED GLASS AS IN 2-1 TO 2-3 BECOMING LARGER WITH LARGER FRESH CENTERS, FRESH GLASS AT 45CM, BASALT BRECCIA",DRUSY CALCITE VEINS AT 130CM,MOD ALTERED GLASS BECOMING LARGER WITH LARGER FRESH CENTERS,"PART OF THE CYCLE OF SUBMARINE SLIDE DEPOSIT THAT CONTINUES INTO SECTION 3, PCE(12) HAS VUG FILLED WITH CALCITE VEINS AND XSTLS, HETEROGENEOUS SIZES AND VERY ROUNDED BOULDERS, PCE(9B) SUGGESTS REDEPOSITION RATHER THAN BREAKING UP IN SITU, FEW REWORKED CHALK FRAGMENTS, MATRIX SIMILAR TO 2-1 AND 2-3",,PLAG comments : SPARSELY TO MOD PHYRIC BASALT AS IN 2-2 TO 2-3,,CALCITE comments :  DRUSY IN VEINS,,
82,556,,2,5,0.0,461.50,467.50,  468.20,"RIDEOUT, M.",BASALT BRECCIA,"PCES 1A (0-15), 1B (17-25), 1C (24-29), 2 (31-40), 3 (40-47), 4 (47-57), 5 (59-61), 6 (64-70)","BRECCIA, LARGE CLASTS, MOD PLAG PHYRIC BASALT AS IN 2-2 TO 2-4, WEATHERED GLASS WITH FRESH CORES AS IN 2-1 TO 2-4, FRESH GLASS AT 32CM",SMALL ANGULAR FRAGMENTS OF WEATHERED GLASS,"FRESH TO MOD CLASTS ARE FRESH TO MOD WEATHERED, ANGULAR FRAGMENTS OF WEATHERED GLASS WITH FRESH CORES SIMILAR TO 2-1 TO 2-4",CHALK MATRIX,,PLAG comments : MOD PLAG PHYRIC SIMILAR TO 2-2 AND 2-4,,,,
82,556,,2,5,70.0,461.50,468.20,  468.88,"RIDEOUT, M.",POLYMICT BASALT BRECCIA,"PCES 7 (70-77), 8 (78-85), 9 (85-87), 10 (90-95), 11 (95-100), 12A (102-107), 12B (106-112), 13 (113-117), 14 (117-121), 15 (124-131), 16 (132-137)","CALCITE CEMENTED POLYMICT BRECCIA, BASALT CLASTS AS ABOVE BUT MORE WEATHERED AND MORE ROUNDED, FEW WELL ROUNDED REWORKED CHALK CLASTS ABUNDANT IN PARTS, PROBABLE START OF BASALT PILLOWS AT ABOUT 130CM",,MOD BASALT CLASTS ARE GENERALLY WEATHERED,"PINKISH GREY(7.5YR6/2) AND BROWN, AT TOP OF SECTION 5 THE CORE SEGMENTS IN 2-5(1A-C) FORM THE BASE OF THE DOWNSLOPE EVENT RECORDED IN SECTIONS 3 & 4, FROM 2-5-2 TO 2-5-12 THE MATRIX IS LIGHT GREY RATHER THAN PINKISH, NUMBER OF GLASS CLASTS HAVE ROUNDED EDGES, CO3 CLASTS ARE INCORPORATED IN THE CO3 MATRIX, THE LARGE BASALT CLASTS IN 2-5-14 TO 2-5-16 FORM BASE OF THIS ""CYCLE""(UP THRU 2-5-2)", comments : NUMEROUS DRUSY VUG LININGS IN CALCITE CEMENT,,,"CALCITE comments :  CALCITE CEMENTED POLYMICT BRECCIA IS WHITE, FINELY CRYSTALLINE CALCITE WITH NUMEROUS DRUSY VUG LININGS",,
82,556,,2,6,0.0,461.50,469.00,  469.40,"CHRISTIE, D. M.",PLAG-MOD PHYRIC BASALTSIMILAR TO 2-2 TO 2-5,"PCES 1 (0-10), 2 (14-18), 3 (22-24), 4 (27-40)",MOD PHYRIC,AT 35CM THERE IS A CLEAR DRUSY CALCITE VEIN,"MOD  MATRIX PRESENT, PROBABLY FIRST FLOW MATERIAL, RGE BASALT CLAST(?) FORMS ENTIRE CORE-COULD BE SE OF CYCLE IN 556-2-5",,,PLAG comments : MOD PHYRIC SIMILAR TO 2-2 TO 2-5,,CALCITE comments :  2MM CLEAR DRUSY CALCITE VEIN AT 35CM,,
