leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DACIN0060,Actinoptychus senarius,TRACE,  ,1,07c9e7fdc829946e3c7c71fc2b5b3e61
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DACIN0120,Actinoptychus vulgaris,1%,  ,1,5c67e31647c29df9246a5d3e417039da
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DACTI0170,Actinocyclus octonarius,1%,  ,1,eaf4a2b740c1e2c9c68cc5a96988df1f
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DAULC0010,Aulacosira distans,TRACE,  ,1,b14862f9a881155b62ec49187dd68112
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DBACT0030,Bacteriastrum varians,1%,  ,1,bb77b39e9543253a09d2c67eead88cfb
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DCOCC0200,Cocconeis placentula,TRACE,  ,1,faaa62359dcc655a2c4e1b214c1d4eea
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DCOSC0580,Coscinodiscus nodulifer,1%,  ,1,0feea85722085ece581b8146b774f076
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DCOSC0771,Coscinodiscus radiatus (q),1%,  ,1,3137b12960db6d7f1685150271066ed9
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DCOSC0890,Coscinodiscus tabularis egregius,1%,  ,1,3b3659b1b2528c79b2355dd508cdc33d
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DCYCL0045,Cyclotella striata,3%,  ,1,6679d35c4f317659d56546df8bcc8f5f
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DDIPL0020,Diploneis bombus,TRACE,  ,2,ef47de5bc301cfffa7da5a4f2a89fa8a
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DDIPL0160,Diploneis smithii,TRACE,  ,2,d29479452365f8ed9ee065ea27694b00
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DGOMP0010,Gomphonema sp.,1%,  ,2,476090f69cc87870582472ca024b7dea
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DGRAM0010,Grammatophora sp.,1%,  ,2,68851214a1e5c43954b657da14be1863
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DHEMD0010,Hemidiscus cuneiformis,1%,  ,2,bf50ccb28194ae49468006224d025207
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DNITZ0380,Nitzschia marina,3%,  ,2,9825c1d49446933f5b4718e83e872603
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DNITZ0621,Nitzschia sicula (q),4%,  ,2,f8bc44f598199038390598b3f1421787
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DODON0011,Odontella sp. (q),1%,  ,2,c9a733e1dbc4539ef116940dcc2f1670
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DPARA0010,Paralia sulcata,7%,  ,2,531e0962150a8a90d2aec529d8fc1fbf
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DPLAN0010,Planktoniella sol,5%,  ,2,dd4bdfac72ad8383706068d940db8189
87,582,,1,1,34.0,36.0,0.00,0.35,33,AKIBA,,87,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,396,DPSED0010,Pseudoeunotia doliolus,2%,  ,3,1a9eaf85a1504d0c1509a213c9a44620
