leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
87,582,A,1,3,97.0,101.0,29.10,33.09,15,LAGOE,02/1986,87,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,590,FGLOA0246,Globorotalia inflata,COMMON,  ,1,72c33872b1d684bdd5b2275336a99bf6
87,582,A,1,3,97.0,101.0,29.10,33.09,15,LAGOE,02/1986,87,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,590,FGLOA0544,Globorotalia truncatulinoides,RARE,  ,1,1241cd8e9833e8f2259eb3f71d026e33
87,582,A,1,3,97.0,101.0,29.10,33.09,15,LAGOE,02/1986,87,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,590,FGLOD0090,Globigerinoides conglobatus,RARE,  ,1,0bc3a77355dc843e6f91abb4aece01d5
87,582,A,1,3,97.0,101.0,29.10,33.09,15,LAGOE,02/1986,87,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,590,FGLOD0120,Globigerinoides cyclostoma,COMMON,  ,1,773a142be0f38084eacfd71def23d5c9
87,582,A,1,3,97.0,101.0,29.10,33.09,15,LAGOE,02/1986,87,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,590,FGLOD0410,Globigerinoides ruber,COMMON,  ,1,234d533a51fa36c68f3f2e6e28153ebd
87,582,A,1,3,97.0,101.0,29.10,33.09,15,LAGOE,02/1986,87,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,590,FGLOD0590,Globigerinoides trilobus,RARE,  ,1,36b7c351bbb7da1118d834e405a94815
87,582,A,1,3,97.0,101.0,29.10,33.09,15,LAGOE,02/1986,87,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,590,FGLOG0105,Globigerina bulloides,COMMON,  ,1,0ea6d5c397f81b4af5a426bb4f3dc8f9
87,582,A,1,3,97.0,101.0,29.10,33.09,15,LAGOE,02/1986,87,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,590,FGLON0035,Globigerirella siphonifera,RARE,  ,1,4269d8220f8556023bc8d20be5389c8d
87,582,A,1,3,97.0,101.0,29.10,33.09,15,LAGOE,02/1986,87,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,590,FGLOT0100,Globigerinita glutinata,RARE,  ,1,acf538d799e36e4dc9808440fe7417ec
87,582,A,1,3,97.0,101.0,29.10,33.09,15,LAGOE,02/1986,87,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,590,FNEOG0085,Neogloboquadrina eggeri,COMMON,  ,1,7a8a86dc6c923cbad1dee9d6710c7e93
