leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DACIN0060,Actinoptychus senarius,3%,  ,1,8aeb5a8af984771aeb88d2619ab074cd
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DACTI0170,Actinocyclus octonarius,5%,  ,1,5d2c64b63a12cd2385769484afecf0a8
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DCOCC0260,Cocconeis scutellum,1%,  ,1,776f0282c6b8fe70b93558e07092c271
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DCOSC0010,Coscinodiscus sp.,TRACE,  ,1,9f3588a512f49c10e855b45c740084a2
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DCOSC0580,Coscinodiscus nodulifer,13%,  ,1,34300c4826befceaf01e1a7d599c2d46
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DCOSC0640,Coscinodiscus occulus-iridis,4%,  ,1,bbe054390d476f68c6d2df09aec71692
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DCOSC0771,Coscinodiscus radiatus (q),9%,  ,1,11cc0dee2f8b578e1702f2b6007e24a6
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DCOSC0959,Coscinodiscus wailesii,1%,  ,1,f4feddf17924a5fc92fa8782aa6372c1
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DCYCL0045,Cyclotella striata,10%,  ,1,02490dc1e35b78bc59987e9b757c615f
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DCYMB0010,Cymbella sp.,3%,  ,1,5534d961dfecc563ec8a9da1ddb02754
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DDELP0040,Delphineis surirella,1%,  ,2,a02cd6170dde083e826eb75514324bf2
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DDIPL0010,Diploneis sp.,1%,  ,2,8049d9230742491a6940735e951ac264
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DDIPL0020,Diploneis bombus,1%,  ,2,010c9841438bf3c997df3c9dc5aae0bd
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DETHM0010,Ethmodiscus rex,TRACE,  ,2,9c8d7ea47f6f155decfc749511adbb1c
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DGOMP0010,Gomphonema sp.,1%,  ,2,63ce4bc3e6ea78eb570e7f03404d7b82
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DGRAM0010,Grammatophora sp.,TRACE,  ,2,eacd8c52feb0b087a7bf27396b1712ef
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DHEMD0010,Hemidiscus cuneiformis,1%,  ,2,16604cf4ff820b7ebcea3f614587afbd
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DNITZ0380,Nitzschia marina,3%,  ,2,4a7d6a489314bd43bc99c46d6cb5136b
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DPARA0010,Paralia sulcata,4%,  ,2,330d24879acb4ea0e587215ab5b41740
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DPLAN0010,Planktoniella sol,1%,  ,2,157c9f8a8939aab8141949c2ebadccbe
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DPSED0010,Pseudoeunotia doliolus,2%,  ,3,a1fac8698085fce7d6ac878d488342e3
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DRHIZ0050,Rhizosolenia bergonii,1%,  ,3,f9f68e4f77b503b7109d476ac0840cd3
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DRHIZ0295,Rhizosolenia seligera,1%,  ,3,7e3b1b1bdb178cccdf535ab8d98ea950
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DRHIZ0300,Rhizosolenia styliformis,1%,  ,3,d2e47984ee730d1fbb8e6b13a886e625
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DSURI0025,Surirella sp.,1%,  ,3,880334e8a5e97e0ac330bd1195230c51
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DSYNE0060,Synedra ulna,TRACE,  ,3,a82252ce1bac704cb3660157aafc7e08
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DTHAA0010,Thalassiosira sp.,2%,  ,3,8239cb8a95d8720a9978b556dc0d0065
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DTHAA0010,Thalassiosira sp.,3%,  ,3,7ec206aa11665f209a7c7a6136b3241c
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DTHAA0195,Thalassiosira lineata,1%,  ,3,93ccfb48672560958d942a9165d414d8
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DTHAA0280,Thalassiosira oestrupii,3%,  ,3,f96deb3b4d9f2da4d0e225bc7a48e7c2
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DTHAL0060,Thalassionema nitzschioides,21%,  ,4,91e3859583d2fa83bacac23545c7e6e4
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DTHAS0005,Thalassiothrix sp.,TRACE,  ,4,9b1e30b973be4144a157ebef2f4a186f
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DTHAS0020,Thalassiothrix longissima,TRACE,  ,4,acfeab554f171ea795090f29fc6f61cb
87,583,D,3,1,31.0,33.0,66.00,66.32,34,AKIBA,,87,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,402,DTRAC0010,Trachyneis aspera,TRACE,  ,4,ff9158cc4624246b76bce176867a19ee
