leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding,eodp_id,sample
90,594,B,1,1,0.0,150.0,0.00,0.00,1.50,, FORAM-NANNO BEARING CLAYEY CHALK, YELLOWISH GREY-2.5Y7/2, MOTTLES*,,,,,, SOFT,,77d802ee8b6b1e7fe5f33b3023f3ab2d,90-594B-1-1
90,594,B,1,2,0.0,150.0,0.00,1.50,3.00,, CLAYEY SILT, GRAYISH BROWN-2.5Y 5/2,,,,, MACROFOSSILS*,,,,d48955e7b7e2f14ab5d4921cdc158b9f,90-594B-1-2
90,594,B,1,3,0.0,150.0,0.00,3.00,4.50,, SILTY CLAY, GRAYISH-BROWN-2.5Y 5/2,,,,, MICROFOSSILS," SILICEOUS INCREASE IN SECTIONS 3,4,5*",,,b04f6eab9135ed540537116c7b5911fc,90-594B-1-3
90,594,B,2,1,0.0,150.0,4.50,4.50,6.00,, SILTY CLAY," 5Y4/1,5Y5/1",,,, SILICEOUS MATERIAL-DETRITAL QUARTZ, SPICULES ABUNDANT*,,,,2d1e9ecc965d0ce0a6c50732515f03fc,90-594B-2-1
90,594,B,2,2,0.0,150.0,4.50,6.00,7.50,, SILTY CLAY," 5Y 4/1,5Y 5/1",,,, SILICEOUS MATERIAL-DETRITAL QUARTZ, SPICULES ABUNDANT,,, 11231210.3311,bda67b3f0b598b9d54f53984556a1186,90-594B-2-2
90,594,B,2,3,0.0,150.0,4.50,7.50,9.00,, SILTY CLAY, 5Y 4/1.5Y 5/1,,,, SILICEOUS MATERIAL-DETRITAL QUARTZ, SPICULES ABUNDANT,,, 11231210.3311,6b9b7e31e4bdb159118eea868957b624,90-594B-2-3
90,594,B,2,4,0.0,150.0,4.50,9.00,10.50,, FORAM-NANNO SILTY CLAY," 5Y 6/1,5Y 4/1", MOTTLES,,,,,,, 33233000.3450.1210,34710440b93f435197f11af7ee2dcd4d,90-594B-2-4
90,594,B,2,5,0.0,150.0,4.50,10.50,12.00,, FORAM-NANNO SILTY CLAY, 5Y 6/1, SLIGHTLY MOTTLED*,,,,,,,,712bad07848c922c87cfdf32b780939a,90-594B-2-5
90,594,B,2,6,0.0,60.0,4.50,12.00,12.60,, FORAM-NANNO SILTY CLAY, 5Y 6/1, SLIGHTLY MOTTLED,,,,,,, 33233000.3450.1210,7a592d2c7d8de59136e53a9f44e66ac0,90-594B-2-6
90,594,B,2,CC,,,4.50,12.80,12.80,, FORAM-NANNO SILTY CLAY, 5Y 6/1, SLIGHTLY MOTTLED,,,,,,, 33233000.3450.1210,b096c18d33bac1859210202f0db23f34,90-594B-2-CC
90,594,B,3,1,0.0,150.0,14.10,14.10,15.60,, FORAM-NANNO SILTY CLAY," 5Y 6/1,5Y 5/1",,,,,,,, 33233000.3450.1210,1535f39809b3ec0b0d5f6fb1d143af91,90-594B-3-1
90,594,B,3,2,0.0,90.0,14.10,15.60,16.50,, NANNO SILTY CLAY, 5Y 6/1, INTENSE BURROW MOTTLING 65-90,,,,,,, 33233000.3450.1210,70b0312a5152a234b9a19f2aba046f3b,90-594B-3-2
