leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id,sample
94,610,A,1,CC,0.0,0.0,0.00,8.79,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0222,Globorotalia hirsuta,FEW,  ,1,0f3b21978689629068bb7321ead43da7,94-610A-1-CC
94,610,A,1,CC,0.0,0.0,0.00,8.79,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0246,Globorotalia inflata,COMMON,  ,1,1e9fc3b428ac001be19fc0f7944d2c01,94-610A-1-CC
94,610,A,1,CC,0.0,0.0,0.00,8.79,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0486,Globorotalia scitula,FEW,  ,1,3e8df09bceb45c11754eca4b125c4805,94-610A-1-CC
94,610,A,1,CC,0.0,0.0,0.00,8.79,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0544,Globorotalia truncatulinoides,FEW,  ,1,38d7f1b72b5efa028af13f3a650ab0aa,94-610A-1-CC
94,610,A,1,CC,0.0,0.0,0.00,8.79,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOD0410,Globigerinoides ruber,RARE,  ,1,647090d44f1e8e5de4f58ec838742774,94-610A-1-CC
94,610,A,1,CC,0.0,0.0,0.00,8.79,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOG0009,Globigerina aequilateralis,RARE,  ,1,69c327979c8f8a8936c436609790bec4,94-610A-1-CC
94,610,A,1,CC,0.0,0.0,0.00,8.79,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOG0105,Globigerina bulloides,COMMON,  ,1,d8b232080a20a9b8c0def87cd1eaca46,94-610A-1-CC
94,610,A,1,CC,0.0,0.0,0.00,8.79,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOG0670,Globigerina quinqueloba,COMMON,  ,1,b07e1857bc83ce944113383be1937ff2,94-610A-1-CC
94,610,A,1,CC,0.0,0.0,0.00,8.79,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLON0027,Globigerinella calida,RARE,  ,1,040a8f70d0292822c170432a0170b603,94-610A-1-CC
94,610,A,1,CC,0.0,0.0,0.00,8.79,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOT0100,Globigerinita glutinata,COMMON,  ,1,d5fa77d52c0bd0c7c3cd83b16ed838d9,94-610A-1-CC
94,610,A,1,CC,0.0,0.0,0.00,8.79,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FNEOG0114,Neogloboquadrina pachyderma (left-coiling),COMMON,  ,2,fcc25b4b0cf4a24393ac742941f93b3a,94-610A-1-CC
94,610,A,1,CC,0.0,0.0,0.00,8.79,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FORBU0040,Orbulina universa,COMMON,  ,2,db1d4a2f1f30d8997737c4c64fbb9cab,94-610A-1-CC
94,610,A,2,CC,0.0,0.0,9.00,18.52,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0222,Globorotalia hirsuta,RARE,  ,1,fea1e78a12a759660df6fecfc502a5d9,94-610A-2-CC
94,610,A,2,CC,0.0,0.0,9.00,18.52,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0246,Globorotalia inflata,COMMON,  ,1,ce04af7044d267871db27988135d347e,94-610A-2-CC
94,610,A,2,CC,0.0,0.0,9.00,18.52,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0486,Globorotalia scitula,COMMON,  ,1,d503c3c0a33827cac55aa5f8155c1d74,94-610A-2-CC
94,610,A,2,CC,0.0,0.0,9.00,18.52,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0544,Globorotalia truncatulinoides,RARE,  ,1,4e7d0127a4322e51fd1c4df0650b7294,94-610A-2-CC
94,610,A,2,CC,0.0,0.0,9.00,18.52,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOG0105,Globigerina bulloides,COMMON,  ,1,a303eb2fc59f58efbb39f17c44720bb5,94-610A-2-CC
94,610,A,2,CC,0.0,0.0,9.00,18.52,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOG0670,Globigerina quinqueloba,COMMON,  ,1,37dca716b8922a3eeaccbee2702c2ff4,94-610A-2-CC
94,610,A,2,CC,0.0,0.0,9.00,18.52,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLON0027,Globigerinella calida,RARE,  ,1,840fafbee06e42de0f4f70a4ad6f9088,94-610A-2-CC
94,610,A,2,CC,0.0,0.0,9.00,18.52,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOT0100,Globigerinita glutinata,FEW,  ,1,10806a58f7639c268ca1da7013b35f24,94-610A-2-CC
94,610,A,2,CC,0.0,0.0,9.00,18.52,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FNEOG0040,Neogloboquadrina dutertrei,RARE,  ,1,aaf1b96d6eef89ac6a9b63bd24fd6a39,94-610A-2-CC
94,610,A,2,CC,0.0,0.0,9.00,18.52,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FNEOG0112,Neogloboquadrina pachyderma (right-coiling),RARE,  ,1,3008d86c6eff443eda53407711456208,94-610A-2-CC
94,610,A,2,CC,0.0,0.0,9.00,18.52,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FNEOG0114,Neogloboquadrina pachyderma (left-coiling),COMMON,  ,2,5d44c4d8ca458d95d0f906f4db925cac,94-610A-2-CC
94,610,A,2,CC,0.0,0.0,9.00,18.52,12,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FORBU0040,Orbulina universa,COMMON,  ,2,91156112c6cc07ddfe8173b497e7de04,94-610A-2-CC
94,610,A,3,CC,0.0,0.0,18.60,28.07,14,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0222,Globorotalia hirsuta,RARE,  ,1,315b1a10f453e7f9cb0f93dab5db9939,94-610A-3-CC
94,610,A,3,CC,0.0,0.0,18.60,28.07,14,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0246,Globorotalia inflata,COMMON,  ,1,c554576cab0cf1b6ca6189975e9a22dd,94-610A-3-CC
94,610,A,3,CC,0.0,0.0,18.60,28.07,14,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0486,Globorotalia scitula,FEW,  ,1,0adfd25585e3d905f7a263a776a74cb2,94-610A-3-CC
94,610,A,3,CC,0.0,0.0,18.60,28.07,14,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0526,Globorotalia tosaensis,FEW,  ,1,72bf7427ada1050a67f09690b027eaa0,94-610A-3-CC
94,610,A,3,CC,0.0,0.0,18.60,28.07,14,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0544,Globorotalia truncatulinoides,RARE,  ,1,98cfa3bd82df62596a8eb6a15e4f0770,94-610A-3-CC
94,610,A,3,CC,0.0,0.0,18.60,28.07,14,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOD0410,Globigerinoides ruber,RARE,  ,1,9734ee2b5845e55515e4ae362f65fd78,94-610A-3-CC
94,610,A,3,CC,0.0,0.0,18.60,28.07,14,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOD0460,Globigerinoides rubescens,RARE,  ,1,139ce5a8252e21125b99e08bdeab6fd4,94-610A-3-CC
94,610,A,3,CC,0.0,0.0,18.60,28.07,14,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOG0009,Globigerina aequilateralis,RARE,  ,1,cebecdeb6314c91b39b4f648d74b1514,94-610A-3-CC
94,610,A,3,CC,0.0,0.0,18.60,28.07,14,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOG0105,Globigerina bulloides,COMMON,  ,1,52cac681565815bcf131c649f453943d,94-610A-3-CC
94,610,A,3,CC,0.0,0.0,18.60,28.07,14,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOG0670,Globigerina quinqueloba,COMMON,  ,1,abfb03ed68921fdf01b105249cb785cf,94-610A-3-CC
94,610,A,3,CC,0.0,0.0,18.60,28.07,14,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLON0027,Globigerinella calida,RARE,  ,2,aec6f94cfa8cb4bbfcc7000f431e8dfa,94-610A-3-CC
94,610,A,3,CC,0.0,0.0,18.60,28.07,14,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOT0100,Globigerinita glutinata,FEW,  ,2,d37380db13088c00adba968165232338,94-610A-3-CC
94,610,A,3,CC,0.0,0.0,18.60,28.07,14,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FNEOG0040,Neogloboquadrina dutertrei,RARE,  ,2,e63c82e3ab40099a7eac546aad1fefe7,94-610A-3-CC
94,610,A,3,CC,0.0,0.0,18.60,28.07,14,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FNEOG0114,Neogloboquadrina pachyderma (left-coiling),COMMON,  ,2,ad61ffc43c9b68a67d31e03c5b7d29a8,94-610A-3-CC
94,610,A,4,CC,0.0,0.0,28.20,37.30, 9,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0246,Globorotalia inflata,COMMON,  ,1,ac466e910a3c59de522fc03ab2dc95f0,94-610A-4-CC
94,610,A,4,CC,0.0,0.0,28.20,37.30, 9,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0486,Globorotalia scitula,RARE,  ,1,079a6458562e3bc1604e2c863cf266b8,94-610A-4-CC
94,610,A,4,CC,0.0,0.0,28.20,37.30, 9,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOG0009,Globigerina aequilateralis,RARE,  ,1,7f77afa10d0452669c4ea39184d2d95a,94-610A-4-CC
94,610,A,4,CC,0.0,0.0,28.20,37.30, 9,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOG0105,Globigerina bulloides,COMMON,  ,1,6d20654ecc7466991cc8dcc7005dc889,94-610A-4-CC
94,610,A,4,CC,0.0,0.0,28.20,37.30, 9,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOG0670,Globigerina quinqueloba,COMMON,  ,1,65c1e16995612c78f2b251a8850d3c7d,94-610A-4-CC
94,610,A,4,CC,0.0,0.0,28.20,37.30, 9,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOT0100,Globigerinita glutinata,FEW,  ,1,1d974131e7fa0d76e16d587939fabdfa,94-610A-4-CC
94,610,A,4,CC,0.0,0.0,28.20,37.30, 9,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FNEOG0112,Neogloboquadrina pachyderma (right-coiling),COMMON,  ,1,cc766e355507f7769e3f3d060a50aeba,94-610A-4-CC
94,610,A,4,CC,0.0,0.0,28.20,37.30, 9,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FNEOG0114,Neogloboquadrina pachyderma (left-coiling),COMMON,  ,1,468e117e446dcafd1bbfbb00ab4f70be,94-610A-4-CC
94,610,A,4,CC,0.0,0.0,28.20,37.30, 9,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FORBU0040,Orbulina universa,RARE,  ,1,9b844edefd2ccbf6b653d2613ac310bc,94-610A-4-CC
94,610,A,5,CC,0.0,0.0,37.80,47.14,10,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0246,Globorotalia inflata,RARE,  ,1,c122f3589e55d58cd4cdbd9c4d901f32,94-610A-5-CC
94,610,A,5,CC,0.0,0.0,37.80,47.14,10,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0486,Globorotalia scitula,RARE,  ,1,ec46d5a2bc6379a9f181e302598c0dda,94-610A-5-CC
94,610,A,5,CC,0.0,0.0,37.80,47.14,10,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOG0009,Globigerina aequilateralis,RARE,  ,1,11b0881182ab5c9bc7bac24ec922ffb5,94-610A-5-CC
94,610,A,5,CC,0.0,0.0,37.80,47.14,10,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOG0105,Globigerina bulloides,COMMON,  ,1,7eee1bd585c9a21d0f50aa6e1f5c7de9,94-610A-5-CC
94,610,A,5,CC,0.0,0.0,37.80,47.14,10,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOG0670,Globigerina quinqueloba,COMMON,  ,1,6bcc0f03f36c3d63778e2248da0d2fa4,94-610A-5-CC
94,610,A,5,CC,0.0,0.0,37.80,47.14,10,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLON0027,Globigerinella calida,RARE,  ,1,408e050059f95f56788c1df1e091ea6b,94-610A-5-CC
94,610,A,5,CC,0.0,0.0,37.80,47.14,10,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOT0100,Globigerinita glutinata,RARE,  ,1,35d96e128a19e987c78c9289336d0c15,94-610A-5-CC
94,610,A,5,CC,0.0,0.0,37.80,47.14,10,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FNEOG0040,Neogloboquadrina dutertrei,RARE,  ,1,3a67ac5cdf51578b7bf5d5644ab6080b,94-610A-5-CC
94,610,A,5,CC,0.0,0.0,37.80,47.14,10,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FNEOG0112,Neogloboquadrina pachyderma (right-coiling),ABUNDANT,  ,1,27e44ecc4a2841ff863f0615598c21c0,94-610A-5-CC
94,610,A,5,CC,0.0,0.0,37.80,47.14,10,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FNEOG0114,Neogloboquadrina pachyderma (left-coiling),COMMON,  ,1,fb2c971b9b5472e66d36b5f94d8778af,94-610A-5-CC
94,610,A,6,CC,0.0,0.0,47.40,56.89,15,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0118,Globorotalia crassaformis,FEW,  ,1,737bd84bff478a6e889ad796d7bcffae,94-610A-6-CC
94,610,A,6,CC,0.0,0.0,47.40,56.89,15,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0246,Globorotalia inflata,COMMON,  ,1,20fde9610213a5f43ab5f2f94777bd40,94-610A-6-CC
94,610,A,6,CC,0.0,0.0,47.40,56.89,15,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0486,Globorotalia scitula,FEW,  ,1,a28841af96495a6fcbcde22ef062af6d,94-610A-6-CC
94,610,A,6,CC,0.0,0.0,47.40,56.89,15,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOA0544,Globorotalia truncatulinoides,RARE,  ,1,842335119ad8cb337ac4c40553407cfa,94-610A-6-CC
94,610,A,6,CC,0.0,0.0,47.40,56.89,15,WEAVER,00/1900,94,PLANKTONIC FORAMINIFERA,ABUNDANT,,,GOOD,NO AGE GIVEN,716,FGLOD0090,Globigerinoides conglobatus,RARE,  ,1,53d3c31c4a4c492275b60a13706a2488,94-610A-6-CC
