leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding,eodp_id,sample
95,603,E,1,1,0.0,51.0,936.40,936.40,936.91,GSM, MUDSTONE," GREENISH GRAY,GRAYISH BROWN"," CONTACTS,BURROWS",, CONCRETIONS," GLAUCONITE,PYRITE",,, HARD, 00000000,0a0e4e6b9dac95915b7b7a057de109a5,95-603E-1-1
95,603,E,1,CC,0.0,7.0,936.40,937.01,936.98,GSM, MUDSTONE, GRAYISH BROWN,,,,,,, HARD, 33233000.3450.3311,e48f7418876ab117c0cc1ceccb2a247f,95-603E-1-CC
95,603,E,H2,1,0.0,150.0,1258.90,1258.90,1260.40,BCS," SAND,SANDY NANNOFOSSIL MUDSTONE", DARK OLIVE GRAY, LAMINAE,,,,,, HARD, 00000000,204dca11a251b551081793c1d26e7153,95-603E-H2-1
95,603,E,H2,2,0.0,150.0,1258.90,1260.40,1261.90,BCS," SAND,SANDY NANNOFOSSIL MUDSTONE", DARK OLIVE GRAY, LAMINAE, GREATLY DISTURBED,,,,, HARD, 00000000,bd9885deac99abe2c92b6de788e164fc,95-603E-H2-2
95,603,E,H2,3,0.0,150.0,1258.90,1261.90,1263.40,BCS," SAND,SANDY NANNOFOSSIL MUDSTONE", DARK OLIVE GRAY,, GREATLY DISTURBED,,,,, HARD, 33234000.3311.3600,dde69475fc35cb7b3ebd2fdfe91f936c,95-603E-H2-3
95,603,E,H2,4,0.0,150.0,1258.90,1263.40,1264.90,BCS," SAND,SANDY NANNOFOSSIL MUDSTONE", DARK OLIVE GRAY,, GREATLY DISTURBED,,,,, HARD, 33234000.3311.3600,da3b5a76f6dba0345e6ff8be31906ea0,95-603E-H2-4
95,603,E,H2,5,0.0,79.0,1258.90,1264.90,1265.69,BCS," SAND,SANDY NANNOFOSSIL MUDSTONE", DARK OLIVE GRAY,, GREATLY DISTURBED,,,,, HARD, 00000000,558e240c19f04d73c4e8bc359c693231,95-603E-H2-5
95,603,E,H2,CC,0.0,15.0,1258.90,1265.79,1265.84,BCS," SAND,SANDY NANNOFOSSIL MUDSTONE", DARK OLIVE GRAY,, GREATLY DISTURBED,,,,, HARD, 33234000.3311.3600,5f1895e26f73eb3fca11042e4bb127ff,95-603E-H2-CC
95,603,E,H3,1,0.0,135.0,1277.00,1277.00,1278.35,BCS, COARSE SAND, DARK GRAY,,,,,,, HARD, 33234000.3311.3600,3f8f06b4cd42b8c87ddecbeefc01445b,95-603E-H3-1
95,603,E,H3,1,135.0,150.0,1277.00,1278.35,1278.50,BCS, LAMINAR NANNOFOSSIL CALCAREOUS SHALE, DARK GRAY," LAMINAE,BEDDING,BURROWS",,,,,, HARD, 33233000,feb1f59cbe4d921aab3c337cc6b71d18,95-603E-H3-1
95,603,E,H3,2,0.0,90.0,1277.00,1278.50,1279.40,BCS," LIMESTONE,NANNOFOSSIL SHALE,SAND", DARK GRAY TO BLACK," LAMINAE,BURROWS",,, PYRITE,,, HARD, 33214000,acb31b89e03d462531e87ad30317df82,95-603E-H3-2
95,603,E,H3,2,90.0,150.0,1277.00,1279.40,1280.00,BCS, COARSE MICACEOUS SAND, GRAY,,,,,,, HARD, 33214000,cba8c4f0b1cb8af83537084b54bd0d05,95-603E-H3-2
95,603,E,H3,3,0.0,115.0,1277.00,1280.00,1281.15,BCS," COARSE MICACEOUS SAND,MARLY CALCAREOUS SHALE", GRAYS,, GREATLY DISTURBED,,,,, HARD, 00000000,cf9cc120f1b4c559b2a019335b1f4ea9,95-603E-H3-3
95,603,E,H4,1,0.0,144.0,1279.00,1279.00,1280.44,BCS, NANNOFOSSIL SHALE TO MARLY NANNOFOSSIL LIMESTONE, BLACK TO VERY DARK GRAY," LAMINAE,BURROWS",,, PYRITE,,, HARD, 00000000,f4ff5a85f7e66fb45c5beb0dd5b2d399,95-603E-H4-1
95,603,E,H4,CC,0.0,15.0,1279.00,1280.54,1280.59,BCS, NANNOFOSSIL SHALE TO MARLY NANNOFOSSIL LIMESTONE, BLACK TO VERY DARK GRAY,,,,,,, HARD, 12231210.3450,d9d55fdaf040c0708e310024a17fafe2,95-603E-H4-CC
