leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id,sample
96,620,,1,1,21.0,22.0,0.00,0.22,16,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NCERO0050,Ceratolithus cristatus,TRACE,  ,1,98114fda556c0396b2007dd3f3ab1011,96-620-1-1
96,620,,1,1,21.0,22.0,0.00,0.22,16,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NCREN0010,Crenalithus doronicoides,RARE,  ,1,8a4ba213b290ef9a10242017d6da19f7,96-620-1-1
96,620,,1,1,21.0,22.0,0.00,0.22,16,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NCRIC0012,Cricolithus jonesii,RARE,  ,1,5ba7f825f1b2d15c82928acfbbea0679,96-620-1-1
96,620,,1,1,21.0,22.0,0.00,0.22,16,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NCYCC0100,Cyclococcolithus leptoporus,RARE,  ,1,3fde50d0809b2267d9c1d2746f6ed8a8,96-620-1-1
96,620,,1,1,21.0,22.0,0.00,0.22,16,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NEMIL0020,Emiliania huxleyi,FEW,  ,1,14f51959c57355e13514c7db4cdad838,96-620-1-1
96,620,,1,1,21.0,22.0,0.00,0.22,16,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NGEPH0020,Gephyrocapsa caribbeanica,RARE,  ,1,2792b397206ec3de5716b70bc31f24f6,96-620-1-1
96,620,,1,1,21.0,22.0,0.00,0.22,16,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NGEPH0060,Gephyrocapsa oceanica,RARE,  ,1,a6591d8a13d798d7d35c2a7740b3ff68,96-620-1-1
96,620,,1,1,21.0,22.0,0.00,0.22,16,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NGEPH0101,Gephyrocapsa sp. small,TRACE,  ,1,ab3fa30ea7e65d3bf3920ff033a3f81f,96-620-1-1
96,620,,1,1,21.0,22.0,0.00,0.22,16,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NHELC0020,Helicosphaera carteri,RARE,  ,1,d3d2bb1f7322075a88b26f068548a32d,96-620-1-1
96,620,,1,1,21.0,22.0,0.00,0.22,16,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NHELC0170,Helicosphaera wallichi,RARE,  ,1,cdf93517c38fedb3537834da77024884,96-620-1-1
96,620,,1,1,21.0,22.0,0.00,0.22,16,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NPONT0110,Pontosphaera multipora,TRACE,  ,2,e3434b23972ec94a4091d719fa283387,96-620-1-1
96,620,,1,1,21.0,22.0,0.00,0.22,16,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NRHAO0010,Rhabdosphaera clavigera,TRACE,  ,2,739c67837d899d63b68e2f981832b703,96-620-1-1
96,620,,1,1,21.0,22.0,0.00,0.22,16,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NSCAP0020,Scapholithus fossilis,RARE,  ,2,6bdb3f437be99c3945f7482143151bdb,96-620-1-1
96,620,,1,1,21.0,22.0,0.00,0.22,16,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NSYRA0095,Syracospahera tamina,TRACE,  ,2,64abf8f3fb65a15e6bfa6ee414d73b64,96-620-1-1
96,620,,1,1,21.0,22.0,0.00,0.22,16,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NUMBE0010,Umbellosphaera irregularis,TRACE,  ,2,9ba57de58193a39d9169270eddee48a7,96-620-1-1
96,620,,1,1,21.0,22.0,0.00,0.22,16,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NUMBE0014,Umbellosphaera mirabilis,RARE,  ,2,ade56875ca74445034888c1c975017ef,96-620-1-1
96,620,,1,2,43.0,44.0,0.00,1.94, 6,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NCREN0010,Crenalithus doronicoides,RARE,  ,1,37fc2c922ffc62b482cd11d8b73d2f9b,96-620-1-2
96,620,,1,2,43.0,44.0,0.00,1.94, 6,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NCRIC0012,Cricolithus jonesii,TRACE,  ,1,6935620c80afd915118d4f161ece9a08,96-620-1-2
96,620,,1,2,43.0,44.0,0.00,1.94, 6,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NEMIL0020,Emiliania huxleyi,RARE,  ,1,93ad7635089e5da2c82cf1bfd11f3810,96-620-1-2
96,620,,1,2,43.0,44.0,0.00,1.94, 6,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NGEPH0020,Gephyrocapsa caribbeanica,RARE,  ,1,ab792163e7b9b8b4ed020a8e7e19e82d,96-620-1-2
96,620,,1,2,43.0,44.0,0.00,1.94, 6,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NSCAP0020,Scapholithus fossilis,TRACE,  ,1,369ded8603466b755f644d24f605783e,96-620-1-2
96,620,,1,2,43.0,44.0,0.00,1.94, 6,CONSTANS,10/1986,96,NANNOFOSSILS,,,,,NO AGE GIVEN,610,NSYRA0070,Syracosphaera pulchra,TRACE,  ,1,d714023a98203a5d871ee9a489cdcca3,96-620-1-2
