Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
172,1058,A,Initial Reports          ,      54.430,    0.460000,T Pseudoemiliania lacunosa
,,,,,,
172,1058,A,Initial Reports          ,      83.350,    0.750000,B G. crassaformis hessi
,,,,,,
172,1058,A,Initial Reports          ,     114.620,    1.000000,Reent. medium sized Gephyrocapsa spp.
,,,,,,
172,1058,A,Initial Reports          ,     140.340,    1.240000,T large Gephyrocapsa spp.
,,,,,,
