Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygodiscus xenotus,Watznaueria barnesae,Tranolithus phacelosus,Staurolithus sp.,Reinhardtites levis,Prediscosphaera spinosa,Prediscosphaera grandis,Prediscosphaera cretacea,Phanulithus obscurus,Micula decussata,Microrhabdulus decoratus,Lucianorhabdus cayeuxii,Kamptnerius magnificus,Gartnerago obliquum,Eiffellithus turriseiffelii,Eiffellithus gorkae,Cribrosphaerella ehrenbergii,Biscutum magnum,Biscutum dissimilis,Biscutum constans,Aspidolithus parcus constrictus,Arkhangelskiella specillata,Arkhangelskiella cymbiformis,Ahmuellerella octoradiata,Vekshinella parma,Thoracosphaera sp.,Stradneria crenulata,Rhagodiscus angustus,Reinhardtites anthophorus,Prediscosphaera stoveri,Misceomarginatus pleniporus,Chiastozygus garrisonii,Broinsonia enormis,Placozygus fibuliformis,Lucianorhabdus arcuatus,Chiastozygus sp.,Chiastozygus amphipons,Cretarhabdus conicus,Broinsonia furtiva,Biscutum castrorum,Corollithion signum,Biscutum coronum,Manivitella pemmatoidea,Repagalum parvidentatum,Glaukolithus compactus,Lithraphidites carniolensis,Prediscosphaera bukryi,Monomarginatus pectinatus,Markalius inversus,Prediscosphaera arkhangelskyi,Nephrolithus corystus,Thoracosphaera operculata,Quadrum sissinghii,Monomarginatus quaternarius,Placozygus sigmoides,Prediscosphaera honjoi,Quadrum trifidum,Biscutum notaculum,Nephrolithus frequens,Cribrosphaerella daniae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B,  5,R, 1,   0.00,    151.7000,Resiwati ,Nannofossils                                 ,C              ,M                 ,R                 ,                    ,                      ,                ,C                  ,R                      ,                       ,                        ,R                   ,C               ,                        ,R                      ,C                     ,F                  ,R                          ,R                  ,R                           ,F              ,                   ,                 ,                               ,R                          ,C                           ,C                        ,                 ,                  ,                    ,                    ,                         ,F                      ,                           ,                       ,                  ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,                       ,A                     ,                           ,                      ,                         ,                  ,                             ,R                    ,                         ,                  ,                           ,R                   ,F                     ,                ,                  ,F                    ,R                      ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B,  5,R, 1,  47.00,    152.1700,Resiwati ,Nannofossils                                 ,C              ,M                 ,                  ,                    ,                      ,                ,C                  ,R                      ,                       ,F                       ,C                   ,A               ,                        ,C                      ,C                     ,R                  ,F                          ,R                  ,F                           ,R              ,R                  ,                 ,                               ,R                          ,R                           ,F                        ,                 ,R                 ,R                   ,                    ,                         ,R                      ,R                          ,                       ,C                 ,R                      ,                       ,                ,                      ,F                   ,                  ,                  ,                   ,                ,                       ,                       ,F                     ,                           ,                      ,                         ,                  ,R                            ,R                    ,R                        ,                  ,                           ,                    ,R                     ,                ,                  ,R                    ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B,  5,R, 3,  47.00,    155.1700,Resiwati ,Nannofossils                                 ,C              ,M                 ,                  ,                    ,                      ,                ,C                  ,                       ,                       ,R                       ,C                   ,A               ,R                       ,C                      ,?                     ,                   ,?                          ,R                  ,R                           ,R              ,                   ,R                ,                               ,R                          ,                            ,                         ,                 ,R                 ,                    ,                    ,                         ,                       ,                           ,                       ,C                 ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,                       ,C                     ,                           ,                      ,                         ,                  ,                             ,C                    ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B,  5,R,CC,   9.00,    156.7900,Resiwati ,Nannofossils                                 ,C              ,M                 ,F                 ,                    ,                      ,                ,C                  ,                       ,                       ,R                       ,C                   ,C               ,                        ,C                      ,C                     ,F                  ,F                          ,                   ,F                           ,R              ,                   ,                 ,                               ,R                          ,R                           ,F                        ,                 ,                  ,                    ,                    ,                         ,R                      ,R                          ,R                      ,C                 ,R                      ,                       ,                ,                      ,F                   ,                  ,                  ,                   ,                ,                       ,R                      ,C                     ,                           ,                      ,                         ,                  ,R                            ,                     ,                         ,                  ,                           ,R                   ,R                     ,                ,                  ,R                    ,R                      ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
