Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorys spongoconus,Didymocyrtis violina,Didymocyrtis tubaria,Calocycletta virginis,Calocycletta costata,Didymocyrtis prismatica,Stichocorys wolffii,Cyrtocapsella cornuta,Stichocorys delmontensis,Dorcadospyris simplex,Didymocyrtis mammifera,Cyrtocapsella tetrapera,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. costata (RN4)  ,              ,124, 768,C, 46,R,CC,  22.00,    789.5700,Scherer  ,Radiolarians                                 ,C              ,M                 ,                     ,F                   ,F                   ,F                    ,C                   ,                       ,C                  ,                     ,C                       ,                     ,R                     ,                       ,from ODP Leg 124 SR Chapter 26 Table 1 p 362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. costata (RN4)  ,              ,124, 768,C, 47,R, 1, 143.00,    798.3300,Scherer  ,Radiolarians                                 ,C              ,P                 ,                     ,R                   ,                    ,R                    ,R                   ,                       ,F                  ,R                    ,R                       ,                     ,                      ,                       ,from ODP Leg 124 SR Chapter 26 Table 1 p 362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. costata (RN4)  ,              ,124, 768,C, 47,R,CC,  22.00,    798.6200,Scherer  ,Radiolarians                                 ,A              ,M                 ,                     ,F                   ,F                   ,F                    ,C                   ,                       ,C                  ,F                    ,C                       ,R                    ,R                     ,R                      ,from ODP Leg 124 SR Chapter 26 Table 1 p 362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. costata (RN4)  ,              ,124, 768,C, 48,R, 2, 141.00,    809.5100,Scherer  ,Radiolarians                                 ,F              ,P                 ,F                    ,R                   ,                    ,R                    ,R                   ,                       ,F                  ,R                    ,R                       ,                     ,                      ,                       ,from ODP Leg 124 SR Chapter 26 Table 1 p 362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. costata (RN4)  ,              ,124, 768,C, 48,R, 3, 102.00,    810.6200,Scherer  ,Radiolarians                                 ,A              ,P                 ,                     ,F                   ,R                   ,C                    ,F                   ,                       ,A                  ,R                    ,F                       ,R                    ,                      ,                       ,from ODP Leg 124 SR Chapter 26 Table 1 p 362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. costata (RN4)  ,              ,124, 768,C, 48,R, 3, 104.00,    810.6400,Scherer  ,Radiolarians                                 ,A              ,P                 ,R                    ,F                   ,F                   ,C                    ,R                   ,R                      ,A                  ,F                    ,R                       ,R                    ,                      ,                       ,from ODP Leg 124 SR Chapter 26 Table 1 p 362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,124, 768,C, 48,R,CC,   2.00,    813.9300,Scherer  ,Radiolarians                                 ,C              ,P                 ,R                    ,F                   ,                    ,?                    ,?                   ,R                      ,C                  ,F                    ,                        ,                     ,                      ,                       ,from ODP Leg 124 SR Chapter 26 Table 1 p 362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. costata (RN4)  ,              ,124, 768,C, 69,R, 4,  84.00,   1013.6400,Scherer  ,Radiolarians                                 ,F              ,VP                ,?                    ,                    ,                    ,?                    ,                    ,?                      ,                   ,                     ,                        ,                     ,                      ,                       ,uncertain zone assignment from ODP Leg 124 SR Chapter 26 Table 1 p 362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. costata (RN4)  ,              ,124, 768,C, 69,R,CC,  27.00,   1015.2000,Scherer  ,Radiolarians                                 ,F              ,VP                ,?                    ,                    ,?                   ,?                    ,                    ,                       ,                   ,                     ,                        ,                     ,                      ,                       ,uncertain zone assignment from ODP Leg 124 SR Chapter 26 Table 1 p 362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. costata (RN4)  ,              ,124, 768,C, 72,R, 1,  31.00,   1037.2100,Scherer  ,Radiolarians                                 ,R              ,VP                ,?                    ,                    ,                    ,                     ,                    ,                       ,                   ,                     ,                        ,                     ,                      ,                       ,uncertain zone assignment from ODP Leg 124 SR Chapter 26 Table 1 p 362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. costata (RN4)  ,              ,124, 768,C, 72,R, 2,  65.00,   1039.0500,Scherer  ,Radiolarians                                 ,R              ,VP                ,?                    ,?                   ,?                   ,?                    ,?                   ,                       ,                   ,                     ,                        ,                     ,                      ,                       ,uncertain zone assignment from ODP Leg 124 SR Chapter 26 Table 1 p 362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
