Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeugrhabdotus embergeri,Watznaueria biporta,Watznaueria barnesae,Rhagodiscus asper,Quadrum eneabrachium,Microstaurus chiastius,Manivitella pemmatoidea,Lithraphidites carniolensis carniolensis,Hayesites irregularis,Haqius circumradiatus,Glaukolithus bicrescenticus,Flabellites biforaminis,Cretarhabdus crenulatus,Assipetra infracretacea,Watznaueria britannica,Eprolithus floralis,Laguncula dorotheae,Eiffellithus turriseiffelii,Tetrapodorhabdus coptensis,Tegumentum stradneri,Prediscosphaera columnata,Placozygus tractus,Loxolithus armilla,Cylindralithus nudus,Broinsonia dentata,Axopodorhabdus albianus,Watznaueria fossacincta,Tranolithus phacelosus,Reinhardtites anthophorus,Quadrum gothicum,Quadrum gartneri,Micula cubiformis,Glaukolithus diplogrammus,Eiffellithus eximius,Cylindralithus stradneri,Cylindralithus coangustatus,Cyclagelosphaera margerelii,Cribrosphaerella romanica,Cribrosphaerella ehrenbergii,Cretarhabdus octofenestratus,Cretarhabdus conicus,Chiastozygus fessus,Ceratolithoides self-trailiae,Ceratolithoides indiensis,Calculites ovalis,Broinsonia parca constricta,Broinsonia bevieri,Tranolithus argos,Stoverius biarcus,Rhagodiscus indistinctus,Prediscosphaera cretacea,Micula swastica,Micula staurophora,Cribrosphaerella obovata,Arkhangelskiella cymbiformis var NT,Arkhangelskiella cymbiformis,Quadrum trifidum (short arms),Reinhardtites levis,Micula aff praemura (high),Broinsonia parca,Micula praemurus,Chiastozygus litterarius,Cribrocorona gallica,Prinsius tenuiculum,Prinsius martinii,Prinsius dimorphosus,Ericsonia subpertusa,Ericsonia sp. 4,Ericsonia alternans,Cruciplacolithus tenuis,Cruciplacolithus intermedius,Coccolithus pelagicus,Chiasmolithus danicus,Toweius eminens,Sphenolithus primus,Fasciculithus tympaniformis,Discoaster multiradiatus,Cruciplacolithus frequens,Tribrachiatus orthostylus,Toweius occultatus,Coccolithus cavus,Chiasmolithus eograndis,Campylosphaera eodela,Sphenolithus editus,Ericsonia formosa,Discoaster saipanensis,Discoaster kuepperi,Discoaster diastypus,Discoaster barbadiensis,Sphenolithus spiniger,Sphenolithus radians,Sphenolithus pseudoradians,Nannotetrina fulgens,Nannotetrina alata,Chiasmolithus grandis,Chiasmolithus consuetus,Rhabdosphaera inflata,Discoaster sublodoensis,Chiasmolithus titus,Chiasmolithus gigas,Sphenolithus furcatolithoides,Chiasmolithus solitus,Reticulofenestra umbilica,Cyclolithella protoannula,Cribrocentrum reticulatum,Chiasmolithus oamaruensis,Sphenolithus moriformis,Helicosphaera salebrosa,Helicosphaera lophota,Helicosphaera compacta,Dictyococcites bisectus,Reticulofenestra hillae,Discoaster tanii,Discoaster strictus,Cyclicargolithus floridanus,Coccolithus miopelagicus,Sphenolithus neoabies,Sphenolithus heteromorphus,Sphenolithus predistentus,Reticulofenestra circus,Discoaster deflandrei,Lanternithus minutus,Discoaster calculosus,Clausicoccus fenestratus,Zygrhablithus bijugatus,Sphenolithus distentus,Discoaster adamanteus,Cyclicargolithus abisectus,Sphenolithus ciperoensis,Sphenolithus dissimilis,Discoaster druggii,Cyclicargolithus floridanus abisectus,Calcidiscus tropicus,Tetralithoides symeonidesii,Helicosphaera carteri,Discoaster deflandrei (5 ray),Coronocyclus prionion,Hayaster perplexus,Coronocyclus nitescens,Calcidiscus premacintyrei,Umbilicosphaera sibogae,Helicosphaera waltrans,Helicosphaera euphratis,Triquetrorhabdulus rioensis,Scyphosphaera martinii,Reticulofenestra pseudoumbilicus,Triquetrorhabdulus serratus,Triquetrorhabdulus rugosus,Sphenolithus abies,Coronocyclus nitescens (elliptical),Calcidiscus leptoporus,Scyphosphaera amphora,Discoaster kugleri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Cenozoic         ,Cenozoic         ,NN7,NN7,,192,1183,A,2,R,CC,21.00,330.7900,Bergen   ,Nannofossils                                 ,C              ,P                 ,                       ,                   ,                    ,                 ,                    ,                      ,                       ,                                        ,                     ,                     ,                           ,                       ,                       ,                       ,                      ,                   ,                   ,                           ,                          ,                    ,                         ,                  ,                  ,                    ,                  ,                       ,                       ,                      ,                         ,                ,                ,                 ,                         ,                    ,                        ,                           ,                           ,                         ,                            ,                            ,                    ,                   ,                             ,                         ,                 ,                           ,                  ,                 ,                 ,                        ,                        ,               ,                  ,                        ,                                   ,                            ,                             ,                   ,                          ,                ,                ,                        ,                    ,                   ,                 ,                    ,                    ,               ,                   ,                       ,                            ,C                    ,                     ,               ,                   ,                           ,                        ,                         ,                         ,                  ,                 ,                       ,                     ,                   ,                 ,                      ,                   ,                    ,                       ,                     ,                    ,                          ,                    ,                  ,                     ,                       ,                     ,                       ,                   ,                   ,                             ,                     ,                         ,                         ,                         ,                         ,C                      ,                       ,                     ,                      ,                       ,                       ,                ,                   ,                           ,F                       ,C                    ,                          ,                         ,                       ,                     ,                    ,                     ,                        ,                       ,                      ,                     ,                          ,                        ,                       ,                  ,                                     ,R                   ,                           ,R                    ,                             ,                     ,                  ,                      ,                         ,R                      ,                      ,                       ,                           ,                      ,F                               ,                           ,                          ,F                 ,                                   ,F                     ,                     ,C                 ,Cmio(NN7) and Dkug
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Cenozoic         ,Cenozoic         ,NN7,NN6,,192,1183,A,3,R,CC,22.00,340.8200,Bergen   ,Nannofossils                                 ,C              ,P                 ,                       ,                   ,                    ,                 ,                    ,                      ,                       ,                                        ,                     ,                     ,                           ,                       ,                       ,                       ,                      ,                   ,                   ,                           ,                          ,                    ,                         ,                  ,                  ,                    ,                  ,                       ,                       ,                      ,                         ,                ,                ,                 ,                         ,                    ,                        ,                           ,                           ,                         ,                            ,                            ,                    ,                   ,                             ,                         ,                 ,                           ,                  ,                 ,                 ,                        ,                        ,               ,                  ,                        ,                                   ,                            ,                             ,                   ,                          ,                ,                ,                        ,                    ,                   ,                 ,                    ,                    ,               ,                   ,                       ,                            ,C                    ,                     ,               ,                   ,                           ,                        ,                         ,                         ,                  ,                 ,                       ,                     ,                   ,                 ,                      ,                   ,                    ,                       ,                     ,                    ,                          ,                    ,                  ,                     ,                       ,                     ,                       ,                   ,                   ,                             ,                     ,                         ,                         ,                         ,                         ,C                      ,                       ,                     ,                      ,                       ,                       ,                ,                   ,R                          ,F                       ,F                    ,                          ,                         ,                       ,                     ,                    ,                     ,                        ,                       ,                      ,                     ,                          ,                        ,                       ,                  ,                                     ,R                   ,                           ,R                    ,                             ,                     ,                  ,                      ,                         ,                       ,                      ,                       ,                           ,                      ,F                               ,                           ,C                         ,R                 ,                                   ,                      ,                     ,R                 ,Cflor in lower NN7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Cenozoic         ,Cenozoic         ,NN6,NN6,,192,1183,A,4,R,CC,21.00,354.0900,Bergen   ,Nannofossils                                 ,C              ,P                 ,                       ,                   ,                    ,                 ,                    ,                      ,                       ,                                        ,                     ,                     ,                           ,                       ,                       ,                       ,                      ,                   ,                   ,                           ,                          ,                    ,                         ,                  ,                  ,                    ,                  ,                       ,                       ,                      ,                         ,                ,                ,                 ,                         ,                    ,                        ,                           ,                           ,                         ,                            ,                            ,                    ,                   ,                             ,                         ,                 ,                           ,                  ,                 ,                 ,                        ,                        ,               ,                  ,                        ,                                   ,                            ,                             ,                   ,                          ,                ,                ,                        ,                    ,                   ,                 ,                    ,                    ,               ,                   ,                       ,                            ,C                    ,                     ,               ,                   ,                           ,                        ,                         ,                         ,                  ,                 ,                       ,                     ,                   ,                 ,                      ,                   ,                    ,                       ,                     ,                    ,                          ,                    ,                  ,                     ,                       ,                     ,                       ,                   ,                   ,                             ,                     ,                         ,                         ,                         ,                         ,C                      ,                       ,                     ,                      ,                       ,                       ,                ,                   ,R                          ,C                       ,C                    ,                          ,                         ,                       ,                     ,                    ,                     ,                        ,                       ,                      ,                     ,                          ,                        ,                       ,                  ,                                     ,                    ,                           ,R                    ,                             ,                     ,                  ,R                     ,                         ,                       ,                      ,                       ,                           ,                      ,F                               ,                           ,R                         ,R                 ,                                   ,                      ,                     ,C                 ,Top Cnit.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Cenozoic         ,Cenozoic         ,NN6,NN6,,192,1183,A,5,R,CC,20.00,365.4100,Bergen   ,Nannofossils                                 ,C              ,P                 ,                       ,                   ,                    ,                 ,                    ,                      ,                       ,                                        ,                     ,                     ,                           ,                       ,                       ,                       ,                      ,                   ,                   ,                           ,                          ,                    ,                         ,                  ,                  ,                    ,                  ,                       ,                       ,                      ,                         ,                ,                ,                 ,                         ,                    ,                        ,                           ,                           ,                         ,                            ,                            ,                    ,                   ,                             ,                         ,                 ,                           ,                  ,                 ,                 ,                        ,                        ,               ,                  ,                        ,                                   ,                            ,                             ,                   ,                          ,                ,                ,                        ,                    ,                   ,                 ,                    ,                    ,               ,                   ,                       ,                            ,C                    ,                     ,               ,                   ,                           ,                        ,                         ,                         ,                  ,                 ,                       ,                     ,                   ,                 ,                      ,                   ,                    ,                       ,                     ,                    ,                          ,                    ,                  ,                     ,                       ,                     ,                       ,                   ,                   ,                             ,                     ,                         ,                         ,                         ,                         ,C                      ,                       ,                     ,                      ,                       ,                       ,                ,                   ,                           ,F                       ,C                    ,                          ,                         ,                       ,                     ,                    ,                     ,                        ,                       ,                      ,                     ,                          ,                        ,                       ,                  ,                                     ,R                   ,                           ,R                    ,                             ,                     ,                  ,R                     ,                         ,                       ,                      ,                       ,                           ,                      ,F                               ,                           ,R                         ,R                 ,R                                  ,R                     ,R                    ,                  ,w/ellip Cnit
