Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Woody/herbaceous taxa	Taxodium taxa	Pteridium sp.	Pinus cf.P. sylvestris	Picea cf. P. mariana	DR sporomorphs taxa	Cedrus cf. C perialata	Tsugsa sp. cf. T. sp.	Trilete spore 1	Tricolpites sp. 1	Sequoia sp. 1	Quercus taxa	Polypodium cf. P. reniforme	Lycopodium sp.	Carya taxa	Betula sect. Nanae	Verrucate triletes cf. A	Verrucate monocolpates cf. A	Torate triletes cf. A	Thinpore triporates cf. A &  B  	Thickpore triporates cf. A & B	Tetrads cf. A & B 	Subequatorial triporates cf. A & B  	Straight bisaccates cf. A	Split inaperturates cf. A & B & C	Smooth triletes cf. A & B 	Smooth monocolpates cf. A & B	Small tricolpates cf. A & B & C	Small bisaccates cf. A	Scabrate monoporates cf. A	Rugulate multiporates cf. A	Round tricolporates cf. A	Round bisaccates cf A & B 	Ribbed elipticals cf. A	Reticulate multiporates cf. A	Pointed monocolpates (unspecified)	Papillate inaperturates cf. A &  B	Large tricolporates cf. A &  B	Large tricolpates cf. A &  B &  C	Large bisaccates cf. A &  B	Granular inaperturates cf. A	Frilled monosaccates cf. A & B	Clavate tricolporates cf. A & B	Baculate triletes cf. A	Sphagnum taxa	Polytrichum spores taxa	Larix taxa	Coaly  taxa	Comment



  IR	                 	                 	                  	              	104	 642	C	  1	H	CC	  19.00	      3.3800	Mudie    	Pollen/Spores                                	               	M                 	F                    	             	             	                      	C                   	A                  	                      	                     	               	                 	             	            	                           	              	          	                  	                        	                            	                     	                                	                              	                  	                                    	                         	                                 	                          	                             	                               	                      	                          	                           	                         	                          	                       	                             	                                  	                                  	                              	                                 	                           	                            	                              	                               	                       	F            	R                      	C         	C          	from ODP 104 IR Ch 4 Table 16 p 136-137

  SR	                 	                 	                  	              	104	 642	C	  7	H	 1	  79.00	     51.6900	Manum    	Pollen/Spores                                	               	                  	                     	             	             	                      	                    	                   	                      	                     	               	                 	             	            	                           	              	          	                  	-                       	R                           	-                    	-                               	-                             	-                 	-                                   	C                        	-                                	-                         	R                            	-                              	R                     	R                         	-                          	-                        	R                         	-                      	-                            	-                                 	-                                 	-                             	-                                	-                          	-                           	-                             	-                              	-                      	             	                       	          	           	from ODP 104 SR Chapter 32 Figure 9 p 639

  SR	                 	                 	                  	              	104	 642	C	 12	H	 1	  78.00	     83.2800	Manum    	Pollen/Spores                                	               	                  	                     	             	             	                      	                    	                   	                      	                     	               	                 	             	            	                           	              	          	                  	-                       	-                           	-                    	-                               	-                             	-                 	-                                   	C                        	-                                	R                         	-                            	-                              	-                     	-                         	-                          	-                        	A                         	-                      	-                            	-                                 	-                                 	-                             	-                                	C                          	-                           	R                             	-                              	-                      	             	                       	          	           	from ODP 104 SR Chapter 32 Figure 9 p 639

  SR	                 	                 	                  	              	104	 642	C	 15	H	 1	  79.00	    111.7900	Manum    	Pollen/Spores                                	               	                  	                     	             	             	                      	                    	                   	                      	                     	               	                 	             	            	                           	              	          	                  	-                       	-                           	-                    	-                               	-                             	-                 	-                                   	C                        	-                                	R                         	-                            	-                              	R                     	-                         	-                          	-                        	A                         	-                      	-                            	R                                 	-                                 	-                             	-                                	R                          	-                           	R                             	-                              	-                      	             	                       	          	           	from ODP 104 SR Chapter 32 Figure 9 p 639
