Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygabikodinium lenticulatum	Xandarodinium xanthum	Tuberculodinium vancampoae	Trinovantedinium capitatum	Tectatodinium sp. II	Tectatodinium sp. I	Tectatodinium pellitum	Stelladinium reidii	Spiniferites spp.	Spiniferites scabratus	Spiniferites elongatus	Spiniferites bentorii	Selenopemphix quanta	Selenopemphix nephroides	Quinquecuspis spp.	Polysphaeridium zoharyi	Peridinium faeroense	Pediastrum sp.	Operculodinium israelianum	Operculodinium centrocarpum	Nematosphaeropsis lemniscata	Nematosphaeropsis labyrinthea	Multispinula minuta	Lingulodinium machaerophorum	Impagidinium spp.	Impagidinium sphaericum	Impagidinium multiplexum	Filisphaera filifera	Cordosphaeridium sp. 1	Brigantedinium sp. group. H	Brigantedinium sp. group B	Brigantedinium simplex	Bitectatodinium tepikiense	Ataxiodinium choanum	Achomosphaera ramulifera	Achomosphaera andalousiensis	Comment



  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  1	H	 1	  86.00	      0.8600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	R                    	-                         	R                         	-                   	-                  	-                     	-                  	C                	-                     	-                     	-                    	R                   	-                       	-                 	-                      	R                   	A             	-                         	C                          	-                           	-                            	C                  	R                           	-                	-                      	-                       	-                   	-                     	C                          	-                         	C                     	C                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  1	H	 2	  86.00	      2.3600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	R                         	C                         	-                   	-                  	-                     	-                  	-                	-                     	-                     	-                    	C                   	-                       	-                 	-                      	-                   	-             	-                         	-                          	-                           	-                            	C                  	-                           	-                	-                      	-                       	-                   	-                     	R                          	-                         	-                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  1	H	 3	  86.00	      3.8600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	R                     	-                  	C                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	R             	-                         	C                          	-                           	-                            	R                  	-                           	-                	-                      	-                       	-                   	-                     	R                          	R                         	R                     	A                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  2	H	 1	  86.00	      5.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	R                    	-                         	-                         	-                   	-                  	-                     	-                  	R                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	R                   	-             	-                         	C                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	R                          	-                         	R                     	A                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

