Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus crux lockerii (regular)	Dictyocha fibula (regular)	Corbisema apiculata apiculata	Bachmannocena apiculata curvata	Bachmannocena apiculata apiculata	Distephanus crux lockerii (3-sided)	Dictyocha fibula (5-sided)	Caryocha ernestinae	Bachmannocena elliptica miniformis	Distephanus speculum speculum (regular)	Distephanus crux crux	Corbisema triacantha	Caryocha depressa	Bachmannocena circulus apiculata	Dictyocha sp. cf. D. rhombica	Dictyocha varia	Dictyocha sp. 4	Dictyocha fibula (3-sided)	Distephanus speculum binoculus	Distephanus crux longispinus	Distephanus crux lockerii (5-sided)	Distephanus speculum speculum f. septenarius	Distephanus crux scutulatus	Distephanus crux longispinus (equant spines)	Distephanus speculum triommata	Naviculopsis constricta	Distephanus crux stradneri	Distephanus speculum hemisphaericus	Caryocha jouseae	Distephanus schulzii	Distephanus speculum pentagonus	Dictyocha subclinata	Distephanus speculum speculum f. pseudofibula	Distephanus speculum minutus	Lyramula furcula	Corbisema inermis inermis	Corbisema hastata hastata	Bachmannocena circulus circulus	Distephanus speculum speculum f. notabilis	Distephanus boliviensis boliviensis	Bachmannocena diodon nodosa	Bachmannocena diodon diodon	Distephanus crux parvus	Bachmannocena triangula	Bachmannocena elliptica elliptica	Bachmannocena diodon triodon	Distephanus quinarius	Dictyocha sp. 3	Distephanus boliviensis binoculus	Bachmannocena dumitricae	Dictyocha sp. 2	Distephanus quinarius (4-sided)	Distephanus quinarius (3 aw)	Distephanus quinarius (2 aw)	Bachmannocena hexalitha	Distephanus quinarius (no aw)	Distephanus boliviensis major	Distephanus speculum speculum (thickened)	Naviculopsis transitoria	Naviculopsis minor	Bachmannocena quadrangula	Distephanus speculum minutus (equant spines)	Comment



  IR	Early Pliocene   	                 	Ds. boliviensis   	              	162	 907	B	 10	H	 2	  70.00	     80.9000	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	199                                    	                     	                    	                 	                                	                             	               	               	                          	1                             	                            	                                   	                                            	                           	                                            	                              	                       	                          	                                   	                	                    	5                              	                    	                                             	71                          	                	                         	                         	                               	1                                         	4                                  	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	2                            	                                         	                        	                  	                         	31                                          	Total Count is 314. from Leg 162SR Ch 5 Table 2.

  IR	Early Pliocene   	                 	Ds. boliviensis   	              	162	 907	B	 10	H	 5	 117.00	     85.8700	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	193                                    	                     	                    	                 	                                	                             	               	               	                          	                              	                            	                                   	                                            	                           	                                            	                              	                       	                          	                                   	                	                    	                               	                    	                                             	35                          	                	                         	                         	                               	1                                         	3                                  	                           	                           	                       	                       	                                 	                            	3                    	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	73                                          	Total Count is 308. from Leg 162SR Ch 5 Table 2.

  IR	Early Pliocene   	                 	Ds. boliviensis   	              	162	 907	B	 11	H	 3	 109.00	     92.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	VR             	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	                                       	                     	r5                  	                 	                                	                             	               	               	                          	                              	                            	                                   	                                            	                           	                                            	                              	r2                     	                          	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 7. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B. diodon         	              	162	 907	B	 11	H	 4	 109.00	     93.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	R              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	123                                    	                     	                    	                 	                                	                             	               	               	                          	                              	                            	                                   	2                                           	                           	                                            	                              	                       	                          	                                   	                	                    	2                              	                    	                                             	4                           	                	                         	                         	                               	                                          	4                                  	1                          	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	5                                        	                        	                  	1                        	                                            	Total Count is 142. from Leg 162SR Ch 5 Table 2.
