Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira oestrupii	Thalassionema nitzschioides	Actinoptychus senarius	Nitzschia marina	Hemidiscus cuneiformis	Rhizosolenia praebergonii var. robusta	Nitzschia fossilis	Pseudoeunotia doliolus	Nitzschia reinholdii	Azpeitia nodulifera	Triceratium pileus	Rhizosolenia praebergonii	Asteromphalus elegans	Thalassiosira praeconvexa	Comment



  IR	                 	Pleistocene      	                  	P. doliolus   	170	1041	A	  1	H	 1	   0.00	      0.0000	White    	Diatoms                                      	A              	G                 	F                        	A                      	F                          	                      	F               	                      	rR                                    	                  	C                     	                    	F                  	                  	                         	                     	                         	       

  IR	                 	Pleistocene      	                  	P. doliolus   	170	1041	A	  1	H	 1	  60.00	      0.6000	White    	Diatoms                                      	C              	M                 	R                        	F                      	R                          	                      	F               	F                     	rR                                    	                  	F                     	                    	C                  	                  	                         	                     	                         	       

  IR	                 	Pleistocene      	                  	P. doliolus   	170	1041	A	  1	H	 2	  78.00	      2.2800	White    	Diatoms                                      	C              	M                 	                         	C                      	R                          	                      	F               	T                     	rR                                    	                  	F                     	                    	                   	                  	                         	                     	rR                       	       

  IR	                 	Pleistocene      	                  	P. doliolus   	170	1041	A	  1	H	 2	 140.00	      2.9000	White    	Diatoms                                      	C              	M                 	F                        	C                      	R                          	                      	C               	R                     	                                      	                  	F                     	                    	R                  	rR                	rR                       	                     	                         	       

  IR	                 	                 	                  	              	170	1041	A	  1	H	 3	  99.00	      3.9900	White    	Diatoms                                      	C              	M                 	F                        	F                      	R                          	                      	F               	R                     	                                      	                  	F                     	                    	F                  	                  	                         	                     	                         	       

  IR	                 	                 	                  	              	170	1041	A	  1	H	CC	  24.00	      7.3500	White    	Diatoms                                      	R              	P                 	R                        	                       	                           	R                     	                	                      	                                      	                  	                      	                    	                   	                  	                         	                     	                         	       

  IR	                 	Late Pliocene    	                  	              	170	1041	A	  2	H	 1	 150.00	      8.9000	White    	Diatoms                                      	F              	M                 	                         	F                      	R                          	R                     	R               	R                     	                                      	F                 	                      	R                   	R                  	rR                	R                        	R                    	                         	       

  IR	                 	Late Pliocene    	                  	N.marina sz B 	170	1041	A	  2	H	CC	   0.00	     14.0300	White    	Diatoms                                      	F              	P                 	R                        	F                      	R                          	R                     	R               	                      	                                      	F                 	A                     	R                   	R                  	                  	                         	                     	                         	       

  IR	                 	                 	                  	              	170	1041	A	  3	X	CC	  47.00	     21.1200	White    	Diatoms                                      	F              	P                 	R                        	                       	                           	R                     	                	                      	                                      	                  	                      	                    	                   	                  	                         	                     	                         	       

  IR	                 	                 	                  	              	170	1041	A	  4	X	CC	  46.00	     24.9200	White    	Diatoms                                      	R              	P                 	                         	R                      	                           	                      	                	                      	                                      	                  	                      	                    	                   	                  	                         	                     	                         	       

  IR	                 	                 	                  	              	170	1041	A	  6	X	CC	  36.00	     41.2300	White    	Diatoms                                      	F              	P                 	                         	R                      	R                          	R                     	                	R                     	R                                     	+                 	                      	                    	                   	                  	                         	                     	                         	       

  IR	                 	                 	                  	              	170	1041	A	  7	X	CC	  31.00	     50.7000	White    	Diatoms                                      	R              	M                 	                         	R                      	                           	                      	R               	                      	R                                     	R                 	                      	                    	                   	                  	                         	                     	                         	       

  IR	                 	                 	                  	              	170	1041	A	  8	X	CC	  31.00	     60.4600	White    	Diatoms                                      	R              	M                 	                         	R                      	R                          	                      	R               	R                     	                                      	                  	                      	                    	                   	                  	                         	                     	                         	       

  IR	                 	                 	                  	              	170	1041	A	 10	X	CC	  41.00	     76.2300	White    	Diatoms                                      	R              	P                 	                         	                       	                           	R                     	                	                      	                                      	                  	                      	                    	                   	                  	                         	                     	                         	       

  IR	                 	                 	                  	              	170	1041	A	 11	X	CC	  36.00	     84.9900	White    	Diatoms                                      	R              	P                 	                         	R                      	R                          	R                     	                	                      	                                      	                  	                      	                    	                   	                  	                         	                     	                         	       

  IR	                 	                 	                  	              	170	1041	A	 17	X	CC	  23.00	    137.4800	White    	Diatoms                                      	F              	P                 	F                        	                       	                           	                      	                	                      	                                      	                  	                      	                    	                   	                  	                         	                     	                         	       

  IR	                 	                 	                  	              	170	1041	A	 18	X	CC	  14.00	    151.4800	White    	Diatoms                                      	R              	P                 	R                        	                       	                           	                      	                	                      	                                      	                  	                      	                    	                   	                  	                         	                     	                         	       

