Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globotruncana ventricosa	Indeterminate spp.	Reworked spp.	Morozovella conicotruncata	Morozovella aequa	Acarinina bullbrooki	Morozovella aragonensis	Acarinina soldadoensis	Acarinina broedermanni	Globigerinatheka senni	Comment



  IR	                 	Middle Eocene    	                  	              	173	1069	A	  1	R	CC	  24.00	    723.6200	Urquhart 	Planktonic Foraminifers                      	F              	M                 	                        	F                 	R            	                          	                 	                    	R                      	                      	R                     	F                     	       

  IR	                 	Early Eocene     	                  	              	173	1069	A	  2	R	CC	  20.00	    731.8900	Urquhart 	Planktonic Foraminifers                      	C              	M                 	                        	R                 	F            	                          	                 	                    	                       	                      	R                     	                      	       

  IR	                 	Early Eocene     	                  	              	173	1069	A	  3	R	CC	  16.00	    741.6300	Urquhart 	Planktonic Foraminifers                      	R              	P                 	                        	                  	             	                          	                 	R                   	R                      	R                     	                      	                      	       

  IR	                 	Early Eocene     	                  	              	173	1069	A	  4	R	CC	  15.00	    751.2400	Urquhart 	Planktonic Foraminifers                      	C              	M                 	                        	                  	             	                          	                 	R                   	R                      	R                     	                      	                      	       

  IR	                 	Early Eocene     	                  	              	173	1069	A	  5	R	CC	  14.00	    759.5600	Urquhart 	Planktonic Foraminifers                      	A              	P                 	                        	A                 	R            	                          	R                	R                   	                       	                      	                      	                      	       

  IR	                 	Late Paleocene   	                  	              	173	1069	A	  7	R	CC	  21.00	    784.5800	Urquhart 	Planktonic Foraminifers                      	C              	P                 	                        	F                 	             	                          	R                	                    	                       	                      	                      	                      	       

  IR	                 	Late Paleocene   	                  	              	173	1069	A	  9	R	CC	   5.00	    801.8800	Urquhart 	Planktonic Foraminifers                      	A              	M                 	                        	F                 	A            	R                         	                 	                    	                       	                      	                      	                      	       

  IR	                 	Early Paleocene  	                  	              	173	1069	A	 11	R	CC	  26.00	    821.2100	Urquhart 	Planktonic Foraminifers                      	A              	P                 	                        	A                 	             	                          	                 	                    	                       	                      	                      	                      	       

  IR	                 	Maestrichtian    	                  	              	173	1069	A	 12	R	CC	   7.00	    833.2900	Urquhart 	Planktonic Foraminifers                      	R              	P                 	R                       	                  	             	                          	                 	                    	                       	                      	                      	                      	       

  IR	Campanian        	Maestrichtian    	                  	              	173	1069	A	 13	R	CC	  24.00	    841.7100	Urquhart 	Planktonic Foraminifers                      	R              	P                 	R                       	                  	             	                          	                 	                    	                       	                      	                      	                      	       

  IR	                 	Campanian        	                  	              	173	1069	A	 14	R	CC	  14.00	    852.0900	Urquhart 	Planktonic Foraminifers                      	R              	P                 	R                       	                  	             	                          	                 	                    	                       	                      	                      	                      	       

