Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Syracosphaera pulchra	Rhabdosphaera clavigera	Reticulofenestra minutula	Gephyrocapsa aperta	Calcidiscus leptoporus	Pseudoemiliania lacunosa	Dictyococcites antarcticus	Umbilicosphaera sibogae	Calcidiscus macintyrei	Discosphaera tubifera	Helicosphaera kamptneri	Rhabdosphaera stylifera	Coccolithus pelagicus	Gephyrocapsa caribbeanica	Small Gephyrocapsa spp.	Helicosphaera carteri	Dictyococcites productus	Pontosphaera pachymorpha	Reticulofenestra minuta	Braarudosphaera bigelowii	Gephyrocapsa oceanica	Umbellosphaera irregularis	Oolithotus fragilis	Scapholithus fossilis	Comment



  IR	                 	Quaternary       	NN20              	NN21          	182	1129	C	  1	H	CC	   8.00	      7.2600	Ladner   	Nannofossils                                 	A              	G                 	F                    	                       	A                        	A                  	                      	                        	                          	F                      	                      	                     	                       	                       	                     	A                        	                       	                     	                        	                        	                       	                         	A                    	                          	                   	                     	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1129	C	  2	H	CC	   0.00	     17.0700	Ladner   	Nannofossils                                 	A              	G                 	R                    	                       	                         	C                  	F                     	                        	                          	R                      	                      	                     	F                      	                       	F                    	A                        	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1129	C	  3	H	CC	   0.00	     25.9500	Ladner   	Nannofossils                                 	A              	G                 	                     	R                      	                         	F                  	F                     	                        	                          	F                      	                      	                     	F                      	                       	                     	C                        	                       	                     	                        	                        	                       	                         	                     	R                         	R                  	R                    	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1129	C	  4	H	CC	  15.00	     36.2800	Ladner   	Nannofossils                                 	A              	M                 	                     	                       	C                        	C                  	F                     	                        	                          	                       	                      	                     	F                      	                       	R                    	C                        	                       	                     	                        	                        	                       	R                        	                     	                          	R                  	                     	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1129	C	  5	H	CC	   0.00	     45.2800	Ladner   	Nannofossils                                 	A              	M                 	                     	                       	A                        	C                  	F                     	                        	                          	F                      	                      	                     	F                      	                       	R                    	C                        	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1129	C	  6	H	CC	   0.00	     55.0500	Ladner   	Nannofossils                                 	A              	M                 	                     	F                      	A                        	C                  	F                     	                        	                          	                       	                      	                     	F                      	                       	R                    	C                        	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1129	C	  7	H	CC	   0.00	     62.4300	Ladner   	Nannofossils                                 	A              	M                 	F                    	                       	A                        	C                  	F                     	                        	                          	                       	                      	                     	                       	                       	                     	C                        	                       	                     	                        	                        	                       	R                        	                     	R                         	R                  	                     	       

