Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus predistentus	Sphenolithus moriformis	Reticulofenestra spp. (small - medium)	Pontosphaera spp.	Helicosphaera euphratis	Discoaster variabilis	Discoaster tanii	Discoaster deflandrei	Dictyococcites bisectus	Cyclicargolithus floridanus	Coccolithus pelagicus	Braarudosphaera bigelowii	Zygrhablithus bijugatus	Sphenolithus pseudoradians	Sphenolithus distentus	Helicosphaera carteri	Sphenolithus ciperoensis	Helicosphaera recta	Comment



  IR	Late Oligocene   	Late Oligocene   	NP24              	NP24          	184	1148	B	 22	X	CC	  22.00	    488.1200	nannos   	Nannofossils                                 	C              	M                 	C                        	C                      	C                                     	                 	F                      	F                    	                	F                    	F                      	A                          	C                    	                         	F                      	                          	F                     	F                    	F                       	F                  	       

  IR	Late Oligocene   	Late Oligocene   	NP24              	NP24          	184	1148	B	 23	X	CC	  21.00	    497.7100	nannos   	Nannofossils                                 	C              	M                 	C                        	C                      	C                                     	                 	                       	F                    	                	F                    	F                      	A                          	C                    	                         	F                      	                          	F                     	F                    	F                       	                   	       

  IR	Late Oligocene   	Late Oligocene   	NP24              	NP24          	184	1148	B	 24	X	CC	  43.00	    508.0300	nannos   	Nannofossils                                 	C              	M                 	C                        	C                      	C                                     	                 	F                      	F                    	                	F                    	F                      	A                          	C                    	                         	F                      	                          	F                     	F                    	F                       	                   	       

  IR	Late Oligocene   	Late Oligocene   	NP24              	NP24          	184	1148	B	 25	X	CC	  32.00	    522.1700	nannos   	Nannofossils                                 	C              	M                 	C                        	C                      	C                                     	                 	F                      	F                    	                	F                    	F                      	A                          	C                    	                         	F                      	                          	F                     	F                    	F                       	                   	       

  IR	Early Oligocene  	Early Oligocene  	NP24              	NP24          	184	1148	B	 26	X	CC	  25.00	    528.1400	nannos   	Nannofossils                                 	C              	M                 	C                        	C                      	C                                     	                 	                       	F                    	                	F                    	F                      	A                          	C                    	                         	F                      	                          	F                     	F                    	F                       	                   	       

  IR	Early Oligocene  	Early Oligocene  	NP24              	NP24          	184	1148	B	 27	X	CC	  36.00	    541.9600	nannos   	Nannofossils                                 	C              	M                 	C                        	C                      	C                                     	                 	                       	F                    	                	F                    	F                      	A                          	C                    	                         	F                      	                          	F                     	F                    	F                       	                   	       

  IR	Early Oligocene  	Early Oligocene  	NP23              	NP23          	184	1148	B	 46	X	CC	  34.00	    774.0600	nannos   	Nannofossils                                 	               	M                 	A                        	C                      	C                                     	                 	                       	F                    	F               	F                    	                       	A                          	C                    	                         	F                      	F                         	F                     	F                    	                        	                   	       

  IR	Early Oligocene  	Early Oligocene  	NP23              	NP23          	184	1148	B	 47	X	CC	  35.00	    782.3200	nannos   	Nannofossils                                 	               	M                 	                         	                       	                                      	                 	                       	                     	                	F                    	                       	A                          	C                    	                         	                       	                          	                      	                     	                        	                   	       

  IR	Early Oligocene  	Early Oligocene  	NP23              	NP23          	184	1148	B	 48	X	CC	  25.00	    787.5400	nannos   	Nannofossils                                 	               	M                 	                         	                       	                                      	                 	                       	                     	                	F                    	                       	A                          	C                    	                         	                       	                          	                      	                     	                        	                   	       

  IR	Early Oligocene  	Early Oligocene  	NP23              	NP23          	184	1148	B	 49	X	CC	  35.00	    798.6600	nannos   	Nannofossils                                 	               	M                 	                         	                       	                                      	                 	                       	                     	                	F                    	                       	A                          	C                    	                         	                       	                          	                      	                     	                        	                   	       

  IR	Early Oligocene  	Early Oligocene  	NP23              	NP23          	184	1148	B	 50	X	CC	  37.00	    808.9500	nannos   	Nannofossils                                 	               	M                 	                         	                       	                                      	                 	                       	                     	                	F                    	                       	A                          	C                    	                         	                       	                          	                      	                     	                        	                   	       

  IR	Early Oligocene  	Early Oligocene  	NP23              	NP23          	184	1148	B	 56	X	CC	  31.00	    845.0700	nannos   	Nannofossils                                 	C              	M                 	C                        	C                      	C                                     	F                	C                      	R                    	R               	R                    	C                      	A                          	C                    	C                        	                       	                          	                      	                     	                        	                   	       

