Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globorotalia puncticulata	Globigerina quinqueloba	Globigerina bulloides	Orbulina universa	Globorotalia truncatulinoides	Globorotalia puncticuloides	Globorotalia inflata	Globigerinita glutinata	Paragloborotalia continuosa	Globorotalia pliozea	Paragloborotalia nympha	Paragloborotalia mayeri	Globorotalia sphericomiozea	Globigerina falconensis	Neogloboquadrina pachyderma (sinistral)	Globorotalia crassaformis	Globorotalia scitula	Globorotalia crassula	Globorotalia hirsuta	Globigerinita uvula	Globigerinella obesa	Globigerinella aequilateralis	Neogloboquadrina dutertrei	Globorotalia triangula	Globorotalia crassaconica	Beella digitata	Comment



  IR	                 	                 	                  	SN14          	189	1169	A	  1	H	CC	  17.00	      8.5200	forams   	Planktonic Foraminifers                      	C              	M                 	                         	+                      	+                    	+                	+                            	                           	+                   	+                      	                           	                    	                       	                       	                           	+                      	+                                      	+                        	+                   	+                    	                    	+                  	                    	                             	                          	                      	                         	               	Many rads, some dissolution effects

  IR	                 	                 	                  	SN14          	189	1169	A	  2	H	CC	  12.00	     15.0400	forams   	Planktonic Foraminifers                      	A              	VG                	                         	+                      	+                    	+                	+                            	+                          	+                   	+                      	                           	                    	                       	                       	                           	+                      	+                                      	+                        	+                   	+                    	                    	+                  	+                   	+                            	+                         	+                     	+                        	+              	Mix of temperate and subantarctic faunas

  IR	                 	                 	                  	SN12b         	189	1169	A	  3	H	CC	  15.00	     27.9000	forams   	Planktonic Foraminifers                      	A              	VG                	+                        	+                      	+                    	+                	                             	+                          	                    	+                      	                           	                    	                       	                       	                           	+                      	+                                      	+                        	                    	+                    	                    	+                  	                    	                             	                          	                      	                         	               	       

  IR	                 	                 	                  	SN12b         	189	1169	A	  4	H	CC	  10.00	     37.3500	forams   	Planktonic Foraminifers                      	A              	VG                	+                        	+                      	+                    	+                	                             	+                          	                    	+                      	                           	                    	                       	                       	                           	+                      	+                                      	+                        	+                   	+                    	                    	+                  	+                   	+                            	                          	                      	                         	               	       

  IR	                 	                 	                  	SN12b         	189	1169	A	  5	H	CC	  11.00	     46.7900	forams   	Planktonic Foraminifers                      	A              	VG                	+                        	+                      	+                    	+                	                             	+                          	                    	+                      	                           	                    	                       	                       	                           	+                      	+                                      	                         	                    	                     	                    	                   	                    	                             	                          	                      	                         	               	       

  IR	                 	                 	                  	SN12b         	189	1169	A	  6	H	CC	  14.00	     56.1100	forams   	Planktonic Foraminifers                      	A              	VG                	+                        	+                      	+                    	+                	                             	+                          	                    	+                      	                           	                    	                       	                       	                           	+                      	+                                      	+                        	+                   	                     	                    	                   	                    	                             	                          	                      	                         	               	       

  IR	                 	                 	                  	SN12b         	189	1169	A	  7	H	CC	  14.00	     66.0000	forams   	Planktonic Foraminifers                      	A              	VG                	+                        	+                      	+                    	+                	                             	+                          	+                   	+                      	                           	                    	                       	                       	                           	+                      	+                                      	+                        	+                   	+                    	+                   	                   	                    	                             	                          	                      	                         	               	Gr inflata & Gr hirsuta contaminants from above

