Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sliterella lobulata	Pleurostomella spp.	Osangularia plummerae	Oridorsalis umbonatus	Nuttallides truempyi	Lenticulina spp.	Gyroidinoides globosa	Gaudryina pyramidata	Dentalina spp.	Buliminella grata	Aragonia velascoensis	Osangularia mexicana	Oridorsalis tener	Marssonella trochoides	Gyroidinoides spp.	Aragonia ouezzanensis	Tritaxa spp.	Pyramidina szajnochae	Pullenia cretacea	Stilostomella subspinosa	Stilostomella spp.	Spiroplectammina jarvisi	Quadratobuliminella pyramidalis	Conorbinoides hillebrandti	Bulimina trinitatensis	Osangularia velascoensis	Nodosaria spp.	Neoflabellina jarvisi	Bulimina semicostata	Bathysiphon spp.	Orthomorphina spp.	Clinapertina complanata	Bulimina jarvisi	Vulvulina spinosa	Stilostomella abyssorum	Rectuvigerina spp.	Plectofrondicularia paucicostata	Linaresia grimsdalei	Karreriella bradyi	Globocassidulina subglobosa	Cibicidoides praemundulus	Bulimina velascoensis	Bulimina impendens	Bulimina elongata	Stilostomella gracillima	Nonion spp.	Cibicidoides subhaidingeri	Cibicidoides spp.	Cibicidoides incrassatus	Bolivina huneri	Gyroidinoides girardanus	Cibicidoides eocaenus	Cibicidoides dohmi	Gyroidinoides neosoldanii	Uvigerina hispida	Pyrgo murrhina	Pyrgo lucernula	Martinottiella sp.	Eggerella bradyi	Cibicidoides wuellerstorfi	Cibicidoides mundulus	Chrysalogonium longicostatum	Anomalinoides globulosus	Uvigerina senticosa	Pullenia bulloides	Parafissurina spp.	Uvigerina peregrina	Cibicidoides robertsonianus	Comment



  IR	                 	                 	                  	              	198	1211	B	  1	H	CC	  20.00	      6.1000	benthics 	Benthic Foraminifers                         	F              	M                 	                   	                   	                     	                     	                    	                	                     	                    	              	                 	                     	                    	F                	                      	                  	                     	            	                     	                 	                        	                  	                        	                               	                          	                      	                        	              	                     	                    	                	                  	                       	                	                 	                       	                  	                                	                    	                  	                           	                         	                     	                  	                 	                        	           	                          	R                	                        	               	                        	                     	                  	                         	T                	R             	R              	R                 	                	F                         	T                    	                            	                        	+                  	R                 	                  	R                  	+                          	       

  IR	                 	                 	                  	              	198	1211	B	  3	H	CC	  17.00	     25.4800	benthics 	Benthic Foraminifers                         	F              	VG                	                   	                   	                     	                     	                    	                	                     	                    	R             	                 	                     	                    	F                	                      	                  	                     	            	                     	                 	                        	                  	                        	                               	                          	                      	                        	              	                     	                    	                	                  	                       	                	                 	                       	                  	                                	                    	                  	                           	                         	                     	                  	                 	                        	           	                          	                 	                        	               	T                       	                     	                  	                         	T                	R             	R              	F                 	                	                          	                     	                            	R                       	T                  	R                 	T                 	                   	                           	       

  IR	                 	                 	                  	              	198	1211	B	  5	H	CC	  18.00	     44.4900	benthics 	Benthic Foraminifers                         	C              	G                 	                   	T                  	                     	                     	                    	                	                     	                    	              	                 	                     	                    	R                	                      	                  	                     	            	                     	                 	                        	                  	                        	                               	                          	                      	                        	              	                     	                    	                	                  	                       	                	                 	                       	                  	                                	                    	                  	                           	                         	                     	                  	                 	                        	           	R                         	                 	                        	               	R                       	                     	                  	                         	T                	R             	R              	T                 	T               	R                         	R                    	T                           	R                       	                   	                  	                  	                   	                           	       

  IR	                 	                 	                  	              	198	1211	B	  6	H	CC	  15.00	     53.8800	benthics 	Benthic Foraminifers                         	F              	M                 	                   	                   	                     	+                    	+                   	T               	                     	                    	              	T                	                     	                    	                 	                      	                  	                     	            	                     	                 	A                       	                  	                        	                               	                          	                      	                        	              	                     	                    	                	                  	                       	                	F                	                       	                  	                                	                    	T                 	R                          	                         	                     	T                 	                 	R                       	           	R                         	+                	R                       	R              	T                       	                     	                  	T                        	                 	              	               	                  	                	                          	                     	                            	                        	                   	                  	                  	                   	                           	       
