Brizalina,1017,Brizalina,genus,,,
Candeina,1053,Candeina,genus,,,
Cibicides,1107,Cibicides,genus,112190,Cibicidinae,subfamily
Dentoglobigerina,1264,Dentoglobigerina,genus,,,
Euuvigerina,1408,Euuvigerina,genus,288974,Foraminifera,phylum
Nodosaria,1952,Nodosaria,genus,82197,Nodosariidae,family
genus name,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,parent_taxon_id,parent_taxon_name,parent_taxon_rank
Globigerina,,,,,,
Globigerinella,,,,,,
Globigerinita,,,,,,
Globigerinoides,,,,,,
Globoconella,,,,,,
Globorotalia,,,,,,
Globoturborotalita,,,,,,
Neogloboquadrina,,,,,,
Orbulina,,,,,,
Pulleniatina,,,,,,
Sphaeroidinellopsis,,,,,,
Turborotalita,,,,,,
Abyssamina,,,,,,
Acervulina,,,,,,
Adelosina,,,,,,
Alabamina,,,,,,
Alabaminella,,,,,,
Allomorphina,,,,,,
Ammobaculites,,,,,,
Ammodiscus,,,,,,
Ammoelphidiella,,,,,,
Ammoglobigerina,,,,,,
Ammonia,,,,,,
Ammosphaeroidina,,,,,,
Amphicoryna,,,,,,
Amphisorus,,,,,,
Amphistegina,,,,,,
Angulogerina,,,,,,
Annectina,,,,,,
Anomalina,,,,,,
Anomalinoides,,,,,,
Antarcticella,,,,,,
Aragonia,,,,,,
Arenobulimina,,,,,,
Arenodosaria,,,,,,
Articulina,,,,,,
Aschemonella,,,,,,
Astacolus,,,,,,
Asterigerina,,,,,,
Asterigerinata,,,,,,
Asterorotalia,,,,,,
Astrononion,,,,,,
Awhea,,,,,,
Baculogypsina,,,,,,
Bathysiphon,,,,,,
Berthelina,,,,,,
Bigenerina,,,,,,
Biloculina,,,,,,
Biloculinella,,,,,,
Bolivina,,,,,,
Bolivinella,,,,,,
Bolivinellina,,,,,,
Bolivinita,,,,,,
Bolivinopsis,,,,,,
Borelis,,,,,,
Buccella,,,,,,
Bulbobaculites,,,,,,
Bulimina,,,,,,
Buliminella,,,,,,
Calcarina,,,,,,
Cancris,,,,,,
Cassidulina,,,,,,
Cassidulinoides,,,,,,
Caudammina,,,,,,
Ceratobulimina,,,,,,
Ceratocancris,,,,,,
Cerebrina,,,,,,
Charltonina,,,,,,
Chilostomella,,,,,,
