pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,genus_taxon_name,genus_taxon_id,family_taxon_name,family_taxon_id,order_taxon_name,order_taxon_id,class_taxon_name,class_taxon_id,phylum_taxon_name,phylum_taxon_id,kingdom_taxon_name,kingdom_taxon_id,version,pbdb_name_count
141161,Acritarcha,unranked clade,,,,,,,,,,,,,old,2
141161,Acritarcha,unranked clade,Acritarcha,141161,,,,,,,,,,,updated,2
54588,Alnus,genus,Alnus,54588,Betulaceae,54589,Fagales,54902,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
54588,Alnus,genus,Alnus,54588,Betulaceae,54589,Fagales,54902,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
434782,Anthemis,genus,Anthemis,434782,Asteraceae,183083,Asterales,54943,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
434782,Anthemis,genus,Anthemis,434782,Asteraceae,183083,Asterales,54943,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
183090,Apiaceae,family,,,Apiaceae,183090,Apiales,54935,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
183090,Apiaceae,family,Apiaceae,183090,,,Apiales,54935,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
434783,Artemisia,genus,Artemisia,434783,Asteraceae,183083,Asterales,54943,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
434783,Artemisia,genus,Artemisia,434783,Asteraceae,183083,Asterales,54943,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
434781,Asphodelus,genus,Asphodelus,434781,Asphodelaceae,55835,Asparagales,54968,,,Angiospermae,54885,Plantae,54311,old,2
434781,Asphodelus,genus,Asphodelus,434781,Asphodelaceae,55835,Asparagales,54968,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
434784,Aster,genus,Aster,434784,Asteraceae,183083,Asterales,54943,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
434784,Aster,genus,Aster,434784,Asteraceae,183083,Asterales,54943,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
147614,Astrorhizidae,family,,,Astrorhizidae,147614,,,,,Foraminifera,288974,Rhizaria,212476,old,2
147614,Astrorhizidae,family,Astrorhizidae,147614,,,,,,,Foraminifera,288974,Rhizaria,212476,updated,2
69587,Bacillariophyceae,class,,,,,,,Bacillariophyceae,69587,Ochrophyta,432613,,,old,2
69587,Bacillariophyceae,class,Bacillariophyceae,69587,,,,,,,Ochrophyta,432613,,,updated,2
55294,Betula,genus,Betula,55294,Betulaceae,54589,Fagales,54902,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
55294,Betula,genus,Betula,55294,Betulaceae,54589,Fagales,54902,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
16005,Bivalvia,class,,,,,,,Bivalvia,16005,Mollusca,7805,Animalia,325038,old,2
16005,Bivalvia,class,Bivalvia,16005,,,,,,,Mollusca,7805,Animalia,325038,updated,2
319900,Botrychium,genus,Botrychium,319900,Ophioglossaceae,54779,,,Pteridopsida,263811,Pteridophyta,54828,Plantae,54311,old,2
319900,Botrychium,genus,Botrychium,319900,Ophioglossaceae,54779,Ophioglossales,435002,Pteridopsida,263811,Pteridophyta,54828,Plantae,54311,updated,2
55908,Brassicaceae,family,,,Brassicaceae,55908,Brassicales,183034,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
55908,Brassicaceae,family,Brassicaceae,55908,,,Brassicales,183034,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
24773,Bryozoa,phylum,,,,,,,,,Bryozoa,24773,Animalia,325038,old,2
24773,Bryozoa,phylum,Bryozoa,24773,,,,,,,,,Animalia,325038,updated,2
434787,Calluna,genus,Calluna,434787,Ericaceae,55506,Ericales,54919,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
434787,Calluna,genus,Calluna,434787,Ericaceae,55506,Ericales,54919,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
55066,Carpinus,genus,Carpinus,55066,Betulaceae,54589,Fagales,54902,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
55066,Carpinus,genus,Carpinus,55066,Betulaceae,54589,Fagales,54902,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
53554,Caryophyllaceae,family,,,Caryophyllaceae,53554,Caryophyllales,54896,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
53554,Caryophyllaceae,family,Caryophyllaceae,53554,,,Caryophyllales,54896,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
434996,Cedrus,genus,Cedrus,434996,Pinaceae,54794,Pinales,82140,Pinopsida,82141,Pinophyta,82139,Plantae,54311,old,2
