taxon_group,verbatim_name,name,genus modifier,genus name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor
Ebridians and Actinicidians,Actiniscus elongatus (q),? Actiniscus elongatus,?,Actiniscus,,elongatus,,,
Ebridians and Actinicidians,Actiniscus laciniatus (q),? Actiniscus laciniatus,?,Actiniscus,,laciniatus,,,
Ebridians and Actinicidians,Actiniscus pentasterias,,,Actiniscus,,pentasterias,,,
Ebridians and Actinicidians,Actiniscus sp.,,,Actiniscus,,sp.,,,
Ebridians and Actinicidians,Actiniscus squamosus,,,Actiniscus,,squamosus,,,
Ebridians and Actinicidians,Actiniscus tetrasterias,,,Actiniscus,,tetrasterias,,,
Ebridians and Actinicidians,Ammodochium ampulla,,,Ammodochium,,ampulla,,,
Ebridians and Actinicidians,Ammodochium rectangulare,,,Ammodochium,,rectangulare,,,
Ebridians and Actinicidians,Ammodochium serotinum,,,Ammodochium,,serotinum,,,
Ebridians and Actinicidians,Ammodochium sp.(q),? Ammodochium sp.,?,Ammodochium,,sp.,,,
Ebridians and Actinicidians,Ammodochium speciosum,,,Ammodochium,,speciosum,,,
Ebridians and Actinicidians,Cintactiniscus sp. (q),? Cintactiniscus sp.,?,Cintactiniscus,,sp.,,,
Ebridians and Actinicidians,Craniopsis octo,,,Craniopsis,,octo,,,
Ebridians and Actinicidians,Craniopsis sp.,,,Craniopsis,,sp.,,,
Ebridians and Actinicidians,Ditripodium latum,,,Ditripodium,,latum,,,
Ebridians and Actinicidians,Ebria mediterranensis,,,Ebria,,mediterranensis,,,
Ebridians and Actinicidians,Ebriopsis antiqua,,,Ebriopsis,,antiqua,,,
Ebridians and Actinicidians,Ebriopsis antiqua (with lorica),,,Ebriopsis,,antiqua,,,with lorica
Ebridians and Actinicidians,Ebriopsis antiqua (without spines),,,Ebriopsis,,antiqua,,,without spines
Ebridians and Actinicidians,Ebriopsis antiqua antiqua,,,Ebriopsis,,antiqua,,antiqua,
Ebridians and Actinicidians,Ebriopsis antiqua cornuta,,,Ebriopsis,,antiqua,,cornuta,
Ebridians and Actinicidians,Ebriopsis aplanata (q),? Ebriopsis aplanata,?,Ebriopsis,,aplanata,,,
Ebridians and Actinicidians,Ebriopsis cornuta,,,Ebriopsis,,cornuta,,,
Ebridians and Actinicidians,Ebriopsis crenulata,,,Ebriopsis,,crenulata,,,
Ebridians and Actinicidians,Foliatiniscus folis (q),? Foliatiniscus folis,?,Foliatiniscus,,folis,,,
Ebridians and Actinicidians,Foliatiniscus mirabilis,,,Foliatiniscus,,mirabilis,,,
Ebridians and Actinicidians,Haphlohermesium simplex,,,Haphlohermesium,,simplex,,,
Ebridians and Actinicidians,Haplohermesinum sp. (q),? Haplohermesinum sp.,?,Haplohermesinum,,sp.,,,
Ebridians and Actinicidians,Hermesinella transversa,,,Hermesinella,,transversa,,,
Ebridians and Actinicidians,Hermesinopsis caulleryi,,,Hermesinopsis,,caulleryi,,,
Ebridians and Actinicidians,Hermesium adriaticum,,,Hermesium,,adriaticum,,,
Ebridians and Actinicidians,Hermesium geminum,,,Hermesium,,geminum,,,
Ebridians and Actinicidians,Hermesium schulzi,,,Hermesium,,schulzi,,,
Ebridians and Actinicidians,Hermesium sp.,,,Hermesium,,sp.,,,
Ebridians and Actinicidians,Hermesonella conata,,,Hermesonella,,conata,,,
Ebridians and Actinicidians,Hermesonella fenestrata,,,Hermesonella,,fenestrata,,,
Ebridians and Actinicidians,Hermesonella fenestrata (q),? Hermesonella fenestrata,?,Hermesonella,,fenestrata,,,
Ebridians and Actinicidians,Hermisium obliquum,,,Hermisium,,obliquum,,,
Ebridians and Actinicidians,Micromarsupium anceps,,,Micromarsupium,,anceps,,,
Ebridians and Actinicidians,Micromarsupium sp. (q),? Micromarsupium sp.,?,Micromarsupium,,sp.,,,
Ebridians and Actinicidians,Parathranium californicum,,,Parathranium,,californicum,,,
Ebridians and Actinicidians,Parathranium clathratum,,,Parathranium,,clathratum,,,
Ebridians and Actinicidians,Parathranium clathratum (q),? Parathranium clathratum,?,Parathranium,,clathratum,,,
Ebridians and Actinicidians,Parathranium intermedium,,,Parathranium,,intermedium,,,
Ebridians and Actinicidians,Parathranium tenuipes,,,Parathranium,,tenuipes,,,
Ebridians and Actinicidians,Parebriopsis fallax,,,Parebriopsis,,fallax,,,
Ebridians and Actinicidians,Podamphoropsis joidesi,,,Podamphoropsis,,joidesi,,,
Ebridians and Actinicidians,Pseudammodochium sphericum,,,Pseudammodochium,,sphericum,,,
Ebridians and Actinicidians,Pseudammopochium dictyoides,,,Pseudammopochium,,dictyoides,,,
Ebridians and Actinicidians,Thranium crassipes,,,Thranium,,crassipes,,,
Pollen and Spores,Abies sp.,,,Abies,,sp.,,,
Pollen and Spores,Abutilon sp. (q),? Abutilon sp.,?,Abutilon,,sp.,,,
Pollen and Spores,Acacia sp.,,,Acacia,,sp.,,,
Pollen and Spores,Acaciapollenites myriosporites,,,Acaciapollenites,,myriosporites,,,
Pollen and Spores,Acalypha sp,,,Acalypha,,sp,,,
Pollen and Spores,Acer sp.,,,Acer,,sp.,,,
Pollen and Spores,Aequitriradites sp.,,,Aequitriradites,,sp.,,,
