Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Diartus petterssoni,Cyrtocapsella japonica,Lithopera neotera,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Calocycletta caepa,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris dentata,Dorcadospyris forcipata,Liriospyris stauropora,Dorcadospyris alata,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Didymocyrtis laticonus,Carpocanopsis cristata,Lithopera renzae,Dorcadospyris scambos n. sp.,Dorcadospyris ateuchus,Stichocorys wolffii,Dorcadospyris simplex s.s.,Dorcadospyris praeforcipata,Calocycletta serrata,Stichocorys delmontensis,Lophocyrtis pegetrum,Theocyrtis annosa,Calocycletta virginis,Lophocyrtis leptetrum,Eucyrtidium mitodes n. sp.,Cyrtocapsella cornuta,Cyrtocapsella tetrapera,Artophormis gracilis,Anthocyrtidium  marieae,Didymocyrtis bassanii,Dorcadospyris cyclacantha n. sp.,Dorcadospyris riedeli,Dorcadospyris circulus,Dorcadospyris papilio,Liriospyris longicornuta,Acrocubus octopylus ,Eucyrtidium plesiodiaphanes,Theocyrtis setanios,Theocorys puriri ,Lychnocanoma apodora,Comments,File data
320-U1333A-1H-2-W,320,U1333,A,1,1-2,H,2,W,,104,106,2.54,2.56,RN2,C,M,,,,,R,,,,,,R,,,R,,R,,,,,R,F,R,,,,R,,,R,,R,R,,,R,R,,F,R,,,R,,,,,,,,,,,,
320-U1333A-1H-4-W,320,U1333,A,1,1-4,H,4,W,,104,106,5.54,5.56,RN2,C,M,,,,,F,,,,,,R,,,vR,,,,,,,R,F,R,,,,R,,,,R,R,,,,vR,R,,F,R,,,R,,,,,,,,,,,,
320-U1333A-1H-CC-PAL-RADS,320,U1333,A,1,1-CC,H,CC,PAL,RADS,0,0,9.92,9.92,RN1,C,M,,,,,F,,,,,,R,,,,,,,,,,R,C,R,,,,R,R,,,R,,,R,R,,R,,C,F,,,R,,,,,,,,,,,,
320-U1333A-2H-2-W 104/106,320,U1333,A,2,2-2,H,2,W,104/106,104,106,13.08,13.1,RN1,C,M,1,,,,C,,,,,,R,,,,,,,,,,R,F,R,,,,R,R,,,R,,,R,R,,R,,C,R,,,,,,,,,,,,,,,
320-U1333A-2H-4-W 104/106,320,U1333,A,2,2-4,H,4,W,104/106,104,106,16.08,16.1,RN1,C,M,,,,,C,,,,,,R,,,,,,,,,,R,F,R,,,,R,R,,,R,,,R,R,,,R,C,R,,,R,,,,,,,,,,,,
320-U1333A-2H-CC-PAL-RADS,320,U1333,A,2,2-CC,H,CC,PAL,RADS,0,0,19.57,19.57,RP22,A,M,,,,,F,,,,,,R,,,,,R,,,,,R,F,R,,,,R,R,,,R,,,R,R,,,R,,,R,R,,,,,,,,,,,,,
320-U1333A-3H-2-W,320,U1333,A,3,3-2,H,2,W,,105,107,21.55,21.57,RP22,C,P,,,,,F,,,,,,R,,,,,,,,,,,R,R,,,,R,R,,,R,,,R,R,,,R,,,R,,,R,,R,R,,,,,,,,
320-U1333A-3H-4-W,320,U1333,A,3,3-4,H,4,W,,105,107,24.55,24.57,RP22,C,M,,,,,F,,,,,,,,,,,,,,,,,R,R,,,,R,R,,,R,,,R,R,,,R,,,R,,,,,,R,R,,,,,,,
320-U1333A-3H-CC-PAL-RADS,320,U1333,A,3,3-CC,H,CC,PAL,RADS,0,0,28.87,28.87,RP22,A,M,,,,,F,,R,,,,,,,,,R,,,,,,R,R,,,,r,R,,,R,,,R,R,,,R,,,R,,,,,,R,,,,,,R,,
320-U1333A-4H-3-W,320,U1333,A,4,4-3,H,3,W,,106,108,32.56,32.58,RP22,A,M,,,,,F,,R,,,,,,,,,R,,,,,,R,R,,,,r,R,,,R,,,R,R,,,R,,,R,,,,,,R,R,,,,R,R,,
320-U1333A-4H-5-W,320,U1333,A,4,4-5,H,5,W,,106,108,35.56,35.58,RP21,A,M,,,,,R,,R,,,,,,,,,R,,,,,,,R,,,,,R,,,R,,,R,R,,,R,,,R,,,,,,R,,,,,,R,early bizzare form of D. papilio; late L. angust.,
320-U1333A-4H-CC-PAL-RADS,320,U1333,A,4,4-CC,H,CC,PAL,RADS,0,0,38.6,38.6,RP21,A,G,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,R,,,R,R,,,R,,,R,,,,R,R,,,,,,,,C PARVA,
320-U1333A-5H-2-W,320,U1333,A,5,5-2,H,2,W,,105,107,40.55,40.57,RP21,A,G,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,R,,,R,R,,,R,,,R,,,,R,R,,,,,,,,LATE L. angust,
320-U1333A-5H-4-W,320,U1333,A,5,5-4,H,4,W,,105,107,43.55,43.57,RP21,A,M,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,R,R,,,R,,,R,,,,R,R,,,,,,R,,,
320-U1333A-5H-CC-PAL-RADS,320,U1333,A,5,5-CC,H,CC,PAL,RADS,0,0,47.65,47.65,RP21,A,M,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,,R,,,R,,,,,R,,,,R,,R,,C PARVA,
