Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum group,Datum group code,Datum type,Datum region,Datum name generic,Datum author year,Datum validation comment,Datum status,Datum comment,Datum age minimum [Ma],Datum age average [Ma],Datum age maximum [Ma],Datum occurrence,Zone name (short),Zone name,Zone author (year),Zone group,Type (upper zone),Genus/species (upper zone),Type (lower zone),Genus/species lower zone),Zone status,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of benthic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Agglutinated spp. (indeterminate),Amphicoryna scalaris,Anomalinoides globulosus,Bolivina pusilla,Bolivina robusta,Bolivinita quadrilatera,Bulimina aculeata,Bulimina barbata,Bulimina sp.,Bulimina striata gr.,Cassidulina carinata,Cassidulina sp.,Chrysalogonium tenuicostatum,Chilostomella oolina,Cibicides bradyi,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides globulosus,Cibicidoides mundulus,Cibicidoides renzi,Cibicidoides sp.,Cyclammina trullissata,Dentalina communis,Eggerella bradyi,Ehrenbergina pacifica,Epistominella exigua,Favocassidulina favus,Fissurina formosa,Fissurina marginata,Fissurina sp.,Gavelinopsis lobatulus,Globobulimina affinis,Globocassidulina subglobosa,Globogyroidina boninensis,Gyroidinoides neosoldanii,Hoeglundina elegans,Karreriella bradyi,Laticarinina pauperata,Lagena sp.,Lenticulina rotulata,Lenticulina sp. ,Martinottiella communis,Martinottiella hosoyaensis,Melonis barleeanus,Melonis pompilioides,Nonionella sp.,Nodosaria longiscata,Nuttallides umbonifera,Oridorsalis umbonatus,Oolina globosa,Parafissurina sp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella brevis,Pleurostomella sp. A,Pseudonodosaria sp.,Pullenia bulloides,Pullenia quinqueloba,Pullenia simplex,Pullenia sp.,Pyrgo lucernula,Pyrgo murrhina,Pyrgo sp.,Quinqueloculina lamarckiana,Quinqueloculina sp.,Recurvoides sp.,Rhabdammina? sp.,"Rhizammina sp. (Kaiho, 1992)",Rhizammina sp.,Sigmoilopsis schlumbergeri,Sphaeroidina bulloides,Stilostomella abyssorum,Stilostomella gracillima,Stilostomella lepidula,Stilostomella sp.,Tosaia hanzawai,Unidentified benthic forams,Uvigerina graciliformis,Uvigerina hispida,Uvigerina hispidocostata,Uvigerina senticosa,Uvigerina sp.,Shore File Links,File Data
350-U1437D-2R-CC-PAL-FORAM,350,U1437,D,2,2-CC,R,CC,PAL,FORAM,0,5,431.95,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very few specimens (7).,,,,,,,,,,A,,,,,,A,,,,,,,,A,,,,,,D,,,A,,,,,,,,,,,A,,,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-3R-CC-PAL-FORAM,350,U1437,D,3,3-CC,R,CC,PAL,FORAM,0,5,443.45,443.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 specimens in 1/2 split.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,A,,,,,,,,,
350-U1437D-4R-CC-PAL-FORAM,350,U1437,D,4,4-CC,R,CC,PAL,FORAM,0,5,452.72,452.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 specimens visible in 1/2 split.,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,A,,,,,,,,A,,,,,
350-U1437D-5R-CC-PAL-FORAM-FORAM,350,U1437,D,5,5-CC,R,CC,PAL,FORAM-FORAM,0,5,462.04,462.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 specimens in 1/8 split,,A,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-6R-CC-PAL-FORAM,350,U1437,D,6,6-CC,R,CC,PAL,FORAM,0,5,471.1,471.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 specimens only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
350-U1437D-7R-CC-PAL-FORAM,350,U1437,D,7,7-CC,R,CC,PAL,FORAM,0,5,483.53,483.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,only 4 specimens in 1/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-8R-CC-PAL-FORAM,350,U1437,D,8,8-CC,R,CC,PAL,FORAM,0,5,490.63,490.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 specimens in 1/8,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,F,,,,,,,,,,,F,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,
350-U1437D-9R-CC-PAL-FORAM,350,U1437,D,9,9-CC,R,CC,PAL,FORAM,0,5,500.96,501.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 specimens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,A,,,,,,,,F,,,,,,,,,,,,,,,,,,F,,,,F,,,,,
350-U1437D-10R-CC-PAL-FORAM,350,U1437,D,10,10-CC,R,CC,PAL,FORAM,0,3,513.84,513.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 specimen in 1/64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-11R-CC-PAL-FORAM,350,U1437,D,11,11-CC,R,CC,PAL,FORAM,0,5,523.13,523.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 specimen Pyrgo murrhina.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-12R-CC-PAL-FORAM,350,U1437,D,12,12-CC,R,CC,PAL,FORAM,0,5,533.08,533.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 benthic in 1/4,,,,,,,A,,,,,,,,,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,D,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,A,,,,
350-U1437D-13R-CC-PAL-FORAM,350,U1437,D,13,13-CC,R,CC,PAL,FORAM,0,5,542.75,542.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 specimens in 1/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-14R-CC-PAL-FORAM,350,U1437,D,14,14-CC,R,CC,PAL,FORAM,0,5,552.07,552.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 specimens in whole sample,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,,,,,,,,,,,,,,,P,,,,,,,,,
350-U1437D-15R-CC-PAL-FORAM,350,U1437,D,15,15-CC,R,CC,PAL,FORAM,0,5,563.21,563.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,4 specimens only. Whole sample examined.,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,
350-U1437D-16R-CC-PAL-FORAM,350,U1437,D,16,16-CC,R,CC,PAL,FORAM,0,5,571.46,571.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 specimens.,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,P,,,,,P,P,,,,,,,P,,,,,,,P,,,,,,P,,,,,P,,,,P,P,P,,,
