"Core, section, interval (cm)",Preservation,Abundance (%),Zone/Subzone,Catapsydrax dissimillis,Catapsydrax parvulus,Catapsydrax unicavus,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina altispira globosa,Dentoglobigerina baroemoensis,Dentoglobigerina larmeui,Dentoglobigerina tripartita s.s.,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina ciperoensis,Globigerina falconensis,Globigerina praebulloides,Globigerina winkleri,Globigerinita glutinata,Globigerinoides altiaperturus,Globigerinoides bisphericus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides quadrilobatus,Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina sellii,Globoquadrina venezuelana,Globorotalia (Fohsella) fohsi,Globorotalia (Forsella) fohsi lobata,Globorotalia (Fohsella) fohsi robusta,Globorotalia (Fohsella) peripheroacuta,Globorotalia (Fohsella) peripheroronda,Globorotalia (Fohsella) “praefohsi”,Globorotalia (Men ardella) menardii,Globorotalia (Menardella) praemenardii,Globorotalia praescitula,Globorotaloides suteri,Globoturborotalita druryi,Orbulina suturalis,Orbulina universa,Paragloborotalia bella,Paragloborotalia continuosa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia pseudocontinuosa,Paraglobrotalia pseudokugleri,Paragloborotalia semivera,Paragloborotalia siakensis,Praeobulina glomerosa,Praeorbulina curva,Praeorbulina sicana,Sphaeroidinellopsis seminulina,Sphaeroidnellopsis disjuncta
320-U1336B-1H-CC,M,42,N12,,,,,D,F,A,,,,,,R,,,,,,,,,,,,,F,,A,P,P,P,,,,,,P,,,R,,,P,,P,,,,,,,,,,
320-U1336B-2H-CC,M,87,N12,,,,,D,,A,,,,R,,F,,,,,,,,P,P,R,,,R,,R,P,P,,,,R,P,,R,,,P,P,,P,,A,,,,,P,,,,P,
320-U1336B-3H-CC,M,99,N10,,,,R,D,,A,,,,,,,,,P,,,R,,P,P,P,R,,P,,F,,,,R,,,P,P,P,,,R,R,,,,R,,,,,R,,,,R,
320-U1336B-4H-CC,M,87,M5b,,,,,D,,F,,,,,,,P,,,,,R,,R,,F,R,,R,,D,,,,,P,,,P,P,,,,,,P,,R,,,,,,,,,,
320-U1336B-5H-CC,M,92,M5b,,,R,,D,R,A,,,,,,,R,,,,,R,,R,,R,,,R,,A,,,,,,,,,,P,,,,,,,F,,,,,,P,R,R,,
320-U1336B-6H-CC,P,24,M4,,,,,D,R,R,A,,,,,,,,,,P,,R,,,R,R,,R,,F,,,,,,,,,,,,,,,,,F,,,,,R,,P,R,,
320-U1336B-7H-CC,M,40,M4,,,R,,D,R,R,A,F,,,,,,,,,,,,,,P,,,F,,A,,,,,,,,,,,,,,,,,P,,,,,,,,,,R
320-U1336B-8H-CC,M,84,M2-M3,R,,,,D,A,R,A,R,R,,,,,,,,,,,,,,,,F,,A,,,,,,,,,,P,,,,P,,,F,,,,,,,,,,
320-U1336B-9H-CC,M,96,M2-M3,R,,R,,R,D,R,A,A,R,,,,R,,,,,,R,,,,,P,,P,A,,,,,,,,,,,,,,P,P,,F,,,,P,,,,,,
320-U1336B-10H-CC,M,89,M2-M3,R,,,,A,R,,A,A,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,P,,,F,,,,P,,,,,,
320-U1336B-11H-CC,M,95,M2-M3,F,R,,,F,,,D,A,R,,,,,,,P,,,P,,,,,P,,P,A,,,,,,,,,,,,,,P,,,P,,,,P,F,,,,,
320-U1336B-12H-CC,P,95,M1b,R,,F,,,,,A,R,A,,,,R,,,,,,,,,,R,,,,A,,,,,,,,,,,,,,R,,P,A,,,,P,F,,,,,
320-U1336B-13H-CC,P,78,M1b,R,,R,,A,,R,A,F,F,,,,,,,,,,,,,,R,P,R,P,A,,,,,,,,,,,,,,R,,P,F,,,,R,,,,,,
320-U1336B-14H-CC,P,80,M1b,,,A,,,,,A,A,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,,,,,,R,P,R,,,P,R,R,,,,,
320-U1336B-15H-CC,P,43,M1a,R,,D,,,P,,R,F,,,,,,,,,,,,,,,,,,R,D,,,,,,,,,,,,,,,R,P,P,,P,P,R,P,,,,,
"320-U1336B-16H-1,  52–54",P,32,M1a,,,F,,,,,R,A,,,F,,,,,,,,,,,,,R,,,A,,,,,,,,,,,,,,,,P,F,,P,P,P,,,,,,
320-U1336B-16H-CC,P,24,M1b?,,,A,,,P,R,A,F,,,,,,,,,,,,,,,R,P,P,R,D,,,—,,,,,—,,,P,,,,,-,,,F,P,F,P,,,,,
