Expedition,Site,Hole,"Core,    section",Top (m CSF-A),Bottom (m CSF-A),Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus ochotensis,Actinocyclus oculatus,Actinoptychus senarius,Arachnoidiscus spp.,Asteromphalus brookei,Asteromphalus hyalinus,Asteromphalus robustus,Azpeitia nodulifera,Bacterosira fragilis,Chaetoceros spp.,Chaetoceros spp. resting spore,Chaetoceros spp. vegetative spore,Cocconeis californica cf. kerguelensis,Cocconeis costata,Cocconeis scutellum,Cocconeis sp. 1,Cocconeis vitrea,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Delphineis cf. angustata,Delphineis kippae,Delphineis surirella,Frgilariopsis cylindrus,Frgilariopsis oceanica,Grammatophora spp.,Neodenticula kamtschatica,Neodenticula koizumii,Neodenticula seminae,Nitzschia spp.,Odontella aurita,Paralia sol,Paralia sulcata,Pinnularia spp.,Porosira glacialis,Proboscia barboi,Proboscia curvirostris,Proboscia cf. subarctica,Pyxidicula horridus,Pyxidicula pustulatus,Pyxidicula sp. 2,Pyxidicula sp. 3,Pyxidicula sp. 6,Pyxidicula turris,Pyxidicula zabelinae,Pyxilla americana,Rhabdonema spp.,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. hiemalis,Rhizosolenia hebetata f. semispina,Rhizosolenia styliformis,Stellarima microtrias,Synedra spp.,Thalassionema bacillaris,Thalassionema nitzschioides,Thalassionema robusta,Thalassiosira spp.,Thalassiosira antiqua,Thalassiosira antarctica spore,Thalassiosira cf. leptopus,Thalassiosira decipiens,Thalassiosira eccentrica,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira jouseae,Thalassiosira lacustris,Thalassiosira latimarginata sl.,Thalassiosira lineata,Thalassiosira marujamica,Thalassiosira nordenskioeldii,Thalassiosira oestrupii,Thalassiosira poroseriata,Thalassiothrix longissima,
323,U1341,B,1H-CC,8.62,8.72,C,M,C,,,,,,,,,,R,C,,,R,,,,,,,,,R,R,,R,C,C,,,,,,,,,,,,,,,,,,,F,,F,,,,,F,,,,C,,,,,R,,,C,,,R,R,,R,Neodenticula seminae (NPD 12)
323,U1341,B,2H-CC,18.48,18.58,A,G,F,,,,,R,,,,R,,C,C,,R,,,,,,,,,,,,,,A,,R,,,,R,,,,,,,,,,,,F,R,R,,,,,,,,F,,C,,R,R,,R,,,C,,,R,,,R,Neodenticula seminae (NPD 12)
323,U1341,B,3H-CC,28.08,28.18,A,G,C,,,,,,,,,,,C,F,,,R,,,R,,,,,,,,,,A,R,R,,,,,,,,,,,,,R,,,,C,C,R,R,,,,,,,,F,,R,,,,,,C,,,,,R,C,Neodenticula seminae (NPD 12)
323,U1341,B,4H-CC,37.6,37.7,A,G,F,,,,,R,,,,,,F,,,R,,,,,,,,,,,,,F,F,,F,,,,,,C,,R,,R,,,F,,,,C,C,R,F,,,,,,,,C,,,,,,R,,C,,,R,,R,,Proboscia curvirostris (NPD 11)
323,U1341,B,5H-CC,47.04,47.18,C,G,C,R,,,,,,,,R,,C,C,,,R,,,,,,,,,,,,,C,R,F,,,,,,,,,,,,,R,,,,,F,,,,R,,,,,,C,F,,,,,F,,A,,,,F,F,F,Proboscia curvirostris (NPD 11)
323,U1341,B,6H-CC,56.58,56.68,A,G,F,F,F,,,,,,,R,,F,,,R,,,,R,,,,,,,,R,C,C,,,,,,,,F,,,,,,,,,,R,R,,,,,,,R,,,,C,,,,,,F,,A,,,R,C,,R,Proboscia curvirostris (NPD 11)
323,U1341,B,7H-CC,66.08,66.18,A,G,C,R,F,,,,,,,,C,,,,R,,,,,C,,,,F,,,,,C,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,R,,A,,,,C,,,Proboscia curvirostris (NPD 11)
323,U1341,B,8H-CC,75.65,75.75,A,G,F,F,F,,,,,,,,,,,,R,,,,F,F,,,,,,,,,A,,,,,,R,,R,,,,,,,F,,,,C,,C,,,,,,,,,R,,,,,R,R,,A,,,,C,,F,Proboscia curvirostris (NPD 11)
323,U1341,B,9H-CC,85.14,85.24,A,G,F,,,,,R,,,,,R,C,,,,,,,,,,R,,,,,,F,A,,,,,,R,R,F,,,,,,,,,,,,,C,,,,,,,,,C,,,,,,F,R,C,,,,R,,F,Proboscia curvirostris (NPD 11)
323,U1341,B,10H-CC,94.1,94.2,A,G,C,F,R,,,R,,,,,,R,,,,,,,,F,,,,,,,,,A,,,,,,F,R,C,,,,,,,R,,,,R,,C,,,,,,,,,F,,,,,,F,,C,,,,F,,R,Proboscia curvirostris (NPD 11)
