leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
24,233,,1,1,90.0,150.0,0.00,0.90,1.50,, NANNO CHALK MUD, 5Y5/2-LIGHT OLIVE GRAY,,,,," MANY PL ANKTONIC FORAMS,FEW BRACHIOPODS,OTOLITHS", VOID 0 TO 90 CM, VERY SOFT, 11121210
24,233,,1,2,0.0,150.0,0.00,1.50,3.00,, NANNO CHALK MUD," 5Y5/2-LIGHT OLIVE GRAY,5GY7/2-YE LLOW GREEN",,, YELLOW GREEN LENSES,, MANY PLANKTONIC FORAMS,,, 11121210
24,233,,1,3,0.0,150.0,0.00,3.00,4.50,, NANNO CHALK MUD," 10Y6/2-PALE OLIVE,5GY7/2-GRAYISH YELLOW GREEN"," SANDY NANNO CHALK MUD 140 TO 150 CM, SANDY LENSES OF GRAYISH OLIVE AT 125 CM,SOME PYRITE STRIPES",,,, MANY PLANKTONIC FORAMS,,, 00000000
24,233,,1,4,0.0,150.0,0.00,4.50,6.00,, NANNO CHALK MUD," 5GY7/2-GRAYISH YELLOW GREEN,5Y5/ 2-LIGHT OLIVE GRAY,10Y6/2-PALE OLIVE"," SANDY 0 TO 50 CM,BEDDING 115 CM,COLOR CHANGES AT 50 AND 80 AND 12 0 CM",,,, MANY PLANKTONIC FORAMS,,, 00000000
24,233,,2,1,52.0,150.0,5.00,5.52,6.50,, NANNO CHALK MUD," 10Y4/2-GRAYISH OLIVE,5GY5/2-DUSK Y YELLOW GREEN,10Y6/2-PALE OLIVE,5Y7/2-YELLOWISH GRA Y", COLOR ZONES,,,, MANY PLANKTONIC FORAMS," VOID 0 TO 52 CM,SANDY 80 TO 90 CM",, 00000000
24,233,,2,2,0.0,150.0,5.00,6.50,8.00,, NANNO CHALK MUD," 5Y6/4-DUSKY YELLOW,5Y4/4-MODERAT E OLIVE BROWN,10Y6/2-PALE OLIVE"," PALE OLIVE IS BEDD ED AND MOTTLED BY BURROWS,PYRITE STRIPES",,,,, SANDY,, 00000000
24,233,,2,3,0.0,150.0,5.00,8.00,9.50,, NANNO CHALK MUD," 5Y5/2-LIGHT OLIVE GRAY,10Y6/2-PA LE OLIVE", LENSES AT 40 AND 50 CM,,,,,,, 00000000
24,233,,2,4,0.0,150.0,5.00,9.50,11.00,, NANNO CHALK MUD," 5Y5/2-LIGHT OLIVE GRAY,10Y8/2-PA LE GREENISH YELLOW,5Y4/4-MODERATE OLIVE BROWN"," LENS ES AT 32 AND 60 AND 85 AND 112 CM,SLIGHTLY WELL BEDD ED,COLOR CHANGES",,,,,,, 00000000
24,233,,3,1,100.0,150.0,14.50,15.50,16.00,, NANNO CHALK MUD," 10Y6/2-PALE OLIVE,5Y4/4-MODERATE OLIVE BROWN", LENSES OF COARSER BIOGENOUS MATERIAL,,,,, VOID 0 TO 100 CM,, 00000000
24,233,,3,2,0.0,70.0,14.50,16.00,16.70,, SANDY NANNO CHALK MUD, 5Y5/2-LIGHT OLIVE GRAY, V ERY WEAK COLOR CHANGES WHICH MARK LAVERING,,,,,,, 00000000
24,233,,3,2,70.0,150.0,14.50,16.70,17.50,, NANNO CHALK MUD, 10Y4/2-GRAYISH OLIVE," SLIGHTLY SANDY,FEW BURROWS",,,,,,, 00000000
24,233,,3,3,0.0,150.0,14.50,17.50,19.00,, NANNO CHALK MUD," 10Y6/2-PALE OLIVE,10Y4/2-GRAYISH OLIVE"," 0-100 CM SLIGHTLY MORE SANDY,FEW BURROWS",,,,,,, 00000000
24,233,,3,4,0.0,150.0,14.50,19.00,20.50,, NANNO CHALK MUD," 10Y6/2-PALE OLIVE,5Y5/2-LIGHT OL IVE GRAY,5GY7/2-GRAYISH YELLOW GREEN,10Y4/2-GRAYSIH OLIVE"," BANDED COLOR CHANGES,BURROWS ARE UNEVENLY DI STRIBUTED AND COARSER",,,,,,, 00000000
24,233,,3,5,0.0,150.0,14.50,20.50,22.00,, NANNO CHALK MUD," 10Y6/2-PALE OLIVE,5Y5/2-LIGHT OL IVE GRAY"," SLIGHTLY BANDED,UNEVENLY DISTRIBUTED BURR OWS",,,,,,, 00000000
