leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
43,384,,MIDDLE EOCENE,,50.8,87.7,,NO AGE GIVEN,,NO AGE GIVEN,   43,   49,   46,DSDP INITIAL REPORTS
43,384,,LOWER EOCENE,,87.7,98.6,,NO AGE GIVEN,,NO AGE GIVEN,   49, 53.5,51.25,DSDP INITIAL REPORTS
43,384,,UPPER PALEOCENE,,98.6,99.6,,NO AGE GIVEN,,NO AGE GIVEN, 53.5,   60,56.75,DSDP INITIAL REPORTS
43,384,,LOWER PALEOCENE,,99.6,168.0,,NO AGE GIVEN,,NO AGE GIVEN,   60,   65, 62.5,DSDP INITIAL REPORTS
43,384,,UPPER CRETACEOUS,MAESTRICHTIAN,168.0,173.6,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   65,   70, 67.5,DSDP INITIAL REPORTS
43,384,,MAESTRICHTIAN,,173.6,192.7,,NO AGE GIVEN,,NO AGE GIVEN,   65,   70, 67.5,DSDP INITIAL REPORTS
43,384,,SANTONIAN,ALBIAN,202.2,211.4,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   78,  108,   93,DSDP INITIAL REPORTS
43,384,,LOWER CRETACEOUS,,220.7,239.4,,NO AGE GIVEN,,NO AGE GIVEN,  100,  135,117.5,DSDP INITIAL REPORTS
43,384,,LOWER CRETACEOUS,APTIAN,296.2,305.4,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  100,  110,  105,DSDP INITIAL REPORTS
43,384,,APTIAN,BARREMIAN,324.3,324.8,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  108,  121,114.5,DSDP INITIAL REPORTS
43,384,,LOWER CRETACEOUS,,324.8,330.3,,NO AGE GIVEN,,NO AGE GIVEN,  100,  135,117.5,DSDP INITIAL REPORTS
