leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
54,419,,4,1,124.0,126.0,19.50,20.75, 6,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0118,Dictyocha calida ampliata,02%,  ,1
54,419,,4,1,124.0,126.0,19.50,20.75, 6,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0119,Dictyocha calida calida,28%,  ,1
54,419,,4,1,124.0,126.0,19.50,20.75, 6,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0380,Dictyocha lingii,02%,  ,1
54,419,,4,1,124.0,126.0,19.50,20.75, 6,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0520,Dictyocha perlaevis perlaevis,36%,  ,1
54,419,,4,1,124.0,126.0,19.50,20.75, 6,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0690,Dictyocha stapedia stapedia,22%,  ,1
54,419,,4,1,124.0,126.0,19.50,20.75, 6,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SMESO0280,Mesocena quadrangula,10%,  ,1
54,419,,4,4,132.0,134.0,19.50,25.33, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0012,Dictyocha aculeata aculeata,02%,  ,1
54,419,,4,4,132.0,134.0,19.50,25.33, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0013,Dictyocha aculeata subaculeata,01%,  ,1
54,419,,4,4,132.0,134.0,19.50,25.33, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0680,Dictyocha stapedia aspinosa,03%,  ,1
54,419,,4,4,132.0,134.0,19.50,25.33, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0690,Dictyocha stapedia stapedia,17%,  ,1
54,419,,4,4,132.0,134.0,19.50,25.33, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SMESO0280,Mesocena quadrangula,77%,  ,1
54,419,,4,5,89.0,91.0,19.50,26.40, 6,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0013,Dictyocha aculeata subaculeata,01%,  ,1
54,419,,4,5,89.0,91.0,19.50,26.40, 6,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0118,Dictyocha calida ampliata,02%,  ,1
54,419,,4,5,89.0,91.0,19.50,26.40, 6,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0119,Dictyocha calida calida,03%,  ,1
54,419,,4,5,89.0,91.0,19.50,26.40, 6,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0520,Dictyocha perlaevis perlaevis,01%,  ,1
54,419,,4,5,89.0,91.0,19.50,26.40, 6,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0690,Dictyocha stapedia stapedia,17%,  ,1
54,419,,4,5,89.0,91.0,19.50,26.40, 6,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SMESO0280,Mesocena quadrangula,77%,  ,1
54,419,,5,2,69.0,71.0,29.00,31.20, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0510,Dictyocha perlaevis delicata,33%,  ,1
54,419,,5,2,69.0,71.0,29.00,31.20, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0520,Dictyocha perlaevis perlaevis,04%,  ,1
54,419,,5,2,69.0,71.0,29.00,31.20, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0690,Dictyocha stapedia stapedia,60%,  ,1
54,419,,5,2,69.0,71.0,29.00,31.20, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDIST0580,Distephanus speculum speculum,01%,  ,1
54,419,,5,2,69.0,71.0,29.00,31.20, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SMESO0280,Mesocena quadrangula,02%,  ,1
54,419,,5,2,123.0,127.0,29.00,31.75, 4,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0510,Dictyocha perlaevis delicata,TRACE,  ,1
54,419,,5,2,123.0,127.0,29.00,31.75, 4,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0520,Dictyocha perlaevis perlaevis,TRACE,  ,1
54,419,,5,2,123.0,127.0,29.00,31.75, 4,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0690,Dictyocha stapedia stapedia,TRACE,  ,1
54,419,,5,2,123.0,127.0,29.00,31.75, 4,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SMESO0280,Mesocena quadrangula,TRACE,  ,1
