leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
57,438,A,1,1,40.0,42.0,0.00,0.41,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RBOTS0015,Botryostrobus aquilonaris,RARE,  ,1
57,438,A,1,1,40.0,42.0,0.00,0.41,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RCLAL0020,Clathrocyclas bicornis,RARE,  ,1
57,438,A,1,1,40.0,42.0,0.00,0.41,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RCOLL0010,Collosphaera sp.,RARE,  ,1
57,438,A,1,1,40.0,42.0,0.00,0.41,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RCYCL0020,Cycladophora davisiana cornutoides,RARE,  ,1
57,438,A,1,1,40.0,42.0,0.00,0.41,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RCYCL0025,Cycladophora davisiana davisiana,FEW,  ,1
57,438,A,1,1,40.0,42.0,0.00,0.41,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RLAMP0060,Lamprocyclas maritalis maritalis,RARE,  ,1
57,438,A,1,1,40.0,42.0,0.00,0.41,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RLAMR0020,Lamprocyrtis haysi,RARE,  ,1
57,438,A,1,1,40.0,42.0,0.00,0.41,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,ROMMA0070,Ommatartus tetrathalamus,RARE,  ,1
57,438,A,1,1,40.0,42.0,0.00,0.41,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RPTEC0010,Pterocorys clausus,RARE,  ,1
57,438,A,1,1,40.0,42.0,0.00,0.41,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RPTER0090,Pterocanium trilobum,RARE,  ,1
57,438,A,1,1,40.0,42.0,0.00,0.41,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RSPHA0010,Sphaeropyle langii,RARE,  ,2
57,438,A,1,1,40.0,42.0,0.00,0.41,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RSPIO0030,Spirocyrtis scalaris,RARE,  ,2
57,438,A,1,1,40.0,42.0,0.00,0.41,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RSPIO0035,Spirocyrtis subscalaris,RARE,  ,2
57,438,A,1,1,40.0,42.0,0.00,0.41,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RTHEA0020,Theocalyptra bicornis,RARE,  ,2
57,438,A,1,CC,,,0.00,2.90, 9,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RCYCL0020,Cycladophora davisiana cornutoides,RARE,  ,1
57,438,A,1,CC,,,0.00,2.90, 9,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RCYCL0025,Cycladophora davisiana davisiana,FEW,  ,1
57,438,A,1,CC,,,0.00,2.90, 9,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RLAMR0020,Lamprocyrtis haysi,RARE,  ,1
57,438,A,1,CC,,,0.00,2.90, 9,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RLYCN0051,Lychnocanium grande (q),FEW,  ,1
57,438,A,1,CC,,,0.00,2.90, 9,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RPTEC0010,Pterocorys clausus,RARE,  ,1
57,438,A,1,CC,,,0.00,2.90, 9,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RPTER0062,Pterocanium praetextum eucolpum,RARE,  ,1
57,438,A,1,CC,,,0.00,2.90, 9,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RSPHA0010,Sphaeropyle langii,RARE,  ,1
57,438,A,1,CC,,,0.00,2.90, 9,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RSPIO0035,Spirocyrtis subscalaris,RARE,  ,1
57,438,A,1,CC,,,0.00,2.90, 9,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,COMMON,,,GOOD,NO AGE GIVEN,738,RTHEY0030,Theocorythium trachelium dianae,RARE,  ,1
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RAXOP0010,Axoprunum angelinum,FEW,  ,1
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RBOTS0015,Botryostrobus aquilonaris,RARE,  ,1
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RCLAL0020,Clathrocyclas bicornis,FEW,  ,1
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RCOLL0010,Collosphaera sp.,RARE,  ,1
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RCYCL0020,Cycladophora davisiana cornutoides,FEW,  ,1
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RCYCL0025,Cycladophora davisiana davisiana,COMMON,  ,1
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,REUCY0020,Eucyrtidium acuminatum,RARE,  ,1
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,REUCY0050,Eucyrtidium calvertense,RARE,  ,1
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RLAMR0020,Lamprocyrtis haysi,RARE,  ,1
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RLYCN0051,Lychnocanium grande (q),FEW,  ,1
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,ROMMA0070,Ommatartus tetrathalamus,RARE,  ,2
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RPTEC0010,Pterocorys clausus,FEW,  ,2
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RPTER0062,Pterocanium praetextum eucolpum,RARE,  ,2
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RPTER0067,Pterocanium praetextum praetextum,RARE,  ,2
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RPTER0090,Pterocanium trilobum,RARE,  ,2
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RSPHA0010,Sphaeropyle langii,FEW,  ,2
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RSPIO0025,Spirocyrtis gyroscalaris,RARE,  ,2
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RSPIO0030,Spirocyrtis scalaris,RARE,  ,2
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RSPIO0035,Spirocyrtis subscalaris,FEW,  ,2
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RSTYL0010,Stylacontarium acquilonium,RARE,  ,2
57,438,A,2,1,26.0,68.0,23.00,23.47,21,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RTHEY0030,Theocorythium trachelium dianae,RARE,  ,3
57,438,A,2,3,6.0,8.0,23.00,26.07,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RAXOP0010,Axoprunum angelinum,RARE,  ,1
57,438,A,2,3,6.0,8.0,23.00,26.07,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RBOTS0015,Botryostrobus aquilonaris,RARE,  ,1
57,438,A,2,3,6.0,8.0,23.00,26.07,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RCLAL0020,Clathrocyclas bicornis,RARE,  ,1
57,438,A,2,3,6.0,8.0,23.00,26.07,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RCYCL0020,Cycladophora davisiana cornutoides,FEW,  ,1
57,438,A,2,3,6.0,8.0,23.00,26.07,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RCYCL0025,Cycladophora davisiana davisiana,FEW,  ,1
57,438,A,2,3,6.0,8.0,23.00,26.07,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,REUCY0020,Eucyrtidium acuminatum,RARE,  ,1
57,438,A,2,3,6.0,8.0,23.00,26.07,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,REUCY0050,Eucyrtidium calvertense,RARE,  ,1
57,438,A,2,3,6.0,8.0,23.00,26.07,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RLYCN0051,Lychnocanium grande (q),RARE,  ,1
57,438,A,2,3,6.0,8.0,23.00,26.07,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RPTEC0010,Pterocorys clausus,RARE,  ,1
57,438,A,2,3,6.0,8.0,23.00,26.07,14,"REYNOLDS,R.A.",11/1980,57,RADIOLARIA,FEW,,,GOOD,NO AGE GIVEN,738,RSIPA0030,Siphocampe nodosaria,RARE,  ,1
