leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
6,56,B,4,2,0.0,1.0,100.60,102.10, 5,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RCALC0050,Calocycletta costata,FEW,  ,1
6,56,B,4,2,0.0,1.0,100.60,102.10, 5,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RCANN0040,Cannartus laticonus,FEW,  ,1
6,56,B,4,2,0.0,1.0,100.60,102.10, 5,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RCYRC0020,Cyrtocapsella cornuta,PRESENT,  ,1
6,56,B,4,2,0.0,1.0,100.60,102.10, 5,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RSTIO0050,Stichocorys delmontensis,FEW,  ,1
6,56,B,4,2,0.0,1.0,100.60,102.10, 5,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RSTIO0090,Stichocorys wolfii,FEW,  ,1
6,56,B,4,4,0.0,1.0,100.60,105.10, 4,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RCALC0050,Calocycletta costata,FEW,  ,1
6,56,B,4,4,0.0,1.0,100.60,105.10, 4,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RCANN0040,Cannartus laticonus,FEW,  ,1
6,56,B,4,4,0.0,1.0,100.60,105.10, 4,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RSTIO0050,Stichocorys delmontensis,RARE,  ,1
6,56,B,4,4,0.0,1.0,100.60,105.10, 4,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RSTIO0090,Stichocorys wolfii,RARE,  ,1
6,56,B,4,6,0.0,1.0,100.60,108.10, 4,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RCALC0050,Calocycletta costata,RARE,  ,1
6,56,B,4,6,0.0,1.0,100.60,108.10, 4,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RCANN0040,Cannartus laticonus,COMMON,  ,1
6,56,B,4,6,0.0,1.0,100.60,108.10, 4,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RCYRC0020,Cyrtocapsella cornuta,RARE,  ,1
6,56,B,4,6,0.0,1.0,100.60,108.10, 4,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RSTIO0090,Stichocorys wolfii,FEW,  ,1
6,56,B,4,CC,0.0,0.0,100.60,109.70, 5,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RCANN0040,Cannartus laticonus,COMMON,  ,1
6,56,B,4,CC,0.0,0.0,100.60,109.70, 5,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RCYRC0020,Cyrtocapsella cornuta,RARE,  ,1
6,56,B,4,CC,0.0,0.0,100.60,109.70, 5,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RDORC0010,Dorcadospyris alata,FEW,  ,1
6,56,B,4,CC,0.0,0.0,100.60,109.70, 5,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RSTIO0050,Stichocorys delmontensis,FEW,  ,1
6,56,B,4,CC,0.0,0.0,100.60,109.70, 5,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RSTIO0090,Stichocorys wolfii,FEW,  ,1
6,56,B,5,CC,0.0,0.0,109.70,118.80, 4,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RCANN0040,Cannartus laticonus,COMMON,  ,1
6,56,B,5,CC,0.0,0.0,109.70,118.80, 4,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RCYRC0020,Cyrtocapsella cornuta,COMMON,  ,1
6,56,B,5,CC,0.0,0.0,109.70,118.80, 4,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RDORC0010,Dorcadospyris alata,FEW,  ,1
6,56,B,5,CC,0.0,0.0,109.70,118.80, 4,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1078,RSTIO0090,Stichocorys wolfii,FEW,  ,1
6,56,B,6,2,0.0,1.0,186.80,188.31, 6,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1080,RCALC0110,Calocycletta virginis,COMMON,  ,1
6,56,B,6,2,0.0,1.0,186.80,188.31, 6,"KLING,S.A.",,6,RADIOLARIA,,,,,NO AGE GIVEN,1080,RCALC0112,Calocycletta virginis (q),COMMON,  ,1
