leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
73,524,A,1,1,76.0,77.0,28.50,29.27, 7,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NCHIA0020,Chiasmolithus bidens,DOMINANT,  ,1
73,524,A,1,1,76.0,77.0,28.50,29.27, 7,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NCHIA0040,Chiasmolithus consuetus,TRACE,  ,1
73,524,A,1,1,76.0,77.0,28.50,29.27, 7,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NCOCO0033,Coccolithus bisulcus,ABUNDANT,  ,1
73,524,A,1,1,76.0,77.0,28.50,29.27, 7,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NCOCO0300,Coccolithus pelagicus,DOMINANT,  ,1
73,524,A,1,1,76.0,77.0,28.50,29.27, 7,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NDISC0295,Discoaster multiradiatus,ABUNDANT,  ,1
73,524,A,1,1,76.0,77.0,28.50,29.27, 7,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NELLS0030,Ellipsolithus macellus,TRACE,  ,1
73,524,A,1,1,76.0,77.0,28.50,29.27, 7,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NZYGR0060,Zygrhablithus sp. (q),FEW,  ,1
73,524,A,1,2,76.0,77.0,28.50,30.77, 7,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NCHIA0020,Chiasmolithus bidens,DOMINANT,  ,1
73,524,A,1,2,76.0,77.0,28.50,30.77, 7,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NCHIA0040,Chiasmolithus consuetus,TRACE,  ,1
73,524,A,1,2,76.0,77.0,28.50,30.77, 7,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NCOCO0033,Coccolithus bisulcus,ABUNDANT,  ,1
73,524,A,1,2,76.0,77.0,28.50,30.77, 7,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NCOCO0300,Coccolithus pelagicus,DOMINANT,  ,1
73,524,A,1,2,76.0,77.0,28.50,30.77, 7,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NDISC0295,Discoaster multiradiatus,COMMON,  ,1
73,524,A,1,2,76.0,77.0,28.50,30.77, 7,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NELLS0030,Ellipsolithus macellus,TRACE,  ,1
73,524,A,1,2,76.0,77.0,28.50,30.77, 7,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NZYGR0060,Zygrhablithus sp. (q),COMMON,  ,1
73,524,A,1,3,76.0,77.0,28.50,32.27, 8,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NCHIA0020,Chiasmolithus bidens,DOMINANT,  ,1
73,524,A,1,3,76.0,77.0,28.50,32.27, 8,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NCHIA0040,Chiasmolithus consuetus,TRACE,  ,1
73,524,A,1,3,76.0,77.0,28.50,32.27, 8,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NCOCO0033,Coccolithus bisulcus,ABUNDANT,  ,1
73,524,A,1,3,76.0,77.0,28.50,32.27, 8,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NCOCO0300,Coccolithus pelagicus,DOMINANT,  ,1
73,524,A,1,3,76.0,77.0,28.50,32.27, 8,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NDISC0135,Discoaster diastypus,RARE,  ,1
73,524,A,1,3,76.0,77.0,28.50,32.27, 8,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NDISC0295,Discoaster multiradiatus,ABUNDANT,  ,1
73,524,A,1,3,76.0,77.0,28.50,32.27, 8,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NELLS0030,Ellipsolithus macellus,TRACE,  ,1
73,524,A,1,3,76.0,77.0,28.50,32.27, 8,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NZYGR0060,Zygrhablithus sp. (q),ABUNDANT,  ,1
73,524,A,1,4,76.0,77.0,28.50,33.77, 7,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NCHIA0020,Chiasmolithus bidens,DOMINANT,  ,1
73,524,A,1,4,76.0,77.0,28.50,33.77, 7,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NCHIA0040,Chiasmolithus consuetus,TRACE,  ,1
73,524,A,1,4,76.0,77.0,28.50,33.77, 7,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NCOCO0033,Coccolithus bisulcus,FEW,  ,1
73,524,A,1,4,76.0,77.0,28.50,33.77, 7,PERCIVAL,01/1984,73,NANNOFOSSILS,DOMINANT,,,MODERATE,NO AGE GIVEN,423,NCOCO0300,Coccolithus pelagicus,DOMINANT,  ,1
