leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
77,536,,1,1,84.0,86.0,0.00,0.85,16,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NBRAA0020,Braarudosphaera bigelowii,RARE,  ,1
77,536,,1,1,84.0,86.0,0.00,0.85,16,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NCALD0010,Calcidiscus leptoporus,FEW,  ,1
77,536,,1,1,84.0,86.0,0.00,0.85,16,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NCERO0050,Ceratolithus cristatus,FEW,  ,1
77,536,,1,1,84.0,86.0,0.00,0.85,16,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NCOCO0300,Coccolithus pelagicus,FEW,  ,1
77,536,,1,1,84.0,86.0,0.00,0.85,16,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NDISS0010,Discosphaera tubifera,FEW,  ,1
77,536,,1,1,84.0,86.0,0.00,0.85,16,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NEMIL0020,Emiliania huxleyi,COMMON,  ,1
77,536,,1,1,84.0,86.0,0.00,0.85,16,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NGEPH0020,Gephyrocapsa caribbeanica,FEW,  ,1
77,536,,1,1,84.0,86.0,0.00,0.85,16,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NGEPH0060,Gephyrocapsa oceanica,COMMON,  ,1
77,536,,1,1,84.0,86.0,0.00,0.85,16,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NHELC0020,Helicosphaera carteri,FEW,  ,1
77,536,,1,1,84.0,86.0,0.00,0.85,16,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NPONT0030,Pontosphaera anisotrema,FEW,  ,1
77,536,,1,1,84.0,86.0,0.00,0.85,16,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NPONT0090,Pontosphaera japonica,FEW,  ,2
77,536,,1,1,84.0,86.0,0.00,0.85,16,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NRHAO0010,Rhabdosphaera clavigera,COMMON,  ,2
77,536,,1,1,84.0,86.0,0.00,0.85,16,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NRHAO0080,Rhabdosphaera stylifera,FEW,  ,2
77,536,,1,1,84.0,86.0,0.00,0.85,16,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NSCAP0020,Scapholithus fossilis,COMMON,  ,2
77,536,,1,1,84.0,86.0,0.00,0.85,16,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NSYRA0070,Syracosphaera pulchra,COMMON,  ,2
77,536,,1,1,84.0,86.0,0.00,0.85,16,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NUMBI0030,Umbilicosphaera mirabilis,COMMON,  ,2
77,536,,1,2,6.0,6.0,0.00,1.56,14,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NCALD0010,Calcidiscus leptoporus,FEW,  ,1
77,536,,1,2,6.0,6.0,0.00,1.56,14,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NCERO0050,Ceratolithus cristatus,FEW,  ,1
77,536,,1,2,6.0,6.0,0.00,1.56,14,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NCERO0090,Ceratolithus telesmus,RARE,  ,1
77,536,,1,2,6.0,6.0,0.00,1.56,14,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NCOCO0300,Coccolithus pelagicus,FEW,  ,1
77,536,,1,2,6.0,6.0,0.00,1.56,14,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NDISS0010,Discosphaera tubifera,FEW,  ,1
77,536,,1,2,6.0,6.0,0.00,1.56,14,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NEMIL0020,Emiliania huxleyi,ABUNDANT,  ,1
77,536,,1,2,6.0,6.0,0.00,1.56,14,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NGEPH0060,Gephyrocapsa oceanica,COMMON,  ,1
77,536,,1,2,6.0,6.0,0.00,1.56,14,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NHELC0020,Helicosphaera carteri,FEW,  ,1
77,536,,1,2,6.0,6.0,0.00,1.56,14,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NPONT0090,Pontosphaera japonica,FEW,  ,1
77,536,,1,2,6.0,6.0,0.00,1.56,14,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NRHAO0010,Rhabdosphaera clavigera,COMMON,  ,1
77,536,,1,2,6.0,6.0,0.00,1.56,14,LANG,09/1984,77,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,636,NRHAO0080,Rhabdosphaera stylifera,FEW,  ,2
