leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
84,567,,1,CC,0.0,0.0,176.10,176.20,14,MCDOUGALL,05/1985,84,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,402,BBOLI0144,Bolivina foraminata,2%,  ,1
84,567,,1,CC,0.0,0.0,176.10,176.20,14,MCDOUGALL,05/1985,84,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,402,BCIBC0010,Cibicidoides sp.,10%,  ,1
84,567,,1,CC,0.0,0.0,176.10,176.20,14,MCDOUGALL,05/1985,84,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,402,BFISS0020,Fissurina carteri,2%,  ,1
84,567,,1,CC,0.0,0.0,176.10,176.20,14,MCDOUGALL,05/1985,84,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,402,BFISS0027,Fissurina cucullata,2%,  ,1
84,567,,1,CC,0.0,0.0,176.10,176.20,14,MCDOUGALL,05/1985,84,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,402,BGYRO0213,Gyroidina planulata (q),12%,  ,1
84,567,,1,CC,0.0,0.0,176.10,176.20,14,MCDOUGALL,05/1985,84,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,402,BGYRO0217,Gyroidina quinqueloba,10%,  ,1
84,567,,1,CC,0.0,0.0,176.10,176.20,14,MCDOUGALL,05/1985,84,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,402,BHANZ0007,Hanzawaia sp.,2%,  ,1
84,567,,1,CC,0.0,0.0,176.10,176.20,14,MCDOUGALL,05/1985,84,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,402,BMELO0020,Melonis affinis,29%,  ,1
84,567,,1,CC,0.0,0.0,176.10,176.20,14,MCDOUGALL,05/1985,84,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,402,BMELO0065,Melonis soldanii,20%,  ,1
84,567,,1,CC,0.0,0.0,176.10,176.20,14,MCDOUGALL,05/1985,84,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,402,BORID0030,Oridorsalis umbonatus,5%,  ,1
84,567,,1,CC,0.0,0.0,176.10,176.20,14,MCDOUGALL,05/1985,84,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,402,BQUIN0054,Quinqueloculina lamarckiana,2%,  ,2
84,567,,1,CC,0.0,0.0,176.10,176.20,14,MCDOUGALL,05/1985,84,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,402,BQUIN0090,Quinqueloculina venusta,2%,  ,2
84,567,,1,CC,0.0,0.0,176.10,176.20,14,MCDOUGALL,05/1985,84,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,402,BTRIL0016,Triloculina oblongata,2%,  ,2
