Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
113, 689,B,Initial Reports          ,       0.600,    3.550000, 
,,,,,,
113, 689,B,Initial Reports          ,       5.300,    3.600000, 
,,,,,,
113, 689,B,Initial Reports          ,      14.800,    4.950000, 
,,,,,,
113, 689,B,Initial Reports          ,      24.300,    7.000000, 
,,,,,,
113, 689,B,Initial Reports          ,      43.300,    9.500000, 
,,,,,,
113, 689,B,Initial Reports          ,      54.500,   14.970000, 
,,,,,,
113, 689,B,Initial Reports          ,      66.550,   23.600000,LO Chiasmolithus altus
,,,,,,
113, 689,B,Initial Reports          ,     105.800,   32.000000,LO Subbotina angiporoides
,,,,,,
113, 689,B,Initial Reports          ,     106.550,   34.700001,LO Reticulofenestra umbilica
,,,,,,
113, 689,B,Initial Reports          ,     131.200,   36.750000,LO Globigerinatheka index
,,,,,,
113, 689,B,Initial Reports          ,     132.000,   37.000000,FO Isthmolithus recurvus
,,,,,,
113, 689,B,Initial Reports          ,     147.950,   40.000000,FO Chiasmolithus oamaruensis
,,,,,,
113, 689,B,Initial Reports          ,     153.050,   43.000000,LO Chiasmolithus solitus
,,,,,,
113, 689,B,Initial Reports          ,     203.150,   56.099998,LO Tappanina selmensis
,,,,,,
113, 689,B,Initial Reports          ,     208.350,   58.200001,LO Stensioina beccariiformis
,,,,,,
113, 689,B,Initial Reports          ,     215.050,   59.200001,FO Discoaster multiradiatus
,,,,,,
113, 689,B,Initial Reports          ,     231.400,   64.400002,FO Cruciplacolithus edwardsii
,,,,,,
113, 689,B,Initial Reports          ,     233.450,   66.400002,K/T boundary
,,,,,,
