Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
113, 693,A,Initial Reports          ,      21.500,    1.600000, 
,,,,,,
113, 693,A,Initial Reports          ,      28.900,    1.970000, 
,,,,,,
113, 693,A,Initial Reports          ,      35.400,    2.650000, 
,,,,,,
113, 693,A,Initial Reports          ,      54.800,    3.200000,LO Distephanus boliviensis (S)
,,,,,,
113, 693,A,Initial Reports          ,      85.000,    4.000000, 
,,,,,,
113, 693,A,Initial Reports          ,     112.000,    4.400000, 
,,,,,,
113, 693,A,Initial Reports          ,     182.500,    5.200000, 
,,,,,,
113, 693,A,Initial Reports          ,     251.900,    8.000000, 
,,,,,,
