Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
135, 834,A,Initial Reports          ,      26.000,    0.600000,LAD G. tosaensis
,,,,,,
135, 834,A,Initial Reports          ,      34.100,    1.900000,LAD G.q. fistulosus
,,,,,,
135, 834,A,Initial Reports          ,      45.600,    2.600000,LAD D. tamalis
,,,,,,
135, 834,A,Initial Reports          ,      55.100,    3.000000,FAD G. q. fistulosus
,,,,,,
135, 834,A,Initial Reports          ,      64.600,    3.400000,LAD G. margaritae
,,,,,,
135, 834,A,Initial Reports          ,      93.200,    3.600000,LAD R. pseudoumbilica
,,,,,,
