Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spirosigmoilinella compressa,Martinottiella nodulosa,Haplophragmoides sp. D,Haplophragmoides sp. A,Haplophragmoides compressum,Cyclammina spp.,Cyclammina japonica,Cyclammina cancellata,Ammodiscus sp.,Agglutinated spp. (indeterminate),Thalmannammina cf. parkerae,Rhabdammina sp.,Recurvoides(?) sp.,Martinottiella communis,Haplophragmoides(?) sp.,Eggerella sp. B,Cyclammina sp. C ,Ammovertellina sp.,Ammodiscus macilentus,Oridorsalis tener,Nonionella miocenica,Haplophragmoides spp.,Haplophragmoides sp. C,Gyroidina sp. A,Globobulimina pupoides,Eggerella sp. A,Cyclammina pusilla,Chilostomella oolina,Cassidulinoides tenuis,Cassidulinoides sp.,Calcareous sp. indeterminate,Valvulineria cf. masudai,Tosaia hanzawai,Pullenia sp.,Pullenia bulloides,Psammosphaera compressa,Plectina nipponica,Marginulina cf. glabra,Hopkinsina sp.,Gyroidina spp.,Gyroidina orbicularis,Gaudryinella? sp.,Epistominella sp.,Dentalina spp.,Cribrostomoides cf. crassimargo,Bathysiphon spp.,Trochammina spp.,Nummoloculina sp. B,Nummoloculina sp. A,Miliolinella cf. M. oblonga,Martinottiella sp.,Lagena cf. L. elongata,Chilostomella sp.,Uvigerina spp.,Spiroplectammina sp.,Saccammina sphaerica,Nonionella labradorica,Nodosaria spp.,Nodosaria longiscata,Gyroidinoides planulatus,Globobulimina sp.  indet.,Globobulimina sp.,Fursenkoina sp.,Fursenkoina ishikiensis,Fissurina spp.,Eggerella bradyi,Uvigerina cf. proboscidea,Nonionella(?) sp.  ,Nonionella stella,Miliolinella sp.,Globocassidulina sp. B,Cyclammina? sp.,Ammodiscus concinnus,Plectina(?) sp.,Trochammina(?) sp.,Ammosphaeroidina sp.,Textularia spp.,Quinqueloculina cf. Q. akneriana,Fontbotia wuellerstorfi,Spirosigmoilinella cf. S. compressa,Rectobolivina raphana,Karreriella sp. A,Uvigerina senticosa,Uvigerina cf. U. senticosa,Pullenia salisburyi,Parafissurina curta,Nonion pacificum,Melonis nicobarense,Eggerella spp.,Globobulimina pacifica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B,  1,R, 4, 106.00,    159.1100,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                            ,                       ,                      ,                      ,                           ,               ,                   ,                     ,              ,                                 ,                           ,               ,                  ,1                      ,                       ,               ,                 ,                  ,                     ,                 ,                    ,                     ,                      ,               ,                      ,1              ,                  ,                    ,                      ,                   ,                            ,                        ,               ,            ,                  ,                       ,                  ,                      ,              ,              ,                     ,                 ,                 ,              ,                               ,                ,                ,                   ,                   ,                           ,                  ,                      ,                 ,              ,                    ,                    ,                      ,              ,                    ,                        ,                         ,                 ,               ,                       ,              ,                ,                         ,                   ,                 ,                ,                      ,               ,                    ,               ,                  ,                    ,               ,                                ,                       ,                                   ,                     ,                 ,                   ,                          ,                   ,                   ,                ,                   ,              ,1                     ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B,  2,R,CC,  10.00,    165.4900,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                            ,                       ,                      ,                      ,                           ,               ,                   ,                     ,              ,                                 ,                           ,               ,                  ,11                     ,                       ,               ,                 ,                  ,                     ,                 ,                    ,                     ,                      ,               ,                      ,               ,                  ,                    ,                      ,                   ,                            ,                        ,               ,            ,                  ,                       ,                  ,                      ,              ,              ,                     ,                 ,                 ,              ,                               ,                ,                ,                   ,                   ,                           ,                  ,                      ,                 ,              ,                    ,                    ,                      ,              ,                    ,                        ,                         ,                 ,               ,                       ,              ,2               ,                         ,                   ,                 ,                ,                      ,               ,                    ,               ,                  ,                    ,               ,                                ,                       ,                                   ,                     ,                 ,                   ,                          ,                   ,                   ,                ,                   ,              ,                      ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,                  ,              ,127, 794,B,  3,R, 4,  84.00,    217.5400,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                            ,                       ,                      ,                      ,                           ,               ,                   ,                     ,              ,                                 ,                           ,               ,                  ,100.0%                 ,                       ,               ,                 ,                  ,                     ,                 ,                    ,                     ,                      ,               ,                      ,               ,                  ,                    ,                      ,                   ,                            ,                        ,               ,            ,                  ,                       ,                  ,                      ,              ,              ,                     ,                 ,                 ,              ,                               ,                ,                ,                   ,                   ,                           ,                  ,                      ,                 ,              ,                    ,                    ,                      ,              ,                    ,                        ,                         ,                 ,               ,                       ,              ,                ,                         ,                   ,                 ,                ,                      ,               ,                    ,               ,                  ,                    ,               ,                                ,                       ,                                   ,                     ,                 ,                   ,                          ,                   ,                   ,                ,                   ,              ,                      ,from ODP Leg 127&128 SR Chapter 29 Table 1 p 495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B,  4,R, 1, 111.00,    223.0100,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                            ,                       ,                      ,                      ,                           ,               ,                   ,                     ,              ,                                 ,                           ,               ,                  ,                       ,                       ,               ,                 ,                  ,                     ,                 ,                    ,                     ,                      ,               ,                      ,               ,                  ,                    ,                      ,                   ,                            ,                        ,               ,            ,                  ,                       ,                  ,                      ,              ,              ,                     ,                 ,                 ,              ,                               ,                ,                ,                   ,                   ,                           ,                  ,                      ,                 ,              ,                    ,                    ,                      ,              ,                    ,                        ,                         ,                 ,               ,                       ,              ,                ,                         ,                   ,                 ,                ,                      ,               ,                    ,               ,                  ,                    ,               ,                                ,                       ,                                   ,                     ,                 ,                   ,                          ,                   ,                   ,                ,                   ,              ,1                     ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
