leg,site,hole,core,coretype,section,observer,top interval,piece number top,sub piece top,bottom interval,piece number bottom,sub piece bottom,lithology,color,color number,structures,drilling deformities,unusual occurrences,minerals,paleontology,other,induration,more data available,code,latitude,longitude,depth,top interval depth below sea floor,bottom interval depth below sea floor
126,791,A,002,Hydraulic (Advanced) Piston Core,01,HCS,000,,,150,,,clay,olive gray,5y 5/2,,moderately disturbed,,,,,,,H,30.91649,139.87006,0004.50,450,600
126,791,A,002,Hydraulic (Advanced) Piston Core,02,HCS,000,,,146,,,clay(0-142cm); vitric silt(142-146cm),olive gray?,5y 5/2?,,moderately disturbed,vitric silt(142-146cm),vitric silt(142-146cm),,,,,H,30.91649,139.87006,0006.00,600,746
126,791,A,002,Hydraulic (Advanced) Piston Core,03,HCS,000,,,150,,,vitric silt,olive gray,5y 5/2,,moderately disturbed(0-135cm),vitric silt,vitric silt,,,,,H,30.91649,139.87006,0007.50,750,900
126,791,A,002,Hydraulic (Advanced) Piston Core,04,HCS,000,,,150,,,vitric silt,olive gray,5y 5/2,,highly disturbed(0-105cm); soupy(105-150cm),vitric silt,vitric silt,,,,,H,30.91649,139.87006,0009.00,900,1050
126,791,A,002,Hydraulic (Advanced) Piston Core,05,HCS,000,,,140,,,"vitric silt w/ fine vitric sand at 57-59,71-75?cm",olive gray,5y 5/2,"fining upward sequences?(0-59,59-75cm); normal graded bedding(59,75cm); minor(52-55cm) to moderate(57-61cm) bioturbation or minor bioturbation(30-40?,50-65cm)",moderately disturbed,"vitric silt w/ fine vitric sand at 57-59,71-75?cm","vitric silt w/ fine vitric sand at 57-59,71-75?cm",,"fine-grained sand(57-59,71-75?cm)",,,H,30.91649,139.87006,0010.50,1050,1190
126,791,A,002,Hydraulic (Advanced) Piston Core,05,HCS,140,,,150,,,interstitial water sample,,,,,,,,,,,H,30.91649,139.87006,0010.50,1190,1200
126,791,A,002,Hydraulic (Advanced) Piston Core,06,HCS,000,,,150,,,vitric silt,olive gray,5y 5/2,normal graded bedding?(150cm); fining upward sequence?(0-150cm),moderately(65cm) to highly(65-150cm) disturbed,vitric silt,vitric silt,,crs silt grading upward to fine silt(0-150cm),,,H,30.91649,139.87006,0012.00,1200,1350
126,791,A,002,Hydraulic (Advanced) Piston Core,07,HCS,000,,,070,,,vitric silt,olive gray,5y 5/2,normal graded bedding?(70cm),moderately disturbed,vitric silt,vitric silt,,crs silt,,,H,30.91649,139.87006,0013.50,1350,1420
126,791,A,003,Hydraulic (Advanced) Piston Core,01,NIS,000,,,150,,,"vitric sandy pumiceous gravel w/ vitric sand at 0-17,100-118cm and vitric silt @ 83-100cm(0-150cm)","olive gray w/ very dark gray laminae at 83-85,90-92,95-97,98-100cm and black laminae @ 92cm?(0-17,62-100,118-150cm); dark gray(17-83cm); brownish black(100-118cm)","5y 5/2 w/ 5y 3/1 laminae at 83-85,90-92,95-97,98-100cm(0-17,83-100cm); 5y 4/1(17-62cm); 5y 4/2(62-83,118-150cm); 5yr 2/1(100-118cm)",laminae(83-100cm),"highly(0-15,110-150cm) to moderately(15-110cm) disturbed",vitric material; pumice pebble to pumice granule gravels(118-150cm);pumice gravel(17-83cm),vitric material; pumice; pumice pebble to pumice granule gravels(118-150cm);pumice gravel(17-83cm),,"fine-grained sand(0-17cm); very crs sand w/ a maximum grain size of 8mm at 17-83cm(17-83,100-118cm); pebble to granule gravels w/ a maximum grain size of 20mm(118-150cm); the sands and silts comprise 9% and 4% of the core, respectively.",,,H,30.91649,139.87006,0014.00,1400,1550
126,791,A,003,Hydraulic (Advanced) Piston Core,02,NIS,000,,,150,,,vitric sandy pumiceous gravel,olive gray,5y 4/2,,highly disturbed,vitric sandy pumiceous gravel;granules,vitric sandy pumiceous gravel,,very crs sandy granule gravels w/ a maximum grain size of 15mm; 1-4mm in size matrix,,,H,30.91649,139.87006,0015.50,1550,1700
126,791,A,003,Hydraulic (Advanced) Piston Core,03,NIS,000,,,150,,,vitric sandy pumiceous gravel,olive gray(0-133cm); dark olive gray(133-150cm),5y 4/2(0-133cm); 5y 3/2(133-150cm),,highly(0-36cm) to moderately(36-150cm) disturbed,vitric sandy pumiceous gravel,vitric sandy pumiceous gravel,,very crs sandy granule gravels w/ a maximum grain size of 20mm(0-133cm); 1-4mm in size matrix(0-133cm); very crs sand(133-150cm),,,H,30.91649,139.87006,0017.00,1700,1850
126,791,A,003,Hydraulic (Advanced) Piston Core,CC,NIS,000,,,013,,,vitric sandy pumiceous gravel,olive gray(0-7cm); dark olive gray(7-13cm),5y 4/2(0-7cm); 5y 3/2(7-13cm),,moderately disturbed?,vitric sandy pumiceous gravel,vitric sandy pumiceous gravel,,pumice granule gravels w/ a maximum grain size of 5mm(0-7cm); very crs sand(7-13cm),,,H,30.91649,139.87006,0018.50,1850,1863
