Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stilostomella spp.	Pleurostomella spp.	Plectofrondicularia spp.	Orthomorphina spp.	Comment



  SR	                 	                 	                  	              	108	 658	A	 11	H	 4	  70.00	     95.6500	Weinholz 	Benthic Foraminifers                         	               	                  	                  	                   	1                       	                  	from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 11	H	 6	  70.00	     98.6500	Weinholz 	Benthic Foraminifers                         	               	                  	3                 	                   	1                       	                  	Total account = 283; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 11	H	 7	  70.00	    100.1500	Weinholz 	Benthic Foraminifers                         	               	                  	4                 	                   	6                       	                  	Total account = 276; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 11	H	 8	  68.00	    101.6300	Weinholz 	Benthic Foraminifers                         	               	                  	4                 	                   	1                       	                  	Total account = 192; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 11	H	CC	  33.00	    102.0600	Weinholz 	Benthic Foraminifers                         	               	                  	6                 	                   	10                      	                  	from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 12	H	 1	  70.00	    101.4000	Weinholz 	Benthic Foraminifers                         	               	                  	1                 	                   	1                       	1                 	Total account = 150; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 12	H	 2	  70.00	    102.4300	Weinholz 	Benthic Foraminifers                         	               	                  	5                 	                   	4                       	1                 	Total account = 253; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 12	H	 3	  70.00	    103.9300	Weinholz 	Benthic Foraminifers                         	               	                  	1                 	                   	5                       	3                 	Total account = 185; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 12	H	 4	  70.00	    105.4300	Weinholz 	Benthic Foraminifers                         	               	                  	6                 	1                  	6                       	4                 	Total account = 233; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 12	H	 6	  70.00	    108.4300	Weinholz 	Benthic Foraminifers                         	               	                  	                  	                   	4                       	2                 	Total account = 168; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 12	H	 8	  70.00	    111.4300	Weinholz 	Benthic Foraminifers                         	               	                  	8                 	1                  	1                       	1                 	from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 13	H	 1	  72.00	    110.9200	Weinholz 	Benthic Foraminifers                         	               	                  	5                 	                   	9                       	4                 	Total account = 220; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

