Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globorotaloides suteri	Acarinina pentacamerata	Truncorotaloides collactea	Globigerina inaequispira	Globigerina hagni	Acarinina pseudotopilensis	Acarinina interposita	Globigerina praebulloides leroyi	Chiloguembelina cubensis	Globorotalia siakensis	Globorotalia birnageae	Globigerinita uvula	Globigerinita naparimaensis	Globigerina praebulloides praebulloides	Globigerina falconensis	Globigerina angustiumbilicata	Cassigerinella chipolensis	Globorotalia obesa	Globigerinita glutinata	Neogloboquadrina continuosa	Globigerina ouachitaensis	Catapsydrax stainforthi	Globigerina bulloides	Neogloboquadrina incompta	Globorotalia cultrata menardii	Orbulina universa	Orbulina suturalis	Neogloboquadrina pachyderma	Neogloboquadrina dutertrei	Hastigerinopsis riedeli	Globorotaloides hexagona	Globorotalia hirsuta	Globorotalia bermudezi	Globigerina quinqueloba	Globigerina bulbosa	Pulleniatina obliquiloculata	Globorotalia tumida tumida	Globorotalia scitula	Globorotalia pumilio	Globorotalia cultrata cultrata	Globigerinoides trilobus	Globigerinoides cyclostomus	Globigerina rubescens	Neogloboquadrina humerosa	Globigerina umbilicata	Beella digitata	Globigerinoides ruber	Comment



  SR	                 	                 	                  	              	112	 682	A	  1	H	CC	  12.00	      9.7900	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	                       	                          	                        	                 	                          	                     	                                	                        	                      	                      	                   	                           	                                       	T                      	                             	                          	T                 	T                      	                           	                         	                       	A                    	T                        	                              	                 	                  	                           	T                         	                       	T                       	                    	                      	T                      	                   	                            	                          	                    	T                   	                              	                        	                           	                     	T                        	                      	               	T                    	from ODP Leg 112 SR Chapter 15 Table 3 p 244

  SR	                 	                 	                  	              	112	 682	A	  2	H	 4	  68.00	     14.9800	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	                       	                          	                        	                 	                          	                     	                                	                        	                      	                      	                   	                           	                                       	T                      	                             	                          	T                 	T                      	                           	                         	                       	A                    	T                        	T                             	                 	                  	C                          	A                         	                       	T                       	                    	                      	                       	                   	                            	                          	T                   	                    	                              	                        	                           	                     	A                        	T                     	T              	                     	from ODP Leg 112 SR Chapter 15 Table 3 p 244

  SR	                 	                 	                  	              	112	 682	A	  2	H	CC	  18.00	     18.9300	Ibaraki  	Planktonic Foraminifers                      	F              	G                 	                      	                       	                          	                        	                 	                          	                     	                                	                        	                      	                      	                   	C                          	                                       	C                      	                             	                          	F                 	A                      	                           	                         	                       	C                    	A                        	                              	T                	                  	A                          	C                         	                       	T                       	                    	                      	F                      	                   	F                           	C                         	F                   	F                   	C                             	T                       	T                          	T                    	                         	                      	               	                     	from ODP Leg 112 SR Chapter 15 Table 3 p 244

  SR	                 	                 	                  	              	112	 682	A	  3	H	 4	  51.00	     24.3100	Ibaraki  	Planktonic Foraminifers                      	F              	G                 	                      	                       	                          	                        	                 	                          	                     	                                	                        	                      	                      	                   	                           	                                       	C                      	                             	                          	F                 	F                      	                           	                         	                       	A                    	A                        	                              	T                	T                 	A                          	C                         	T                      	T                       	T                   	T                     	F                      	T                  	                            	                          	                    	                    	                              	                        	                           	                     	                         	                      	               	                     	from ODP Leg 112 SR Chapter 15 Table 3 p 244
