Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra sp. (small)	Reticulofenestra pseudoumbilicus	Helicosphaera carteri	Coccolithus pelagicus	Sphenolithus sp. cf S. abies	Sphenolithus abies	Discoaster calcaris	Discoaster quinqueramus	Trochoaster sp.	Gephyrocapsa sp.	Discoaster sp. cf. D. calcaris	Discoaster sp.	Cyclococcolithus leptoporus	Gephyrocapsa oceanica	Gephyrocapsa aperta	Pseudoemiliania lacunosa	Helicosphaera sp. cf. H. carteri	Syracosphaera pulchra	Comment



  SR	Quaternary       	                 	NN20              	              	112	 685	A	  3	H	 2	  19.00	     15.2900	Martini  	Nannofossils                                 	               	M/G               	                            	                                	C                    	R                    	                            	                  	                   	                       	               	                	                              	              	R                          	C                    	A                  	                        	                                	R                    	from ODP Leg 112 SR Chapter 14 Table 8 p 230

  SR	Quaternary       	                 	NN20              	              	112	 685	A	  4	H	CC	  16.00	     33.1700	Martini  	Nannofossils                                 	               	M                 	                            	                                	F                    	R                    	                            	                  	                   	                       	               	                	                              	              	R                          	C                    	C                  	                        	                                	                     	from ODP Leg 112 SR Chapter 14 Table 8 p 230

  SR	Quaternary       	                 	NN20              	              	112	 685	A	  6	X	CC	  13.00	     51.5300	Martini  	Nannofossils                                 	               	M                 	                            	                                	                     	                     	                            	                  	                   	                       	               	                	                              	              	                           	                     	F                  	                        	                                	                     	from ODP Leg 112 SR Chapter 14 Table 8 p 230

  SR	Quaternary       	                 	NN20              	              	112	 685	A	  7	X	 2	  99.00	     54.0900	Martini  	Nannofossils                                 	               	M                 	                            	                                	F                    	R                    	                            	                  	                   	                       	               	                	                              	              	                           	R                    	C                  	                        	                                	                     	from ODP Leg 112 SR Chapter 14 Table 8 p 230

  SR	Quaternary       	                 	NN19              	              	112	 685	A	  8	X	 4	  24.00	     65.8400	Martini  	Nannofossils                                 	               	M                 	                            	                                	F                    	R                    	                            	                  	                   	                       	               	                	                              	              	F                          	F                    	A                  	R                       	                                	                     	from ODP Leg 112 SR Chapter 14 Table 8 p 230

  SR	Quaternary       	                 	NN19              	              	112	 685	A	  9	X	CC	  18.00	     82.0700	Martini  	Nannofossils                                 	               	M                 	                            	                                	                     	                     	                            	                  	                   	                       	               	                	                              	              	                           	                     	C                  	                        	R                               	                     	from ODP Leg 112 SR Chapter 14 Table 8 p 230

  SR	Quaternary       	                 	NN19              	              	112	 685	A	 10	X	 4	  98.00	     85.5800	Martini  	Nannofossils                                 	               	M                 	                            	                                	                     	                     	                            	                  	                   	                       	               	                	                              	              	R                          	R                    	C                  	                        	                                	                     	from ODP Leg 112 SR Chapter 14 Table 8 p 230

  SR	Quaternary       	                 	NN19              	              	112	 685	A	 11	X	CC	  19.00	     99.2100	Martini  	Nannofossils                                 	               	P/M               	                            	                                	R                    	R                    	                            	                  	                   	                       	               	                	                              	              	                           	R                    	C                  	                        	                                	                     	from ODP Leg 112 SR Chapter 14 Table 8 p 230

