Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Placolithus (unidentified taxa)	Coccolithus pelagicus	Reticulofenestra "small"	Pontosphaera sp.	Pontosphaera japonica	Helicosphaera carteri	Gephyrocapsa caribbeanica	Dictyococcites productus	Calcidiscus leptoporus	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa oceanica	Gephyrocapsa aperta	Calcidiscus macintyrei	Reticulofenestra asanoi	Braarudosphaera bigelowii	Helicosphaera wallichii	Helicosphaera colombiana	Emiliania huxleyi	Comment



  SR	                 	                 	                  	              	128	 798	A	  1	H	 1	   6.00	      0.0600	Muza     	Nannofossils                                 	C              	P                 	                               	R                    	F                       	                	                     	F                    	R                        	                        	                      	                        	                    	C                    	                   	                      	                       	                         	                       	R                       	A                	Rare reworked Cretaceous taxa; from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  1	H	 2	  68.00	      2.1800	Muza     	Nannofossils                                 	C              	P                 	                               	                     	                        	                	                     	                     	F                        	                        	                      	                        	                    	C                    	                   	                      	                       	                         	                       	                        	C                	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  1	H	 3	   4.00	      3.0400	Muza     	Nannofossils                                 	A              	P                 	                               	C                    	                        	                	                     	                     	F                        	                        	                      	                        	                    	A                    	                   	                      	                       	                         	                       	                        	F                	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  1	H	 3	  69.00	      3.6900	Muza     	Nannofossils                                 	C              	P                 	                               	                     	                        	                	                     	                     	F                        	                        	                      	                        	                    	C                    	                   	                      	                       	                         	                       	                        	C                	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  1	H	 4	   4.00	      4.5400	Muza     	Nannofossils                                 	A              	M                 	                               	A                    	C                       	                	                     	R                    	A                        	                        	                      	                        	                    	V                    	                   	                      	                       	                         	                       	F                       	C                	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  1	H	 5	  68.00	      6.6800	Muza     	Nannofossils                                 	C              	P                 	                               	C                    	F                       	                	                     	F                    	                         	                        	F                     	                        	                    	C                    	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  1	H	 6	   4.00	      7.5400	Muza     	Nannofossils                                 	C              	P                 	                               	C                    	F                       	                	                     	F                    	                         	                        	F                     	                        	                    	C                    	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

