Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygodiscus diplogrammus	Watznaueria pseudomanivitae	Watznaueria communis	Watznaueria barnesae	Tranolithus manifestus	Tranolithus exiguus	Quadrum trifidum	Quadrum sissinghii	Quadrum gothicum	Quadrum gartneri	Prediscosphaera cretacea	Parhabdolithus angustus	Micula decussata	Microrhabdulus decoratus	Manivitella pemmatoidea	Lithraphidites carniolensis	Eiffellithus turriseiffelii	Cribrosphaerella ehrenbergii	Cretarhabdus surirellus	Cretarhabdus striatus	Cretarhabdus crenulatus	Cretarhabdus coronadventiis	Cretarhabdus conicus	Coccolithus crassus	Chiastozygus litterarius	Arkhangelskiella cymbiformis	Watznaueria britannica	Tranolithus phacelosus	Prediscosphaera spinosa	Prediscosphaera columnata	Vagalapilla stradneri	Tegumentum stradneri	Reinhardtites levis	Zygodiscus spiralis	Zygodiscus elegans	Tranolithus gabalus	Prediscosphaera grandis	Biscutum constans	Lucianorhabdus cayeuxii	Parhabdolithus asper	Parhabdolithus embergeri	Discorhabdus rotatorius	Watznaueria manivitae	Prediscosphaera honjoi	Ahmuellerella octoradiata	Eiffellithus sp.	Octocyclus sp.	Micula prinsii	Microrhabdulus attenuatus	Micula murus	Micula concava	Podorhabdus sp.	M. ondosus	Placozygus sigmoides	Markalius inversus	Thoracosphaera saxea	Thoracosphaera operculata	Prinsius martinii	Prinsius bisulcus	Markalius astroporus	Fasciculithus ulii	Fasciculithus tympaniformis	Fasciculithus involutus	Ericsonia subpertusa	Ericsonia robusta	Ericsonia ovalis	Ellipsolithus macellus	Cruciplacolithus tenuis	Cruciplacolithus intermedius	Cruciplacolithus edwardsii	Cruciplacolithus asymmetricus	Coccolithus pelagicus	Chiasmolithus danicus	Biantholithus sparsus	Neococcolithes protenus	Neochiastozygus saepes	Fasciculithus stonehengei	Fasciculithus janii	Biscutum sp.	T. crassa	Fasciculithus sp.	Braarudosphaera sp. 1	Fasciculithus pileatus	Zygrhablithus bijugatus	Toweius crassus	Thoracosphaera prolata	Sphenolithus radians	Sphenolithus moriformis	Pontosphaera versa	Discoaster sp. 1	Discoaster multiradiatus	Discoaster lodoensis	Discoaster lenticularis	Discoaster kuepperi	Discoaster gemmifer	Discoaster diastypus	Discoaster barbadiensis	Coronocyclus nitescens	Coccolithus formosus	Coccolithus eopelagicus	Chiasmolithus grandis	Chiasmolithus consuetus	Campylosphaera dela	Calcidiscus kingii	Ellipsolithus lajollaensis	Discoaster binodosus	Sphenolithus spiniger	Pedinocyclus larvalis	Coccolithus jugatus	Striatococcolithus pacificanus	Reticulofenestra dictyoda	Discolithina rimosa	Toweius gammation	Chiasmolithus bidens	Dictyococcites scrippsae	Neococcolithes dubius	Reticulofenestra pseudoumbilica	Discoaster variabilis	Discoaster moorei	Discoaster kugleri	Discoaster exilis	Discoaster druggii	Reticulofenestra sp. (small)	Discoaster subsurculus	Discoaster deflandrei	Dictyococcites productus	Catinaster calyculus	Triquetrorhabdulus rugosus	Triquetrorhabdulus carinatus	Discoaster musicus	Dictyococcites antarcticus	Cyclicargolithus floridanus	Coccolithus miopelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster woodringii	Discoaster surculus	Discoaster pentaradiatus	Discoaster pansus	Catinaster coalitus	Discoaster challengeri	Minylitha convallis	Discoaster prepentaradiatus	Discoaster neohamatus	Discoaster calcaris	Discoaster brouweri	Discoaster blackstockae	Discoaster bellus	Sphenolithus abies	Discoaster icarus	Syracosphaera histrica	Discoaster quinqueramus	Discoaster braarudii	Discoaster berggrenii	Amaurolithus primus	Discoaster intercalaris	Amaurolithus delicatus	Helicosphaera granulata	Amaurolithus tricorniculatus	Scyphosphaera globulata	Ceratolithus armatus	Ceratolithus rugosus	Helicosphaera sellii	Helicosphaera carteri	Discoaster asymmetricus	Discoaster quadramus	Triquetrorhabdulus farnsworthii	Pontosphaera multipora	Discoaster triradiatus	Scyphosphaera pacifica	Rhabdosphaera stylifera	Pseudoemiliania lacunosa	Discoaster tamalis	Gephyrocapsa sp. (small)	Rhabdosphaera clavigera	Scapholithus fossilis	Gephyrocapsa oceanica s.l.	Ceratolithus cristatus	Umbilicosphaera sibogae	Ceratolithus telesmus	Scyphosphaera aranta	Gephyrocapsa sp. (large)	Scyphosphaera amphora	Pontosphaera scutellum	Gephyrocapsa sp. 3	Emiliania huxleyi	Comment



  SR	Early Pleistocene	Middle Pleistocene	NN21A             	              	132	 810	C	  1	H	 1	  40.00	      0.4000	Premoli Silva	Nannofossils                                 	A              	G                 	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	R                   	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	C                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	                            	                      	                     	                        	                    	                          	                            	                  	                          	                           	                        	                      	A                     	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	C                     	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	A                    	                       	                    	                               	R                     	                      	                      	F                      	                        	                  	A                       	C                      	RR                   	A                         	R                     	C                      	                     	                    	                        	                     	R                     	                  	C                	Very Rare reworking. from 132SR. Chapter 2. Figure 7. page 21.

  SR	Early Pleistocene	Middle Pleistocene	NN21A             	              	132	 810	C	  1	H	 2	  40.00	      1.9000	Premoli Silva	Nannofossils                                 	A              	G                 	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	R                   	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	A                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	                            	                      	                     	R                       	                    	                          	                            	                  	                          	                           	                        	                      	A                     	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	C                     	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	A                    	                       	                    	                               	R                     	                      	                      	F                      	                        	                  	AA                      	C                      	R                    	A                         	RR                    	R                      	R                    	                    	                        	                     	R                     	                  	C                	from 132SR. Chapter 2. Figure 7. page 21.

  SR	Early Pleistocene	Middle Pleistocene	NN20              	              	132	 810	C	  2	H	 1	 100.00	      3.4000	Premoli Silva	Nannofossils                                 	A              	G                 	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	RR                  	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	A                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	                            	                      	                     	C                       	                    	                          	                            	                  	                          	                           	                        	                      	C                     	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	C                     	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	A                    	                       	                    	                               	F                     	                      	                      	F                      	                        	                  	A                       	F                      	                     	A                         	F                     	C                      	                     	                    	                        	                     	R                     	                  	                 	from 132SR. Chapter 2. Figure 7. page 21.

  SR	Early Pleistocene	Middle Pleistocene	NN20              	              	132	 810	C	  2	H	 2	 100.00	      4.9000	Premoli Silva	Nannofossils                                 	A              	G                 	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	R                   	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	F                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	C                           	                      	                     	C                       	                    	                          	                            	                  	                          	                           	                        	                      	C                     	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	C                     	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	C                    	                       	                    	                               	R                     	                      	                      	R                      	                        	                  	A                       	F                      	                     	C                         	                      	C                      	R                    	                    	                        	                     	                      	                  	                 	Very Rare reworking. from 132SR. Chapter 2. Figure 7. page 21.
