Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Tribrachiatus orthostylus	Transversopontis pulcheroides	Transversopontis pulcher	Toweius pertusus	Toweius gammation	Toweius eminens	Thoracosphaera tuberosa	Thoracosphaera saxea	Thoracosphaera heimii	Sphenolithus stellatus	Sphenolithus radians	Sphenolithus orphanknollensis	Sphenolithus moriformis	Sphenolithus editus	Sphenolithus conspicuus	Sphenolithus anarrhopus	Semihololithus kerabyi	Scyphosphaera tercisensis	Scapholithus fossilis	Prinsius bisulcus	Pontosphaera plana	Pontosphaera ocellata	Neocrepidolithus bukryi	Neococcolithes protenus	Neochiastozygus junctus	Neochiastozygus chiastus	Markalius inversus	Lophodolithus nascens	Fasciculithus ulii	Fasciculithus tympaniformis	Fasciculithus pileatus	Fasciculithus bobii	Fasciculithus billii	Ericsonia ovalis	Ericsonia formosa	Ericsonia cava	Ellipsolithus macellus	Ellipsolithus lajollaensis	Discoaster lodoensis	Discoaster kuepperi	Discoaster diastypus	Discoaster cruciformis	Discoaster binodosus	Discoaster barbadiensis	Cruciplacolithus mutatus	Coronocyclus prionion	Coccolithus pelagicus	Chiphragmalithus barbatus	Chiasmolithus solitus	Chiasmolithus grandis	Chiasmolithus eograndis	Chiasmolithus consuetus	Chiasmolithus californicus	Campylosphaera dela	Transversopontis latus	Toweius crassus	Toweius callosus	Sphenolithus spiniger	Sphenolithus pseudoradians	Sphenolithus predistentus	Sphenolithus furcatolithoides	Scyphosphaera columella	Rhabdosphaera tenuis	Reticulofenestra umbilica	Reticulofenestra dictyoda	Pseudotriquetrorhabdulus inversus	Pontosphaera multipora	Neococcolithes dubius	Nannotetrina cristata	Lophodolithus mochlophorus	Lanternithus duocavus	Helicosphaera seminulum	Helicosphaera lophota	Discoaster tanii	Discoaster strictus	Discoaster septemradiatus	Discoaster saipanensis	Discoaster nodifer	Discoaster martinii	Discoaster germanicus	Discoaster gemmifer	Discoaster deflandrei	Discoaster bifax	Dictyococcites scrippsae	Dictyococcites daviesii	Cyclicargolithus pseudogammation	Coccolithus eopelagicus	Chiphragmalithus acanthodes	Chiasmolithus titus	Chiasmolithus nitidus	Chiasmolithus gigas	Chiasmolithus expansus	Bramletteius serraculoides	Sphenolithus intercalaris	Reticulofenestra hillae	Ericsonia obruta	Dictyococcites bisectus	Cyclicargolithus floridanus	Cribrocentrum reticulatum	Coronocyclus nitescens	Comment



  SR	                 	                 	CP15a             	              	144	 873	A	  1	R	 1	   0.00	     54.3000	Watkins  	Nannofossils                                 	A              	G                 	                       	                         	                             	                        	                	                 	               	                       	R                   	                     	                      	F                   	                             	A                      	                   	                       	                       	                      	                         	                     	                 	                  	                     	                       	                       	                       	                        	                  	                     	                  	                           	                      	                   	                    	                	C                	              	                      	                          	                    	                   	                    	                      	                    	R                      	                        	                     	C                    	                         	                     	                     	                       	                       	                          	                   	                      	               	                	                     	C                         	R                        	                             	                       	                    	                         	                         	R                                	                      	                     	                     	                          	                     	                       	                     	F               	                   	                         	R                     	                  	                   	                     	                   	C                    	                	                        	R                      	A                               	F                      	                           	R                  	                     	                   	                      	                          	R                        	F                      	R               	C                      	F                          	R                        	R                     	from ODP Leg 144 SR;Ch 5; Table 3; p. 102-103

  SR	                 	                 	CP13              	              	144	 873	A	  1	R	 1	  21.00	     54.5100	Watkins  	Nannofossils                                 	A              	G                 	R                      	                         	                             	                        	                	                 	               	                       	R                   	                     	                      	C                   	                             	A                      	                   	                       	                       	R                     	                         	                     	                 	                  	                     	                       	                       	                       	                        	                  	                     	                  	                           	                      	                   	                    	                	A                	              	                      	                          	                    	                   	                    	                      	F                   	C                      	                        	R                    	C                    	                         	R                    	F                    	                       	                       	                          	R                  	                      	               	                	F                    	                          	                         	                             	                       	R                   	F                        	C                        	R                                	                      	                     	F                    	                          	                     	                       	                     	                	                   	                         	F                     	                  	R                  	R                    	R                  	                     	                	                        	                       	                                	F                      	                           	R                  	                     	                   	R                     	                          	                         	                       	                	                       	                           	                         	                      	from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103

  SR	                 	                 	CP14a             	              	144	 873	A	  1	R	 1	  21.00	     54.5100	Watkins  	Nannofossils                                 	A              	G                 	R                      	                         	                             	                        	                	                 	               	                       	                    	                     	                      	F                   	                             	A                      	                   	                       	                       	                      	                         	                     	                 	                  	                     	                       	                       	                       	                        	                  	                     	                  	                           	                      	                   	                    	                	F                	              	                      	                          	                    	                   	                    	                      	                    	C                      	                        	                     	F                    	                         	R                    	F                    	                       	                       	                          	                   	R                     	               	                	                     	F                         	F                        	                             	                       	R                   	                         	                         	                                 	                      	                     	                     	                          	                     	                       	R                    	R               	R                  	                         	F                     	?                 	                   	                     	                   	C                    	                	F                       	                       	C                               	F                      	                           	R                  	                     	                   	                      	R                         	                         	                       	                	                       	                           	                         	                      	from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103

  SR	                 	                 	CP14a             	              	144	 873	A	  1	R	 1	  21.00	     54.5100	Watkins  	Nannofossils                                 	A              	G                 	R                      	                         	                             	                        	                	                 	               	                       	                    	                     	                      	F                   	                             	A                      	                   	                       	                       	                      	R                        	                     	                 	                  	                     	                       	                       	                       	                        	                  	                     	                  	                           	                      	                   	                    	                	F                	              	                      	                          	                    	                   	                    	                      	                    	C                      	                        	R                    	C                    	                         	R                    	R                    	                       	R                      	                          	                   	                      	               	                	F                    	F                         	                         	C                            	                       	R                   	                         	                         	                                 	                      	                     	                     	                          	                     	R                      	R                    	                	                   	                         	F                     	                  	                   	                     	                   	F                    	R               	                        	R                      	C                               	C                      	                           	R                  	                     	                   	                      	R                         	                         	                       	                	                       	                           	                         	                      	from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103
